"Date","Valero.Energy","Price"
2005-02-11,67,61.43
2005-04-01,65,77.76
2005-04-08,74,77.2
2005-04-15,82,67.61
2005-04-22,91,75.04
2005-04-29,100,68.53
2005-06-10,58,74.09
2005-06-17,59,79.95
2005-06-24,60,79.57
2005-07-01,61,81.23
2005-07-08,63,84.57
2005-07-15,64,82.08
2005-07-22,65,83.35
2005-07-29,60,82.78
2005-08-05,50,88.32
2005-08-12,83,93.8
2005-08-19,54,87.89
2005-08-26,69,89.36
2005-09-02,84,108.43
2005-09-09,64,114.97
2005-09-16,69,108.05
2005-09-23,53,110.77
2005-09-30,42,113.06
2005-10-07,59,107.7
2005-10-14,80,101.27
2005-10-21,45,94.65
2005-10-28,45,99.5
2005-11-04,86,105.4
2005-11-11,43,96.31
2005-11-18,43,98.17
2005-11-25,38,101.28
2005-12-02,38,101.8
2005-12-09,43,105.46
2005-12-16,50,52.27
2005-12-23,51,52.83
2005-12-30,53,51.6
2006-01-06,54,55.89
2006-01-13,55,58.24
2006-01-20,53,60.32
2006-01-27,82,60.05
2006-02-03,46,58.63
2006-02-10,48,50.65
2006-02-17,44,54.49
2006-02-24,61,56.19
2006-03-03,52,56.52
2006-03-10,52,53.54
2006-03-17,52,57.86
2006-03-24,45,59.19
2006-03-31,45,59.78
2006-04-07,62,61.4
2006-04-21,50,69.04
2006-04-28,54,64.74
2006-05-05,67,65
2006-05-12,35,62.5
2006-05-19,35,58.9
2006-05-26,32,61.44
2006-06-02,36,63.05
2006-06-09,58,59.23
2006-06-16,43,60
2006-06-23,33,62.12
2006-06-30,48,66.52
2006-07-07,63,65.44
2006-07-14,55,64.85
2006-07-21,39,61.95
2006-07-28,65,67.13
2006-08-04,51,66.2
2006-08-11,38,64.84
2006-08-18,33,61.84
2006-08-25,33,62.4
2006-09-01,50,57.77
2006-09-08,41,51.75
2006-09-15,40,50.23
2006-09-22,50,48.19
2006-09-29,28,51.47
2006-10-06,33,50.64
2006-10-13,27,53.59
2006-10-20,32,52.09
2006-10-27,42,53.08
2006-11-03,26,51.9
2006-11-10,36,52.76
2006-11-17,38,52.86
2006-11-24,26,52.31
2006-12-01,27,55.85
2006-12-08,30,54.91
2006-12-15,35,55.12
2006-12-22,30,51.59
2006-12-29,30,51.16
2007-01-05,30,49.36
2007-01-12,30,50.57
2007-01-19,32,51.04
2007-01-26,37,52.49
2007-02-02,52,56.23
2007-02-09,31,55.62
2007-02-16,31,55.96
2007-02-23,48,58.77
2007-03-02,49,57
2007-03-09,26,60.23
2007-03-16,37,60.01
2007-03-23,37,63.65
2007-03-30,30,64.49
2007-04-13,31,68.4
2007-04-20,72,65.93
2007-04-27,92,71.21
2007-05-04,38,73.35
2007-05-11,35,73.83
2007-05-18,51,73.97
2007-05-25,37,74.74
2007-06-01,29,75.88
2007-06-08,33,73.43
2007-06-15,41,76.5
2007-06-22,47,76.45
2007-06-29,42,73.86
2007-07-06,30,75.49
2007-07-13,51,77.25
2007-07-20,34,73.13
2007-07-27,37,67.47
2007-08-03,37,61.92
2007-08-10,33,68.9
2007-08-17,35,64.59
2007-08-24,24,68.14
2007-08-31,37,68.51
2007-09-07,39,69.36
2007-09-14,53,69.29
2007-09-21,31,71.05
2007-09-28,34,67.18
2007-10-05,24,68.35
2007-10-12,46,73.49
2007-10-19,35,68.47
2007-10-26,32,73.13
2007-11-02,28,69.68
2007-11-09,32,68.52
2007-11-16,37,67.66
2007-11-23,23,65.96
2007-11-30,25,65.1
2007-12-07,31,66.52
2007-12-14,34,66.65
2007-12-21,27,70.72
2007-12-28,24,70.55
2008-01-04,35,64.14
2008-01-11,28,59.62
2008-01-18,47,54.03
2008-01-25,27,54.59
2008-02-01,46,60.17
2008-02-08,26,58.89
2008-02-15,25,58.37
2008-02-22,33,59.93
2008-02-29,27,57.77
2008-03-07,28,52.51
2008-03-14,30,49.11
2008-03-28,40,48.95
2008-04-04,42,50.61
2008-04-11,33,47.7
2008-04-18,27,52.55
2008-04-25,60,51.85
2008-05-02,51,49.38
2008-05-09,32,44.56
2008-05-16,31,48.43
2008-05-23,23,48.61
2008-05-30,24,50.84
2008-06-06,28,46.33
2008-06-13,22,44.84
2008-06-20,27,42.51
2008-06-27,24,39.96
2008-07-11,30,32.63
2008-07-18,27,33.11
2008-07-25,31,31.88
2008-08-01,34,32.95
2008-08-08,28,34.72
2008-08-15,26,34.23
2008-08-22,21,33.66
2008-08-29,17,34.76
2008-09-05,27,33.38
2008-09-12,24,35.87
2008-09-19,27,34.18
2008-09-26,31,34.17
2008-10-03,13,25.71
2008-10-10,22,18.3
2008-10-17,38,18.12
2008-10-24,30,15.96
2008-10-31,33,20.58
2008-11-07,21,19.24
2008-11-14,21,19.51
2008-11-21,14,16.36
2008-11-28,15,18.35
2008-12-05,30,16.96
2008-12-12,20,19.17
2008-12-19,14,22.72
2008-12-26,17,20.64
2009-01-02,20,23.24
