"Date","buy.GT","Price"
2004-02-06,63,9.97
2004-04-02,64,9.01
2004-05-28,57,8.7
2004-06-04,62,8.66
2004-06-18,71,9.89
2004-06-25,58,9.85
2004-07-02,58,9.33
2004-07-09,54,9.59
2004-07-16,54,9.65
2004-07-23,54,10.14
2004-07-30,74,10.95
2004-08-06,74,10.4
2004-08-13,67,10.49
2004-08-20,71,10.91
2004-08-27,53,10.83
2004-09-03,53,11.67
2004-09-10,53,11.54
2004-09-17,61,10.97
2004-09-24,70,10.63
2004-10-01,70,10.86
2004-10-08,70,10.12
2004-10-15,40,9.61
2004-10-22,40,9.62
2004-10-29,65,10.08
2004-11-05,79,11.8
2004-11-12,93,11.66
2004-11-19,44,12.21
2004-11-26,64,12.5
2004-12-03,56,13.08
2004-12-10,49,12.72
2004-12-17,57,14.24
2004-12-31,100,14.66
2005-01-07,37,14.7
2005-01-14,63,15.32
2005-01-21,38,14.52
2005-01-28,38,15.37
2005-02-04,41,14.42
2005-02-11,45,14
2005-02-18,49,13.79
2005-02-25,53,14.71
2005-03-04,44,14.53
2005-03-11,45,14.76
2005-03-18,36,13.65
2005-04-01,40,13.06
2005-04-08,38,12.8
2005-04-15,38,11.47
2005-04-22,32,11.77
2005-04-29,37,11.87
2005-05-06,42,13.29
2005-05-13,40,13.5
2005-05-20,37,14.19
2005-05-27,35,14.59
2005-06-03,40,14.3
2005-06-10,40,14.25
2005-06-17,56,14.86
2005-06-24,35,14.24
2005-07-01,41,15.12
2005-07-08,32,15.3
2005-07-15,35,15.9
2005-07-22,44,16.12
2005-07-29,37,17.41
2005-08-05,43,18.49
2005-08-12,49,17.54
2005-08-19,58,17.08
2005-08-26,42,16.55
2005-09-02,35,16.57
2005-09-09,34,16.74
2005-09-16,33,16.24
2005-09-23,42,15.5
2005-09-30,34,15.59
2005-10-07,40,14.14
2005-10-14,40,13.94
2005-10-21,51,13.6
2005-10-28,51,15.24
2005-11-04,46,15.74
2005-11-11,35,15.59
2005-11-18,39,16.13
2005-11-25,38,16.97
2005-12-02,41,17.09
2005-12-09,41,17.11
2005-12-16,32,17.5
2005-12-23,32,17.9
2005-12-30,49,17.38
2006-01-06,30,18.47
2006-01-13,46,18.25
2006-01-20,44,17.63
2006-01-27,42,18.87
2006-02-03,23,15.21
2006-02-10,23,14.91
2006-02-17,30,14.87
2006-02-24,37,14.55
2006-03-03,23,13.42
2006-03-10,39,13.18
2006-03-17,33,13.73
2006-03-24,40,14.02
2006-03-31,36,14.48
2006-04-07,43,13.89
2006-04-21,36,13.9
2006-04-28,40,14
2006-05-05,36,15.2
2006-05-12,32,14.5
2006-05-19,24,13.53
2006-05-26,40,13.04
2006-06-02,35,12.58
2006-06-09,34,11.81
2006-06-16,31,11.67
2006-06-23,30,10.99
2006-06-30,32,11.1
2006-07-07,24,10.6
2006-07-14,24,9.99
2006-07-21,23,9.94
2006-07-28,35,10.57
2006-08-04,38,11.79
2006-08-11,45,11.3
2006-08-18,28,11.69
2006-08-25,44,12.16
2006-09-01,33,13.77
2006-09-08,22,14.57
2006-09-15,30,14.22
2006-09-22,38,14.35
2006-09-29,36,14.5
2006-10-06,38,14.46
2006-10-13,19,14.56
2006-10-20,38,14.7
2006-10-27,22,14.96
2006-11-03,30,15.28
2006-11-10,35,18.02
2006-11-17,33,18
2006-11-24,42,17.89
2006-12-01,28,16.8
2006-12-08,22,17.72
2006-12-15,39,19.2
2006-12-22,25,19.72
2006-12-29,20,20.99
2007-01-05,17,23.28
2007-01-12,19,24.51
2007-01-19,24,24.22
2007-01-26,35,24.7
2007-02-02,27,24.89
2007-02-09,30,25.11
2007-02-16,35,25.18
2007-02-23,52,26.12
2007-03-02,27,27.19
2007-03-09,34,28.51
2007-03-16,30,28.26
2007-03-23,31,30.29
2007-03-30,28,31.19
2007-04-13,40,33.18
2007-04-20,36,32.51
2007-04-27,40,34.41
2007-05-04,37,33.68
2007-05-11,25,32.96
2007-05-18,41,34.98
2007-05-25,34,34.44
2007-06-01,31,36.13
2007-06-08,45,35.13
2007-06-15,29,35.32
2007-06-22,37,34.67
2007-06-29,26,34.76
2007-07-06,27,36.57
2007-07-13,39,36.03
2007-07-20,36,34.95
2007-07-27,31,27
2007-08-03,41,26.43
2007-08-10,40,27.25
2007-08-17,44,27.69
2007-08-24,35,28.84
2007-08-31,34,27.66
2007-09-07,24,25.92
2007-09-14,41,25.52
2007-09-21,36,29.15
2007-09-28,31,30.41
2007-10-05,36,30.01
2007-10-12,31,30.76
2007-10-19,37,28.51
2007-10-26,39,27.48
2007-11-02,88,30.48
2007-11-09,59,27.11
2007-11-16,65,27.23
2007-11-23,71,26.58
2007-11-30,72,28.75
2007-12-07,60,28.44
2007-12-14,54,26.46
2007-12-21,56,28.75
2007-12-28,47,28.51
2008-01-04,52,24.58
2008-01-11,53,24.28
2008-01-18,38,24.25
2008-01-25,48,25.07
2008-02-01,45,26.07
2008-02-08,36,23.69
2008-02-15,29,26.86
2008-02-22,48,26.93
2008-02-29,50,27.1
2008-03-07,41,25.61
2008-03-14,32,25.61
2008-03-28,44,24.8
2008-04-04,38,26.58
2008-04-11,42,25.5
2008-04-18,41,27.4
2008-04-25,36,28.91
2008-05-02,36,27.18
2008-05-09,29,27.88
2008-05-16,50,28.98
2008-05-23,48,25.29
2008-05-30,49,25.41
2008-06-06,42,23.11
2008-06-13,55,23.14
2008-06-20,42,20.34
2008-06-27,41,18.25
2008-07-11,49,16.98
2008-07-18,44,18.53
2008-07-25,50,19.49
2008-08-01,48,19.2
2008-08-08,49,21.33
2008-08-15,54,21.41
2008-08-22,36,20.36
2008-08-29,38,19.61
2008-09-05,36,20.59
2008-09-12,50,18.35
2008-09-19,45,17.18
