"Date","buy.COP","Price"
2007-11-30,67,80.04
2008-06-13,70,94.26
2008-11-21,45,46.84
2008-11-28,52,52.52
2008-12-05,59,47.77
2008-12-12,66,51.39
2008-12-19,73,50.8
2008-12-26,48,48.59
2009-01-02,48,54.85
2009-01-09,48,51.99
2009-01-16,60,49.38
2009-01-23,55,48.18
2009-01-30,68,47.53
2009-02-06,50,47.94
2009-02-13,52,45.67
2009-02-20,54,39.44
2009-02-27,58,37.35
2009-03-06,61,35.36
2009-03-13,48,36.41
2009-03-20,45,37.81
2009-03-27,45,40.33
2009-04-03,45,42.36
2009-04-17,42,40.17
2009-04-24,45,41.21
2009-05-01,49,42.5
2009-05-08,43,46.91
2009-05-15,43,43.93
2009-05-22,55,44.38
2009-05-29,43,45.84
2009-06-05,62,45
2009-06-12,43,44.37
2009-06-19,58,42.97
2009-06-26,46,41.62
2009-07-10,100,39.72
2009-07-17,40,42.38
2009-07-24,40,44.95
2009-07-31,44,43.71
2009-08-07,41,44.07
2009-08-14,41,43.77
2009-08-21,41,44.2
2009-08-28,41,45.7
2009-09-04,41,44.97
2009-09-11,42,45.96
2009-09-18,44,46.8
2009-09-25,47,45.06
2009-10-02,50,46.8
2009-10-09,57,50.78
2009-10-16,46,51.96
2009-10-23,35,51.97
2009-10-30,55,50.18
2009-11-06,38,52.11
2009-11-13,33,52.83
2009-11-20,37,52.08
2009-11-27,40,51.92
2009-12-04,43,50.66
2009-12-11,41,50.92
2009-12-18,48,49.8
2010-01-08,33,53.26
2010-01-15,41,53.02
2010-01-22,40,50.6
2010-01-29,40,48
2010-02-05,34,47.98
2010-02-12,44,48.67
2010-02-19,54,48.9
2010-02-26,43,48
2010-03-05,62,50.41
2010-03-12,52,51.68
2010-03-19,52,52.37
2010-03-26,52,51.02
2010-04-09,39,55.32
2010-04-16,40,56.05
2010-04-23,46,58.09
2010-04-30,49,59.19
2010-05-07,53,54.68
2010-05-14,35,55.84
2010-05-21,35,51.47
2010-05-28,44,51.86
2010-06-04,47,50.06
2010-06-11,49,53.5
2010-06-18,51,56.01
2010-06-25,32,51.92
2010-07-02,39,48.82
2010-07-09,46,52.3
2010-07-16,39,51.85
2010-07-23,48,53.79
2010-07-30,39,55.22
2010-08-06,45,56.93
2010-08-13,33,55.02
2010-08-20,35,53.89
2010-08-27,37,53.42
2010-09-03,37,55.05
2010-09-10,37,54.75
2010-09-17,44,55.27
2010-09-24,51,56.36
2010-10-01,37,57.86
2010-10-08,51,59.61
2010-10-15,32,60.78
2010-10-22,42,61.67
2010-10-29,49,59.39
2010-11-05,68,61.81
2010-11-12,28,62.42
2010-11-19,32,61.92
2010-11-26,36,60.81
2010-12-03,35,63.92
2010-12-10,41,64.58
2010-12-17,48,65.06
2010-12-31,49,68.1
2011-01-07,46,67.11
2011-01-14,39,67.72
2011-01-21,64,67.66
2011-01-28,50,70.56
2011-02-04,58,71.67
2011-02-11,47,71.58
2011-02-18,44,76.62
2011-02-25,30,77.28
2011-03-04,28,79.98
2011-03-11,46,76.3
2011-03-18,37,75.35
2011-03-25,37,80.24
2011-04-01,41,79.68
2011-04-08,26,80.79
2011-04-15,42,79.12
2011-04-29,46,78.89
2011-05-06,35,72.94
2011-05-13,39,71.43
2011-05-20,46,72.61
2011-05-27,32,72.64
2011-06-03,31,72.39
2011-06-10,23,71.49
2011-06-17,37,71.93
2011-06-24,35,71.43
2011-07-01,49,75.88
2011-07-08,23,75.91
2011-07-15,30,76.42
2011-07-22,37,75.26
2011-07-29,39,71.99
2011-08-05,51,67.75
2011-08-12,32,66.05
2011-08-19,38,63.59
2011-08-26,42,65.51
2011-09-02,35,66.44
2011-09-09,53,64.23
2011-09-16,29,67.29
2011-09-23,27,62.51
2011-09-30,37,63.32
2011-10-07,37,64.16
2011-10-14,44,68.99
2011-10-21,39,71.83
2011-10-28,36,71.74
2011-11-04,30,70.71
2011-11-11,36,72.14
2011-11-18,39,69.27
2011-11-25,40,66.14
