"Date","Discover.Financial.Services","Price"
2007-06-15,43,29.08
2007-06-22,30,31.7
2007-06-29,35,28.5
2007-07-06,100,25.64
2007-07-13,66,27.16
2007-07-20,64,26.3
2007-07-27,35,23.33
2007-08-03,44,21.99
2007-08-10,52,20.86
2007-08-17,38,23.18
2007-08-24,36,23.99
2007-08-31,36,23.14
2007-09-07,27,21.11
2007-09-14,27,21.27
2007-09-21,34,22.4
2007-09-28,34,20.8
2007-10-05,26,22.73
2007-10-12,26,22.13
2007-10-19,35,19.8
2007-10-26,23,18.93
2007-11-02,44,18.18
2007-11-09,29,17.82
2007-11-16,34,17.76
2007-11-23,33,16.68
2007-11-30,36,17.37
2007-12-07,39,16.76
2007-12-14,30,15.64
2007-12-21,30,15.5
2007-12-28,37,14.94
2008-01-04,38,13.94
2008-01-11,39,13.73
2008-01-18,33,12.63
2008-01-25,27,15.56
2008-02-01,35,17.96
2008-02-08,44,15.63
2008-02-15,31,14.23
2008-02-22,30,15.1
2008-02-29,39,15.09
2008-03-07,46,14.15
2008-03-14,26,15.47
2008-03-28,32,15.98
2008-04-04,45,17.14
2008-04-11,54,17.55
2008-04-18,25,18.48
2008-04-25,22,18.85
2008-05-02,24,18.7
2008-05-09,24,17.52
2008-05-16,37,18.41
2008-05-23,19,16.84
2008-05-30,19,17.15
2008-06-06,26,15.7
2008-06-13,29,15.65
2008-06-20,32,14.41
2008-06-27,36,13.57
2008-07-11,36,14.02
2008-07-18,34,16.33
2008-07-25,34,14.05
2008-08-01,31,14.99
2008-08-08,38,14.97
2008-08-15,37,15.61
2008-08-22,25,15.6
2008-08-29,39,16.45
2008-09-05,22,16.42
2008-09-12,23,17.63
2008-09-19,46,16
2008-09-26,25,13.92
2008-10-03,37,11.07
2008-10-10,29,9.57
2008-10-17,22,10.74
2008-10-24,43,10.14
2008-10-31,34,12.25
2008-11-07,17,11.83
2008-11-14,36,9.47
2008-11-21,24,7.65
2008-11-28,29,10.23
2008-12-05,34,10.88
2008-12-12,31,8.97
2008-12-19,41,9.33
2008-12-26,32,8.37
2009-01-02,32,9.51
2009-01-09,31,8.71
2009-01-16,34,7.6
2009-01-23,17,7.5
2009-01-30,34,7.15
2009-02-06,38,7.68
2009-02-13,22,7.01
2009-02-20,27,5.74
2009-02-27,34,5.73
2009-03-06,19,4.95
2009-03-13,29,6.23
2009-03-20,29,5.51
2009-03-27,20,6.8
2009-04-03,34,6.75
2009-04-17,30,8.55
2009-04-24,20,9.09
2009-05-01,19,8.12
2009-05-08,41,10.66
2009-05-15,23,8.59
2009-05-22,25,8.36
2009-05-29,20,9.56
2009-06-05,20,9.41
2009-06-12,18,9.3
2009-06-19,18,9.32
2009-06-26,24,9.9
2009-07-10,39,9.61
2009-07-17,23,10.92
