"Date","DNB","Price"
2004-02-06,9,53.27
2004-02-13,16,54.66
2004-02-20,13,53.77
2004-02-27,13,53.22
2004-03-05,15,56.21
2004-03-12,12,54.9
2004-03-19,14,54.55
2004-03-26,12,53.74
2004-04-02,14,54.89
2004-04-16,15,54.16
2004-04-23,16,53.58
2004-04-30,13,52.25
2004-05-07,11,52.7
2004-05-14,11,52.28
2004-05-21,16,52.64
2004-05-28,11,55.33
2004-06-04,11,54.12
2004-06-18,14,53.34
2004-06-25,17,53.23
2004-07-02,30,53.66
2004-07-09,26,51.94
2004-07-16,13,51.82
2004-07-23,14,54.43
2004-07-30,13,56.14
2004-08-06,13,53.15
2004-08-13,17,53.22
2004-08-20,15,55.35
2004-08-27,15,54.85
2004-09-03,14,56.63
2004-09-10,13,58.29
2004-09-17,17,58.25
2004-09-24,15,58.22
2004-10-01,15,58.98
2004-10-08,15,58.86
2004-10-15,12,58.88
2004-10-22,18,56.58
2004-10-29,14,56.56
2004-11-05,15,57.37
2004-11-12,17,58.95
2004-11-19,17,59.06
2004-11-26,15,59.95
2004-12-03,15,59.36
2004-12-10,13,59.66
2004-12-17,19,58.91
2004-12-31,14,59.65
2005-01-07,16,56.31
2005-01-14,19,55.04
2005-01-21,16,56.06
2005-01-28,17,56.8
2005-02-04,17,59.13
2005-02-11,19,59.32
2005-02-18,16,60.63
2005-02-25,18,60.95
2005-03-04,17,62
2005-03-11,19,62
2005-03-18,19,60.94
2005-04-01,15,63.56
2005-04-08,16,63.98
2005-04-15,15,61.53
2005-04-22,16,61.7
2005-04-29,17,62.44
2005-05-06,17,61.11
2005-05-13,18,60.5
2005-05-20,17,61.83
2005-05-27,22,62.3
2005-06-03,20,62.58
2005-06-10,17,61.92
2005-06-17,22,61.65
2005-06-24,20,59.59
2005-07-01,27,61.95
2005-07-08,52,62.36
2005-07-15,23,62.49
2005-07-22,19,62.3
2005-07-29,15,63.33
2005-08-05,17,64.3
2005-08-12,15,64.86
2005-08-19,15,64
2005-08-26,18,63.52
2005-09-02,17,63.65
2005-09-09,18,64.52
2005-09-16,17,65.32
2005-09-23,20,64.57
2005-09-30,20,65.87
2005-10-07,17,64.51
2005-10-14,19,65.53
2005-10-21,18,66.53
2005-10-28,17,62.95
2005-11-04,18,64.38
2005-11-11,17,64.61
2005-11-18,16,65.6
2005-11-25,16,65.66
2005-12-02,18,64.97
2005-12-09,19,64.12
2005-12-16,20,65.37
2005-12-23,19,67.88
2005-12-30,18,66.96
2006-01-06,22,70.13
2006-01-13,19,73.21
2006-01-20,18,72.13
2006-01-27,21,72.18
2006-02-03,20,71.66
2006-02-10,19,71.33
2006-02-17,16,72.18
2006-02-24,21,72.46
2006-03-03,21,73.65
2006-03-10,19,74.55
2006-03-17,21,75.54
2006-03-24,19,75.65
2006-03-31,22,76.68
2006-04-07,21,76.41
2006-04-21,22,77.74
2006-04-28,19,77.02
2006-05-05,17,76.2
2006-05-12,22,74.9
2006-05-19,20,74.18
2006-05-26,22,73.26
2006-06-02,23,73.37
2006-06-09,22,70.94
2006-06-16,20,68.91
2006-06-23,25,68.27
2006-06-30,31,69.68
2006-07-07,60,68.26
2006-07-14,23,65.68
2006-07-21,20,65.5
2006-07-28,20,65.95
2006-08-04,23,67.73
2006-08-11,21,67.92
2006-08-18,24,69.57
2006-08-25,24,69.22
2006-09-01,23,70.77
2006-09-08,24,69.97
2006-09-15,22,74.02
2006-09-22,24,74.98
2006-09-29,23,74.99
2006-10-06,23,74.51
2006-10-13,23,74.93
2006-10-20,22,75.68
2006-10-27,22,76.76
2006-11-03,24,75.9
2006-11-10,21,79.94
2006-11-17,21,83.02
2006-11-24,26,82.7
2006-12-01,25,82.6
2006-12-08,24,83.07
2006-12-15,25,84.25
2006-12-22,27,82.78
2006-12-29,29,82.79
2007-01-05,23,82.69
2007-01-12,24,85
2007-01-19,24,84.8
2007-01-26,26,83.55
2007-02-02,27,84.53
2007-02-09,27,87.6
2007-02-16,26,89.77
2007-02-23,28,90.82
2007-03-02,24,88.45
2007-03-09,25,88.55
2007-03-16,26,88.87
2007-03-23,27,91
2007-03-30,27,91.2
2007-04-13,27,90.55
2007-04-20,27,90.3
2007-04-27,26,90.82
2007-05-04,26,95.1
2007-05-11,28,95.05
2007-05-18,28,95.28
2007-05-25,27,98.02
2007-06-01,27,100.88
2007-06-08,27,102.31
2007-06-15,30,100.17
2007-06-22,33,99.71
2007-06-29,39,102.98
2007-07-06,79,104.93
2007-07-13,27,105.78
2007-07-20,25,104.79
2007-07-27,26,96.11
2007-08-03,28,95.83
2007-08-10,25,91.02
2007-08-17,27,92.2
2007-08-24,25,97.7
2007-08-31,27,97.55
2007-09-07,28,96.33
2007-09-14,27,97.76
2007-09-21,26,99.75
2007-09-28,26,98.61
2007-10-05,26,99.15
2007-10-12,25,92.98
2007-10-19,31,91.88
2007-10-26,28,96.3
2007-11-02,28,95
2007-11-09,30,87.22
2007-11-16,30,89.49
2007-11-23,31,87.47
2007-11-30,35,89.23
2007-12-07,33,91.24
2007-12-14,30,91.4
2007-12-21,32,89.76
2007-12-28,27,88.75
2008-01-04,30,83.9
2008-01-11,31,86.03
2008-01-18,32,82.92
2008-01-25,32,86.94
2008-02-01,34,93.94
2008-02-08,33,88.4
2008-02-15,31,89.32
2008-02-22,32,91.17
2008-02-29,33,87.34
2008-03-07,29,84.18
2008-03-14,30,81.95
2008-03-28,31,82.39
2008-04-04,33,83.47
2008-04-11,33,80.44
2008-04-18,33,85.86
2008-04-25,32,85.42
2008-05-02,32,85.94
2008-05-09,32,86.96
2008-05-16,32,91.63
2008-05-23,33,90.94
2008-05-30,33,91.62
2008-06-06,34,90.65
2008-06-13,34,91.87
2008-06-20,38,89.6
2008-06-27,43,87.19
2008-07-11,96,89.91
2008-07-18,37,95.94
2008-07-25,36,94.85
2008-08-01,32,96.71
2008-08-08,34,98.71
2008-08-15,33,96.92
2008-08-22,35,94.78
2008-08-29,33,91.97
2008-09-05,33,92.62
2008-09-12,34,96.29
2008-09-19,35,95.72
2008-09-26,37,92.94
2008-10-03,40,88.35
2008-10-10,59,77.8
2008-10-17,42,76
2008-10-24,39,70.75
2008-10-31,38,73.69
2008-11-07,35,76.16
2008-11-14,36,72.73
2008-11-21,35,70.12
2008-11-28,34,80
2008-12-05,35,75.59
2008-12-12,37,71.73
2008-12-19,39,73.59
2008-12-26,34,73.21
2009-01-02,35,77.81
2009-01-09,39,75.14
2009-01-16,42,74
2009-01-23,40,71.98
2009-01-30,38,76
2009-02-06,39,81.4
2009-02-13,39,77.71
2009-02-20,39,73.82
2009-02-27,40,73.97
2009-03-06,45,71.76
2009-03-13,44,74.57
2009-03-20,40,73.77
2009-03-27,41,75.97
2009-04-03,39,78.44
2009-04-17,38,81.07
2009-04-24,37,80.67
2009-05-01,36,80.72
2009-05-08,38,82.01
2009-05-15,39,80.48
2009-05-22,37,80.74
2009-05-29,39,81.79
2009-06-05,39,84
2009-06-12,39,83.55
2009-06-19,40,80.11
2009-06-26,41,80.15
2009-07-10,100,78.33
2009-07-17,42,80.03
2009-07-24,37,80.9
2009-07-31,38,71.99
2009-08-07,37,74.09
2009-08-14,38,74.94
2009-08-21,38,74.63
2009-08-28,40,72.95
2009-09-04,38,74.55
2009-09-11,39,73.97
2009-09-18,35,74.26
2009-09-25,36,73.9
2009-10-02,35,73.26
2009-10-09,36,75.52
2009-10-16,46,75.99
2009-10-23,44,78.75
2009-10-30,40,76.56
2009-11-06,38,79.31
2009-11-13,38,80.8
2009-11-20,38,79.87
2009-11-27,40,78.67
2009-12-04,37,79.93
2009-12-11,39,81.85
2009-12-18,38,82.02
2010-01-08,37,81.74
2010-01-15,37,82.15
2010-01-22,37,79.77
2010-01-29,35,78.97
2010-02-05,37,73.92
2010-02-12,37,70.39
2010-02-19,39,71.32
2010-02-26,38,70.16
2010-03-05,37,69.95
2010-03-12,37,70.73
2010-03-19,37,74.25
2010-03-26,38,73.5
2010-04-09,35,74.49
2010-04-16,39,76.31
2010-04-23,38,78.82
2010-04-30,37,76.97
2010-05-07,37,74.1
2010-05-14,37,74.98
2010-05-21,39,73.33
2010-05-28,36,72.99
2010-06-04,39,70.49
