"Date","Equity.Residential","Price"
2004-02-06,48,29.34
2004-02-13,52,28.97
2004-02-20,47,29.23
2004-02-27,47,29.75
2004-03-05,73,30.72
2004-03-12,100,29.85
2004-03-19,44,30.19
2004-03-26,44,29.25
2004-04-02,44,30.87
2004-04-16,54,28
2004-04-23,59,27.45
2004-04-30,63,27.46
2004-05-07,59,27.35
2004-05-14,45,27.47
2004-05-21,62,27.88
2004-05-28,54,29.44
2004-06-04,39,29.4
2004-06-18,45,28.77
2004-06-25,51,30
2004-07-02,59,30.25
2004-07-09,44,30.06
2004-07-16,46,30.47
2004-07-23,47,29.35
2004-07-30,48,29.55
2004-08-06,48,30.3
2004-08-13,50,30
2004-08-20,73,31.14
2004-08-27,61,32.27
2004-09-03,61,32.63
2004-09-10,61,32.11
2004-09-17,48,31.27
2004-09-24,47,30.42
2004-10-01,37,31.76
2004-10-08,37,32.12
2004-11-19,47,33.11
2004-11-26,30,33.89
2004-12-03,30,34.78
2004-12-10,30,35.88
2004-12-17,34,35.75
2004-12-31,44,36.18
2005-01-07,48,33.95
2005-01-14,37,33.84
2005-01-21,45,33.71
2005-01-28,53,31.83
2005-02-04,60,32.21
2005-02-11,47,32.93
2005-02-18,47,33.39
2005-02-25,33,32.82
2005-03-04,33,34.01
2005-03-11,34,32.43
2005-03-18,40,32.3
2005-04-01,67,32.1
2005-04-08,58,32.04
2005-04-15,47,31.96
2005-04-22,31,32.91
2005-04-29,48,34.35
2005-05-06,48,34.49
2005-05-13,45,34.9
2005-05-20,32,36.6
2005-05-27,26,35.93
2005-06-03,53,36.05
2005-06-10,44,36.57
2005-06-17,30,37.3
2005-06-24,41,36.25
2005-07-01,31,37.38
2005-07-08,36,38.91
2005-07-15,47,38.84
2005-07-22,36,38.97
2005-07-29,58,40.4
2005-08-05,43,38
2005-08-12,50,37.48
2005-08-19,50,37.13
2005-08-26,54,37.14
2005-09-02,52,38.16
2005-09-09,49,39.3
2005-09-16,35,38.75
2005-09-23,34,37.23
2005-09-30,34,37.85
2005-10-07,35,36.95
2005-10-14,50,37.05
2005-10-21,31,38.04
2005-10-28,33,39.48
2005-11-04,38,37.92
2005-11-11,29,39.81
2005-11-18,34,40.33
2005-11-25,35,41.88
2005-12-02,37,40.9
2005-12-09,32,40.5
2005-12-16,28,39.86
2005-12-23,30,40.11
2005-12-30,23,39.12
2006-01-06,23,40.89
2006-01-13,36,40.57
2006-01-20,47,40.79
2006-01-27,36,42.59
2006-02-03,25,42.8
2006-02-10,42,43.45
2006-02-17,36,45.25
2006-02-24,35,45.91
2006-03-03,34,44.02
2006-03-10,32,45.11
2006-03-17,45,46.71
2006-03-24,38,46.1
2006-03-31,33,46.79
2006-04-07,35,43.99
2006-04-21,43,44.95
2006-04-28,41,44.87
2006-05-05,44,44.25
2006-05-12,34,42.9
2006-05-19,56,42.36
2006-05-26,24,43.92
2006-06-02,33,45.1
2006-06-09,23,44.64
2006-06-16,23,44.49
2006-06-23,23,43.92
2006-06-30,38,44.73
2006-07-07,21,45.23
2006-07-14,28,44.67
2006-07-21,29,44.95
2006-07-28,37,46.88
2006-08-04,31,48.5
2006-08-11,39,47.31
2006-08-18,31,47.27
2006-08-25,29,48.88
2006-09-01,25,49.37
2006-09-08,25,49.97
2006-09-15,28,50.81
2006-09-22,41,49.68
2006-09-29,46,50.58
2006-10-06,31,51.63
2006-10-13,21,53.06
2006-10-20,19,53.74
2006-10-27,32,54.45
2006-11-03,32,49.94
2006-11-10,25,50.82
2006-11-17,17,50.57
2006-11-24,24,53.62
2006-12-01,25,52.84
2006-12-08,20,52.6
2006-12-15,22,51.89
2006-12-22,27,49.78
2006-12-29,23,50.75
2007-01-05,31,49.92
2007-01-12,27,52.66
2007-01-19,25,53.87
2007-01-26,38,55.08
2007-02-02,27,55.75
2007-02-09,35,52.75
2007-02-16,32,52.2
2007-02-23,30,52.16
2007-03-02,25,48.95
2007-03-09,33,48.36
2007-03-16,26,47.63
2007-03-23,29,49.32
2007-03-30,43,48.23
2007-04-13,30,48.73
2007-04-20,40,47.96
2007-04-27,32,47.34
2007-05-04,26,45.59
2007-05-11,36,47.61
2007-05-18,24,46.14
2007-05-25,32,47.55
2007-06-01,19,50.89
2007-06-08,18,48.11
2007-06-15,34,47.11
2007-06-22,29,46.13
2007-06-29,35,45.63
2007-07-06,31,46.45
2007-07-13,25,46.75
2007-07-20,33,45.78
2007-07-27,23,40.57
2007-08-03,26,38.82
2007-08-10,21,39.28
2007-08-17,30,40.47
2007-08-24,33,40.96
2007-08-31,34,40.24
2007-09-07,18,39.77
2007-09-14,19,40.23
2007-09-21,21,41.78
2007-09-28,27,42.36
2007-10-05,31,44.88
2007-10-12,25,42.12
2007-10-19,22,39.52
2007-10-26,20,39.32
2007-11-02,27,39.11
2007-11-09,27,37.82
2007-11-16,24,37.76
2007-11-23,10,36.92
2007-11-30,24,37.21
2007-12-07,23,40.05
2007-12-14,17,34.62
2007-12-21,20,36.98
2007-12-28,23,36.44
2008-01-04,21,33.38
2008-01-11,27,33.64
2008-01-18,38,32.72
2008-01-25,31,37.61
2008-02-01,33,38.75
2008-02-08,28,37.4
2008-02-15,29,38.6
2008-02-22,24,40.09
2008-02-29,34,38.18
2008-03-07,17,37.21
2008-03-14,19,38.62
2008-03-28,31,40.35
2008-04-04,30,43.29
2008-04-11,31,40.35
2008-04-18,29,42.39
2008-04-25,37,43.8
2008-05-02,31,43.63
2008-05-09,30,41.65
2008-05-16,32,44.07
2008-05-23,31,40.97
2008-05-30,30,42.29
2008-06-06,24,42.55
2008-06-13,19,42.61
2008-06-20,28,40.35
2008-06-27,29,38.25
2008-07-11,28,39.27
2008-07-18,18,41.3
2008-07-25,38,42.72
2008-08-01,32,44.12
2008-08-08,35,45.6
2008-08-15,24,44.89
2008-08-22,24,42.75
2008-08-29,25,42.2
2008-09-05,32,42.35
2008-09-12,26,42.85
2008-09-19,27,47.53
2008-09-26,33,45.51
2008-10-03,31,39.14
2008-10-10,25,41
2008-10-17,20,32.51
2008-10-24,25,30.08
2008-10-31,23,34.93
2008-11-07,33,33.06
2008-11-14,32,27.66
2008-11-21,26,25.35
2008-11-28,15,30.43
2008-12-05,25,33.64
2008-12-12,24,31.65
2008-12-19,26,29.53
2008-12-26,18,28.11
2009-01-02,19,28.23
2009-01-09,29,25.82
2009-01-16,33,27.27
2009-01-23,19,25.13
2009-01-30,30,23.93
2009-02-06,34,23.07
2009-02-13,24,21.05
2009-02-20,32,20.47
2009-02-27,36,17.6
2009-03-06,36,17.09
2009-03-13,23,20.33
2009-03-20,33,16.99
2009-03-27,31,18.5
2009-04-03,32,21.67
2009-04-17,28,22.67
2009-04-24,31,23.21
2009-05-01,32,21.47
2009-05-08,29,24.26
2009-05-15,26,22.04
2009-05-22,29,22.38
2009-05-29,25,24.34
2009-06-05,38,24.64
2009-06-12,30,23.91
