"Date","SPLS","Price"
2006-03-03,51,24.89
2006-10-06,46,25.7
2006-10-13,73,26.88
2006-10-20,100,25.71
2006-10-27,48,25.77
2006-11-03,48,25.36
2006-11-10,39,25.65
2006-11-17,45,26.65
2006-11-24,47,25.62
2006-12-01,48,25.34
2007-02-02,41,26.45
2007-02-09,34,26.7
2007-02-16,34,26.85
2007-02-23,34,27.19
2007-03-02,55,25.45
2007-05-04,42,25.28
2007-05-11,29,24.77
2007-05-18,29,25.55
2007-05-25,29,24.4
2007-07-13,39,24.83
2007-07-20,38,24.81
2007-07-27,38,23.14
2007-10-05,34,22.59
2007-10-12,44,22.06
2007-10-19,43,21.54
2007-10-26,39,22.33
2007-11-02,35,21.9
2007-11-09,34,20.93
2007-11-16,39,21.09
2007-11-23,45,20.56
2007-11-30,51,23.7
2007-12-07,40,24.6
2007-12-14,28,22.64
2007-12-21,40,23.14
2007-12-28,33,23.04
2008-01-04,33,21.27
2008-01-11,33,20.71
2008-01-18,24,21.53
2008-01-25,38,22.55
2008-02-01,25,23.93
2008-02-08,25,23.01
2008-02-15,25,22.04
2008-02-22,24,23.58
2008-02-29,35,22.25
2008-03-07,26,21.74
2008-03-14,25,20.87
2008-03-28,30,22.41
2008-04-04,25,23.25
2008-04-11,25,21.8
2008-04-18,28,22.51
2008-04-25,24,22.44
2008-05-02,24,23.35
2008-05-09,21,21.5
2008-05-16,21,23.83
2008-05-23,30,22.67
2008-05-30,40,23.45
2008-06-06,26,23.23
2008-06-13,40,25.49
2008-06-20,34,24.61
2008-06-27,29,23.96
2008-07-11,47,21.01
2008-07-18,39,22.55
2008-07-25,28,22.38
2008-08-01,32,22.65
2008-08-08,34,24.47
2008-08-15,48,24.9
2008-08-22,34,24.72
2008-08-29,22,24.2
2008-09-05,25,24.68
2008-09-12,28,24.5
2008-09-19,31,25.02
2008-09-26,25,23.07
2008-10-03,25,20
2008-10-10,50,16.43
2008-10-17,42,17.17
2008-10-24,47,14.44
2008-10-31,40,19.43
2008-11-07,52,18.35
2008-11-14,26,17.09
2008-11-21,30,15.64
2008-11-28,25,17.36
2008-12-05,37,18.46
2008-12-12,29,16.92
2008-12-19,21,18.3
2008-12-26,21,17.57
2009-01-02,21,18.79
2009-01-09,21,18.3
2009-01-16,18,17.45
2009-01-23,21,16.58
2009-01-30,31,15.94
2009-02-06,24,16.77
2009-02-13,29,15.74
2009-02-20,21,15.75
2009-02-27,26,15.95
