"Date","Noble.Corp","Price"
2007-08-24,88,100.93
2007-10-05,80,47.76
2008-03-07,74,48.46
2008-03-14,71,49.56
2008-03-28,66,48.05
2008-04-04,66,52.97
2008-04-11,99,52.77
2008-04-18,87,57.46
2008-04-25,87,59.63
2008-05-02,65,58.08
2008-05-09,65,62.62
2008-05-16,65,65.44
2008-05-23,65,62.87
2008-05-30,64,63.14
2008-06-06,64,63.19
2008-08-01,66,52.64
2008-08-08,67,48.93
2008-08-15,73,49.37
2008-08-22,78,51.41
2008-08-29,83,50.29
2008-09-05,74,44.96
2008-09-12,64,46.92
2008-09-19,64,46.88
2008-09-26,64,46.91
2008-10-03,64,37.49
2008-10-10,64,25.14
2008-10-17,69,28.37
2008-10-24,73,25.9
2008-10-31,55,32.21
2008-12-12,62,24.87
2008-12-19,63,21.83
2008-12-26,65,21.47
2009-01-02,66,23.75
2009-01-09,70,22.87
2009-01-16,67,21.61
2009-01-23,67,24.92
2009-01-30,73,27.15
2009-02-06,60,28.48
2009-02-13,60,26.62
2009-02-20,55,24.96
2009-02-27,55,24.59
2009-03-06,55,22.59
2009-03-13,55,24.37
2009-03-20,62,25.18
2009-03-27,69,24.81
2009-04-03,55,26.1
2009-04-17,64,27.57
2009-04-24,64,28.98
2009-05-01,53,28.45
2009-05-08,53,30.9
2009-05-15,53,27.92
2009-05-22,53,31.04
2009-05-29,53,34.37
2009-06-05,55,35.31
2009-06-12,57,36.22
2009-07-24,69,34.02
2009-07-31,57,33.86
2009-08-07,57,34.44
2009-08-14,57,34.46
2009-08-21,57,36.1
2009-08-28,57,35.88
2009-09-04,46,35.47
2009-09-11,54,36.9
2009-09-18,53,38.11
2009-09-25,48,36.96
2009-10-02,48,36.15
2009-10-09,48,40.44
2009-10-16,51,42.54
2009-10-23,55,43.81
2009-10-30,55,40.74
2009-11-06,42,42.34
2009-11-13,41,43.28
2009-11-20,45,40.02
2009-11-27,49,41.21
2009-12-04,53,39.95
2010-01-15,39,43.73
2010-01-22,38,41.59
2010-01-29,38,40.32
2010-02-05,42,39.73
2010-02-12,37,40.69
2010-02-19,37,42.77
2010-02-26,37,42.26
2010-03-05,38,44.25
2010-03-12,41,43.5
2010-03-19,41,41.32
2010-03-26,41,39.59
2010-04-09,42,41.64
2010-04-16,45,40.38
2010-04-23,67,43.63
2010-04-30,42,39.49
2010-05-07,42,35.78
2010-05-14,46,34.64
2010-05-21,51,32.42
2010-05-28,55,29.07
2010-06-04,59,27.56
2010-06-11,73,29.78
2010-06-18,63,31.56
2010-06-25,43,29.28
2010-07-02,74,32.33
2010-07-09,40,31.67
2010-07-16,40,30.36
2010-07-23,55,31.81
2010-07-30,41,32.5
2010-08-06,41,34.43
2010-08-13,36,32.6
2010-08-20,51,31.5
2010-08-27,35,31.85
2010-09-03,48,32.7
2010-09-10,42,34.86
2010-09-17,40,35.08
2010-09-24,37,34.23
2010-10-01,39,33.5
2010-10-08,32,34.12
2010-10-15,32,35.9
2010-10-22,32,34.17
2010-10-29,51,34.53
2010-11-05,35,36.34
2010-11-12,35,36.9
2010-11-19,57,36.13
2010-11-26,49,34.39
2010-12-03,49,33.59
2010-12-10,37,34.67
2010-12-17,37,35.1
2010-12-31,36,35.77
2011-01-07,34,36.76
2011-01-14,30,38.09
2011-01-21,41,37.64
2011-01-28,52,37.34
2011-02-04,30,37.6
2011-02-11,40,38.91
2011-02-18,44,42.07
2011-02-25,47,44.19
2011-03-04,50,44.84
2011-03-11,59,44.1
2011-03-18,31,43.33
2011-03-25,36,45.14
2011-04-01,45,45.29
2011-04-08,69,45.6
2011-04-15,48,42.77
2011-04-29,38,43.01
2011-05-06,48,39.46
2011-05-13,48,39.59
2011-05-20,42,41
2011-05-27,31,41.55
2011-06-03,46,40.77
2011-06-10,36,38.63
2011-06-17,39,37.6
2011-06-24,45,37.71
2011-07-01,28,39.67
2011-07-08,28,37.34
2011-07-15,29,37.39
2011-07-22,67,38.07
2011-07-29,31,36.87
2011-08-05,48,31.13
2011-08-12,58,31.3
2011-08-19,33,29.66
2011-08-26,39,31.78
2011-09-02,45,32.66
2011-09-09,28,33.84
2011-09-16,25,35.37
2011-09-23,25,31.24
2011-09-30,25,29.35
2011-10-07,43,29.56
2011-10-14,44,31.48
2011-10-21,30,34.75
2011-10-28,31,37.55
2011-11-04,32,37.79
2011-11-11,32,37.59
2011-11-18,34,35.07
2011-11-25,35,32.46
2011-12-02,36,34.65
2011-12-09,34,33.04
2011-12-16,29,30.6
2011-12-23,29,31.63
2011-12-30,29,30.22
