"Date","SYK","Price"
2004-05-07,52,101.19
2004-05-14,44,101.47
2004-05-21,44,50.67
2004-05-28,44,50.85
2004-06-04,44,52.69
2004-06-18,46,54.26
2004-09-10,40,47.33
2004-09-17,38,48.15
2004-09-24,40,48.18
2004-10-01,46,48.4
2004-10-08,52,45.51
2004-10-15,47,42.09
2004-10-22,47,42.3
2004-10-29,47,43.09
2004-11-05,47,44.32
2004-11-12,40,44.48
2004-11-19,40,43.17
2004-11-26,36,44.44
2004-12-03,43,45.29
2004-12-10,47,46.55
2004-12-17,48,45.96
2004-12-31,47,48.25
2005-01-07,47,48.25
2005-01-14,63,48.78
2005-01-21,52,49.46
2005-01-28,52,48.08
2005-02-04,34,52.58
2005-02-11,34,50.95
2005-02-18,36,50.67
2005-02-25,41,50.03
2005-03-04,36,49.78
2005-03-11,32,47.43
2005-03-18,31,47.5
2005-04-01,39,44.15
2005-04-08,51,45.57
2005-04-15,31,46.28
2005-04-22,40,48.27
2005-04-29,39,48.55
2005-05-06,44,48.25
2005-05-13,49,46.62
2005-05-20,55,48.39
2005-05-27,40,48.91
2005-06-03,36,48.92
2005-06-10,60,48.9
2005-06-17,36,49.36
2005-06-24,28,47.11
2005-07-01,34,47.34
2005-07-08,51,47.89
2005-07-15,29,49.69
2005-07-22,31,53.09
2005-07-29,42,54.09
2005-08-05,37,52.62
2005-08-12,30,52.51
2005-08-19,39,53.3
2005-08-26,43,52.97
2005-09-02,47,54.6
2005-09-09,49,54.56
2005-09-16,41,50.2
2005-09-23,45,50.3
2005-09-30,38,49.43
2005-10-07,38,47.16
2005-10-14,52,46.46
2005-10-21,48,40.94
2005-10-28,46,41.5
2005-11-04,35,43.07
2005-11-11,42,44.82
2005-11-18,48,44.26
2005-11-25,45,43.9
2005-12-02,41,46.31
2005-12-09,50,46.95
2005-12-16,45,47.74
2005-12-23,31,46.09
2005-12-30,44,44.43
2006-01-06,50,45.14
2006-01-13,60,46.2
2006-01-20,55,45.22
2006-01-27,58,50.33
2006-02-03,77,47.05
2006-02-10,57,47.66
2006-02-17,60,48.42
2006-02-24,23,46.93
2006-03-03,49,46.2
2006-03-10,55,46.34
2006-03-17,61,49.24
2006-03-24,54,47.45
2006-03-31,56,44.34
2006-04-07,55,43.12
2006-04-21,49,45.58
2006-04-28,65,43.75
2006-05-05,57,44.01
2006-05-12,56,43
2006-05-19,66,44.16
2006-05-26,68,44.69
2006-06-02,48,44.65
2006-06-09,40,43.93
2006-06-16,59,45.06
2006-06-23,49,44.88
2006-06-30,38,42.11
2006-07-07,62,43.15
2006-07-14,55,42.62
2006-07-21,46,44.13
2006-07-28,49,46.11
2006-08-04,50,46.28
2006-08-11,55,46.58
2006-08-18,59,47.38
2006-08-25,49,47.6
2006-09-01,44,48.05
2006-09-08,59,48.82
2006-09-15,37,50.92
2006-09-22,68,50.12
2006-09-29,61,49.59
2006-10-06,61,50.72
2006-10-13,77,50.41
2006-10-20,70,52.73
2006-10-27,53,52.65
2006-11-03,81,51.44
2006-11-10,85,51.03
2006-11-17,69,52.22
