"Date","sell.EL","Price"
2006-07-21,100,36.34
2007-01-19,75,40.94
2007-01-26,68,40.54
2007-02-02,68,46.13
2007-02-09,68,46.63
2007-02-16,68,47.75
2007-02-23,60,47.36
2007-03-02,60,45.93
2007-03-09,60,47.62
2007-05-04,59,47.93
2007-05-11,54,47.06
2007-05-18,54,47
2007-05-25,49,47.25
2007-06-01,49,47.21
2007-06-08,49,45.95
2007-06-15,49,46.07
2007-06-22,49,45.42
2007-06-29,49,45.51
2007-07-06,75,46.08
2007-07-13,64,47.11
2007-07-20,64,47.12
2007-07-27,64,45.83
2007-08-03,54,44.54
2007-08-10,54,43.35
2007-08-17,52,40.31
2007-08-24,52,42.7
2007-08-31,55,41.59
2007-09-07,59,40.87
2007-09-14,62,40.09
2007-09-21,44,42.58
2007-09-28,56,42.46
2007-10-05,43,43.96
2007-10-12,56,43.14
2007-10-19,59,43.67
2007-10-26,61,45.11
2007-11-02,56,42.21
2007-11-09,56,44.25
2007-11-16,37,44.58
2007-11-23,49,41.95
2007-11-30,61,44.88
2007-12-07,62,43.56
2007-12-14,62,43.3
2007-12-21,63,44.95
2007-12-28,63,43.81
2008-01-04,64,41.87
2008-01-11,48,38.76
2008-01-18,48,38.77
2008-01-25,48,39.24
2008-02-01,41,44.83
2008-02-08,41,43.55
2008-02-15,41,43.45
2008-02-22,36,42.5
2008-02-29,36,42.58
2008-03-07,46,43.73
2008-03-14,57,44.33
2008-03-28,40,45.28
2008-04-04,35,47.27
2008-04-11,63,45.38
2008-04-18,49,44.35
2008-04-25,46,45.65
2008-05-02,39,44.33
2008-05-09,39,48.08
2008-05-16,38,48.05
2008-05-23,62,46.54
2008-05-30,41,47.6
2008-06-06,41,46.24
2008-06-13,35,48.84
2008-06-20,46,46.05
2008-06-27,57,46.12
2008-07-11,36,42.89
2008-07-18,50,43.41
2008-07-25,51,42.91
2008-08-01,50,44.18
2008-08-08,83,46.39
2008-08-15,44,51.98
2008-08-22,42,50.44
2008-08-29,48,49.77
2008-09-05,59,52.77
2008-09-12,61,53.42
2008-09-19,38,50.96
2008-09-26,43,50.88
2008-10-03,47,46.13
2008-10-10,65,39.75
2008-10-17,46,36.53
2008-10-24,39,32.44
2008-10-31,43,36.04
2008-11-07,34,33.62
2008-11-14,46,29.93
2008-11-21,59,25.65
2008-11-28,54,27.9
2008-12-05,49,28.11
2008-12-12,42,29.6
2008-12-19,36,29.63
2008-12-26,58,29.52
2009-01-02,43,32.65
2009-01-09,48,30.57
2009-01-16,28,26.11
2009-01-23,55,25.3
2009-01-30,31,26.25
2009-02-06,43,28.12
2009-02-13,32,26.89
2009-02-20,41,24.73
2009-02-27,49,22.65
2009-03-06,48,20.66
2009-03-13,37,22.14
2009-03-20,48,23.21
2009-03-27,60,25.72
2009-04-03,48,26.68
2009-04-17,49,27.98
2009-04-24,40,29.28
2009-05-01,40,31.13
2009-05-08,42,33.9
2009-05-15,39,32.08
2009-05-22,56,32.4
2009-05-29,44,33.08
2009-06-05,59,33.72
2009-06-12,53,33.93
2009-06-19,50,31.44
2009-06-26,48,32.82
2009-07-10,42,30.27
2009-07-17,52,33.21
2009-07-24,50,35.62
2009-07-31,45,36.44
2009-08-07,37,37.21
2009-08-14,63,36.08
2009-08-21,44,35.84
2009-08-28,60,36.57
2009-09-04,41,34.58
2009-09-11,41,34.25
2009-09-18,43,36.79
2009-09-25,50,35.83
2009-10-02,55,36.34
2009-10-09,37,39.68
2009-10-16,35,41.11
2009-10-23,47,42
2009-10-30,43,42.5
2009-11-06,56,46.75
2009-11-13,46,46.63
2009-11-20,29,47.86
2009-11-27,52,46.99
2009-12-04,59,48.81
2009-12-11,46,49.3
2009-12-18,36,47.49
2010-01-08,54,49.31
2010-01-15,54,49.76
2010-01-22,66,53.17
2010-01-29,49,52.52
2010-02-05,36,55.4
2010-02-12,49,56.66
2010-02-19,50,58.83
2010-02-26,40,60.13
2010-03-05,46,61.66
2010-03-12,38,63.51
2010-03-19,44,63.13
2010-03-26,54,63.92
2010-04-09,40,65.46
2010-04-16,60,67.89
2010-04-23,63,69.5
2010-04-30,57,65.92
2010-05-07,51,58.53
