"Date","buy.MON","Price"
2009-03-27,52,86.24
2009-04-03,52,81.26
2009-04-17,52,81.06
2009-04-24,53,81.12
2009-05-01,53,85.25
2009-06-19,60,80.73
2009-06-26,51,75.25
2009-07-10,59,71.34
2009-07-17,68,75.41
2009-07-24,56,84.16
2009-07-31,56,84
2009-08-07,56,83.33
2009-08-14,56,81.24
2009-08-21,56,83.78
2009-08-28,53,83
2009-09-04,53,82.24
2009-10-30,49,67.18
2009-11-06,50,69.14
2009-11-13,52,73.58
2009-11-20,71,80.08
2009-11-27,90,79.5
2009-12-04,47,83.44
2010-03-05,52,72.5
2010-03-12,40,72.35
2010-03-19,40,72.2
2010-03-26,41,71.1
2010-04-09,49,68.85
2010-04-16,56,64.73
2010-04-23,63,65.66
2010-06-04,50,49.02
2010-09-10,48,57.23
2010-09-17,38,56.23
2010-09-24,38,55.38
2010-10-01,38,48.26
2010-10-08,55,50.87
2010-10-15,34,56.78
2010-10-22,34,57.15
2010-10-29,34,59.42
2010-11-05,43,62.27
2010-11-12,50,62.15
2010-11-19,46,59.45
2010-11-26,33,59.53
2010-12-03,100,62.82
2010-12-10,49,60.95
2010-12-17,46,64.6
2010-12-31,64,69.64
2011-01-07,36,71.79
2011-01-14,53,74.33
2011-01-21,34,70.11
2011-01-28,46,71.54
2011-02-04,35,74.66
2011-02-11,46,75.05
2011-02-18,35,72.39
2011-02-25,35,72.21
2011-03-04,35,73.06
2011-03-11,36,67.51
2011-03-18,29,67.84
2011-03-25,29,70.76
2011-04-01,39,73.17
2011-04-08,36,66.22
2011-04-15,40,67.33
2011-04-29,31,68.04
2011-05-06,39,65.27
2011-05-13,43,63.79
2011-05-20,47,66.33
2011-05-27,36,69.64
2011-06-03,46,68.79
2011-06-10,35,68.77
2011-06-17,35,65.85
2011-06-24,44,65.96
2011-07-01,30,72.65
2011-07-08,32,75.17
2011-07-15,33,74.06
2011-07-22,44,75.41
2011-07-29,36,73.48
2011-08-05,36,67.15
2011-08-12,49,69.85
2011-08-19,32,66
2011-08-26,34,70.68
2011-09-02,39,65.8
2011-09-09,43,65.01
2011-09-16,35,69.77
2011-09-23,27,63.64
2011-09-30,29,60.04
2011-10-07,53,70.93
2011-10-14,49,74.4
2011-10-21,26,74.83
2011-10-28,33,76.43
2011-11-04,40,72.5
2011-11-11,47,75.1
2011-11-18,30,71.39
2011-11-25,62,67.71
2011-12-02,48,70.42
2011-12-09,45,71.23
2011-12-16,48,68.14
2011-12-23,61,70.98
2011-12-30,31,70.07
2012-01-06,41,77.51
2012-01-13,29,79.59
2012-01-20,40,80.05
2012-01-27,38,80.53
2012-02-03,23,82.15
2012-02-10,47,77.34
2012-02-17,45,79.34
2012-02-24,59,79.52
2012-03-02,33,80.73
2012-03-09,33,79.29
2012-03-16,35,78.81
2012-03-23,38,78.44
2012-03-30,24,79.76
2012-04-13,34,77.07
2012-04-20,42,77.16
2012-04-27,28,77.84
2012-05-04,28,73.6
2012-05-11,39,72.45
2012-05-18,23,69.89
2012-05-25,23,73.56
2012-06-01,29,76.17
2012-06-08,34,79.4
2012-06-15,30,78.7
2012-06-22,42,78.45
2012-06-29,42,82.78
2012-07-06,47,82.09
2012-07-13,37,83.86
2012-07-20,23,87.52
2012-07-27,31,86.88
2012-08-03,40,87.04
2012-08-10,23,86.74
2012-08-17,28,87.87
2012-08-24,26,85.34
2012-08-31,27,87.11
2012-09-07,36,89.39
2012-09-14,38,88.97
2012-09-21,31,90.92
2012-09-28,35,91.02
2012-10-05,35,91.16
2012-10-12,29,88.57
2012-10-19,29,88.69
2012-10-26,27,86.6
2012-11-02,29,85.87
2012-11-09,46,86.43
2012-11-16,58,85.23
2012-11-23,65,90.58
2012-11-30,55,91.59
2012-12-07,34,90.69
2012-12-14,42,89.13
2012-12-21,44,92.55
2012-12-28,50,93.08
2013-01-04,40,96.11
2013-01-11,25,100.08
2013-01-18,32,102.47
2013-01-25,37,103.45
2013-02-01,30,102.27
2013-02-08,31,101.15
2013-02-15,29,103.51
2013-02-22,37,99.98
2013-03-01,52,101.66
2013-03-08,24,103.35
2013-03-15,33,104.24
2013-03-22,22,101.32
2013-04-05,49,105.1
2013-04-12,41,105.45
2013-04-19,32,103.22
2013-04-26,32,104.68
2013-05-03,30,107.28
2013-05-10,24,108.12
2013-05-17,24,108.38
2013-05-24,37,104.83
2013-05-31,18,100.64
2013-06-07,18,101.65
2013-06-14,28,105.63
2013-06-21,39,103.19
2013-06-28,19,98.8
2013-07-05,21,98.71
2013-07-12,29,102.95
2013-07-19,37,104.16
2013-07-26,44,100.51
2013-08-02,23,97.46
2013-08-09,24,96.25
2013-08-16,25,94.99
2013-08-23,30,96.22
2013-08-30,35,97.89
2013-09-06,23,99.89
2013-09-13,34,104.18
2013-09-20,34,106.05
2013-09-27,27,105.61
2013-10-04,39,105.63
2013-10-11,28,106.58
2013-10-18,30,105.74
2013-10-25,29,108
2013-11-01,37,105.15
2013-11-08,24,107.22
2013-11-15,35,111.06
2013-11-22,42,113.86
2013-11-29,40,113.33
2013-12-06,42,111.75
2013-12-13,38,110.66
2013-12-20,35,113.73
2013-12-27,46,115.39
2014-01-03,28,116.35
2014-01-10,37,113.06
2014-01-17,38,113.11
2014-01-24,28,107.94
2014-01-31,25,106.55
2014-02-07,24,110.75
2014-02-14,26,109.49
2014-02-21,37,112.45
2014-02-28,39,110.02
2014-03-07,24,114.08
2014-03-14,39,113.21
2014-03-21,47,113.28
2014-03-28,30,112.32
2014-04-04,27,114.28
2014-04-11,27,110.9
2014-04-25,30,109.67
