"Date","Kimco.Realty","Price"
2006-07-14,100,36.54
2006-11-17,65,44.15
2007-01-12,55,46.94
2007-05-11,55,47.94
2007-05-18,56,43.77
2007-05-25,57,43.23
2007-06-01,58,46.35
2007-06-08,59,44.28
2007-06-15,60,42.56
2007-06-22,51,39.17
2007-06-29,51,38.07
2007-07-06,51,39.43
2007-07-13,51,40.11
2007-07-20,52,38.95
2007-07-27,54,36.6
2007-08-03,56,37.7
2007-08-10,58,39.68
2007-08-17,60,40.03
2007-08-24,43,41.84
2007-08-31,43,42.82
2007-09-07,43,40.62
2007-09-14,41,43.5
2007-09-21,41,45.76
2007-09-28,41,45.21
2007-10-05,43,47.63
2007-10-12,46,45.7
2007-10-19,48,41.05
2007-10-26,50,42.09
2007-11-02,41,38.82
2007-11-09,41,37.9
2007-11-16,41,37.84
2007-11-23,45,37.82
2007-11-30,48,39.49
2007-12-07,52,40.53
2007-12-14,55,37.31
2007-12-21,57,37.53
2007-12-28,59,36.03
2008-01-04,60,33.77
2008-01-11,62,32.58
2008-01-18,64,30.7
2008-01-25,39,34.84
2008-02-01,46,37.37
2008-02-08,45,34.15
2008-02-15,45,34.05
2008-02-22,37,33.9
2008-02-29,37,33.77
2008-03-07,37,34.05
2008-03-14,37,33.65
2008-03-28,41,38.76
2008-04-04,40,40.8
2008-04-11,37,37.99
2008-04-18,37,40.57
2008-04-25,37,42.09
2008-05-02,38,41.24
2008-05-09,33,39.49
2008-05-16,33,40.87
2008-05-23,33,38.77
2008-05-30,33,39.35
2008-06-06,38,37.89
2008-06-13,39,37.79
2008-06-20,40,36.37
2008-06-27,41,34.77
2008-07-11,44,32.62
2008-07-18,38,34.24
2008-07-25,38,34.69
2008-08-01,47,34.95
2008-08-08,34,36.57
2008-08-15,32,37.06
2008-08-22,32,36.44
2008-08-29,32,37.14
2008-09-05,36,37.81
2008-09-12,39,38.87
2008-09-19,41,42.95
2008-09-26,42,38.38
2008-10-03,36,31.36
2008-10-10,32,29.78
2008-10-17,43,24.63
2008-10-24,54,18.5
2008-10-31,36,22.58
2008-11-07,32,21.01
2008-11-14,28,17.25
2008-11-21,28,11.28
2008-11-28,31,14.15
2008-12-05,32,16.28
2008-12-12,34,15.99
2008-12-19,35,18.85
2008-12-26,35,18.5
2009-01-02,36,18.2
2009-01-09,36,17.9
2009-01-16,37,17.07
2009-01-23,36,15.61
2009-01-30,37,14.38
2009-02-06,36,13.38
2009-02-13,30,10.4
2009-02-20,26,10.01
2009-02-27,36,8.85
2009-03-06,43,7.01
2009-03-13,50,9.18
2009-03-20,33,7.3
2009-03-27,42,7.65
2009-04-03,58,9.4
2009-04-17,33,11.08
2009-04-24,32,11.67
