"Date","EOG.Resources","Price"
2006-09-22,27,62.19
2007-01-05,30,62.68
2007-01-12,60,62.28
2007-01-19,29,64.73
2007-03-23,34,71.45
2007-03-30,24,71.34
2007-04-13,25,76.98
2007-04-20,25,73.98
2007-04-27,27,74.25
2007-05-04,21,76.92
2007-05-11,19,75.91
2007-05-18,30,78.47
2007-05-25,25,76.61
2007-06-01,23,77.14
2007-06-08,19,75.34
2007-06-15,20,80.49
2007-06-22,21,76.62
2007-06-29,21,73.06
2007-07-06,26,74.94
2007-07-13,31,74.91
2007-07-20,24,75.03
2007-07-27,29,69.11
2007-08-03,21,70.47
2007-08-10,29,71.99
2007-08-17,36,71.58
2007-08-24,18,67.89
2007-08-31,27,67.36
2007-09-07,28,69.9
2007-09-14,21,72.35
2007-09-21,17,74.49
2007-09-28,27,72.33
2007-10-05,17,77.41
2007-10-12,27,81.37
2007-10-19,19,79.8
2007-10-26,28,81.91
2007-11-02,36,87.47
2007-11-09,28,87.41
2007-11-16,20,85.28
2007-11-23,21,83.64
2007-11-30,22,82.78
2007-12-07,24,88.16
2007-12-14,21,88.35
2007-12-21,21,90.43
2007-12-28,21,90.92
2008-01-04,21,88.97
2008-01-11,21,88.93
2008-01-18,25,85.13
2008-01-25,67,83.98
2008-02-01,29,89.45
2008-02-08,22,94.12
2008-02-15,25,96.03
2008-02-22,21,99.35
2008-02-29,38,118.99
2008-03-07,31,116.46
2008-03-14,33,126.1
2008-03-28,32,118.88
2008-04-04,33,123.78
2008-04-11,30,126.32
2008-04-18,37,134.17
2008-04-25,33,135.75
2008-05-02,38,127.75
2008-05-09,21,138.5
2008-05-16,20,140.99
2008-05-23,16,134.97
2008-05-30,26,128.63
2008-06-06,31,128.81
2008-06-13,30,130.31
2008-06-20,18,130.41
2008-06-27,16,130.19
2008-07-11,29,118.56
2008-07-18,35,106.39
2008-07-25,31,104.05
2008-08-01,30,100.49
2008-08-08,35,93.86
2008-08-15,29,95.6
2008-08-22,23,103.64
2008-08-29,23,104.42
2008-09-05,19,95.78
2008-09-12,14,90.82
2008-09-19,29,97
2008-09-26,16,94.52
2008-10-03,12,79.94
2008-10-10,28,59.59
2008-10-17,18,68.94
2008-10-24,14,65.87
2008-10-31,22,80.92
2008-11-07,28,79.88
2008-11-14,23,80.63
2008-11-21,17,74.71
2008-11-28,15,85.02
2008-12-05,19,67.94
2008-12-12,20,67.97
2008-12-19,17,64.96
2008-12-26,17,64.27
2009-01-02,17,70.39
2009-01-09,17,66.54
2009-01-16,21,63.73
2009-01-23,25,66.57
2009-01-30,59,67.77
2009-02-06,29,68.41
2009-02-13,20,63.72
2009-02-20,18,55.11
2009-02-27,19,50.04
2009-03-06,26,52.07
2009-03-13,19,58.99
2009-03-20,17,61.95
2009-03-27,25,59.31
2009-04-03,23,63.14
2009-04-17,19,60.08
2009-04-24,21,63.17
2009-05-01,17,66.08
2009-05-08,28,76.87
2009-05-15,16,68.25
2009-05-22,25,69.19
2009-05-29,29,73.19
2009-06-05,22,73.51
2009-06-12,23,77.62
2009-06-19,22,69.92
2009-06-26,23,67.56
2009-07-10,27,62.5
2009-07-17,25,69.59
2009-07-24,29,74.69
2009-07-31,18,74.03
2009-08-07,22,74.73
2009-08-14,42,74.69
2009-08-21,24,75.79
2009-08-28,27,73.25
2009-09-04,27,70.47
2009-09-11,18,75.95
2009-09-18,18,81.86
2009-09-25,30,78.94
2009-10-02,18,80.76
2009-10-09,20,89.6
2009-10-16,41,92.81
2009-10-23,18,89.16
2009-10-30,27,81.66
2009-11-06,23,90.35
2009-11-13,26,88.5
2009-11-20,15,86.47
2009-11-27,27,87.23
2009-12-04,19,87.07
2009-12-11,18,86.05
2009-12-18,32,92.95
2010-01-08,27,99.05
2010-01-15,25,96.87
