"Date","SBUX","Price"
2004-11-19,23,55.21
2004-11-26,19,56.6
2004-12-03,19,58.58
2004-12-10,33,58.06
2004-12-17,19,58.18
2004-12-31,19,62.36
2005-01-07,19,59.67
2005-01-14,19,56.21
2005-01-21,17,55.68
2005-01-28,17,53.7
2005-02-04,20,50.66
2005-02-11,18,50.18
2005-02-18,18,49.93
2005-02-25,17,51.17
2005-03-04,17,54.44
2005-03-11,15,53.5
2005-03-18,19,52.52
2005-04-01,28,51.26
2005-04-08,33,48.62
2005-04-15,14,47.34
2005-04-22,16,45.56
2005-04-29,20,49.52
2005-05-06,27,52.42
2005-05-13,24,54
2005-05-20,17,54.99
2005-05-27,23,55.63
2005-06-03,20,55.46
2005-06-10,20,54.77
2005-06-17,20,54.55
2005-06-24,25,52.44
2005-07-01,19,51.05
2005-07-08,18,51.78
2005-07-15,31,52.7
2005-07-22,26,51.32
2005-07-29,38,52.55
2005-08-05,16,50.54
2005-08-12,16,52.03
2005-08-19,23,51.1
2005-08-26,19,49.42
2005-09-02,19,48.3
2005-09-09,19,48.39
2005-09-16,20,46.98
2005-09-23,20,48.54
2005-09-30,24,50.1
2005-10-07,28,51.04
2005-10-14,35,52.88
2005-10-21,45,55.01
2005-10-28,43,27.81
2005-11-04,41,30.36
2005-11-11,42,30.15
2005-11-18,72,30.98
2005-11-25,50,31.7
2005-12-02,44,31.93
2005-12-09,44,31.11
2005-12-16,43,31.19
2005-12-23,34,30.56
2005-12-30,29,30.01
2006-01-06,46,31.62
2006-01-13,55,31.29
2006-01-20,43,30.31
2006-01-27,43,31.95
2006-02-03,73,33.88
2006-02-10,62,35.5
2006-02-17,67,35.39
2006-02-24,47,35.92
2006-03-03,48,35.58
2006-03-10,60,35.39
2006-03-17,48,36.61
2006-03-24,43,36.62
2006-03-31,58,37.63
2006-04-07,44,37.86
2006-04-21,60,38.7
2006-04-28,60,37.27
2006-05-05,70,39.63
2006-05-12,74,35.65
2006-05-19,57,36.33
2006-05-26,50,35.43
2006-06-02,50,35.99
2006-06-09,60,35.89
2006-06-16,43,36.61
2006-06-23,36,36.5
2006-06-30,44,37.76
2006-07-07,45,36.04
2006-07-14,44,33.66
2006-07-21,54,33.79
2006-07-28,48,34.03
2006-08-04,77,30.61
2006-08-11,55,29.9
2006-08-18,43,31.12
2006-08-25,35,29.95
2006-09-01,51,31.76
2006-09-08,40,31.19
2006-09-15,39,33.85
2006-09-22,60,34.01
2006-09-29,36,34.05
2006-10-06,87,38.41
2006-10-13,72,37.93
2006-10-20,57,37.44
2006-10-27,43,38.02
2006-11-03,54,36.47
2006-11-10,50,37.79
2006-11-17,90,37.42
