"Date","buy.UPS","Price"
2004-02-06,69,71.35
2004-06-18,63,73.42
2004-06-25,63,74.77
2004-07-02,64,74.27
2004-07-09,64,73.06
2004-07-16,64,73.79
2004-07-23,65,71.41
2004-10-01,54,76.76
2004-10-08,55,76.03
2004-10-15,55,77.74
2004-10-22,55,76.49
2004-10-29,56,79.18
2004-12-10,45,86.61
2004-12-17,51,85.9
2005-02-04,57,74.1
2005-02-11,55,75.2
2005-02-18,42,77.22
2005-02-25,42,77.19
2005-03-04,42,77.91
2005-03-11,42,76.06
2005-03-18,42,73.5
2005-04-01,42,71.9
2005-04-08,42,71.7
2005-04-15,42,68.75
2005-04-22,58,67.9
2005-04-29,37,71.31
2005-05-06,37,71.52
2005-05-13,37,72.15
2005-05-20,52,74.99
2005-05-27,37,74.69
2005-06-03,37,72.82
2005-06-10,37,70.96
2005-06-17,37,70.98
2005-06-24,42,68.6
2005-07-01,46,69.21
2005-07-08,41,69.95
2005-07-15,41,70.15
2005-07-22,41,72.92
2005-07-29,41,72.97
2005-08-05,45,73.44
2005-08-12,48,73.06
2005-08-19,51,71.48
2005-08-26,54,71.33
2005-09-02,49,68.98
2005-09-09,49,68.5
2005-09-16,49,68.98
2005-09-23,32,68.37
2005-09-30,32,69.13
2005-10-07,35,68.44
2005-10-14,41,70.01
2005-10-21,49,71.68
2005-10-28,43,72.82
2005-11-04,44,74.1
2005-11-11,35,76.26
2005-11-18,38,78.15
2005-11-25,40,79.54
2005-12-02,49,77.45
2005-12-09,56,75.79
2005-12-16,79,76.02
2005-12-23,68,77.14
2005-12-30,71,75.15
2006-01-06,73,75.23
2006-01-13,33,74.5
2006-01-20,29,75.24
2006-01-27,32,75.4
2006-02-03,40,73.06
2006-02-10,39,74.78
2006-02-17,28,76.25
2006-02-24,39,75.32
2006-03-03,28,75.51
2006-03-10,27,77.36
2006-03-17,45,78.14
2006-03-24,34,78.82
2006-03-31,32,79.38
2006-04-07,32,81.74
2006-04-21,35,82.03
2006-04-28,24,81.07
2006-05-05,46,83.35
2006-05-12,43,80.86
2006-05-19,29,79.94
2006-05-26,34,81.03
2006-06-02,37,81.05
2006-06-09,42,78.99
2006-06-16,30,79.28
2006-06-23,54,80.4
2006-06-30,44,82.33
2006-07-07,48,81.09
2006-07-14,39,78.57
2006-07-21,40,78.73
2006-07-28,25,70.01
2006-08-04,33,67.74
2006-08-11,40,66.51
2006-08-18,43,71.08
2006-08-25,43,70.57
2006-09-01,27,71.08
2006-09-08,42,69.56
2006-09-15,41,72.51
2006-09-22,46,70.89
2006-09-29,40,71.94
2006-10-06,40,74.27
2006-10-13,33,73.4
2006-10-20,40,76.1
2006-10-27,50,74.87
2006-11-03,26,73.2
2006-11-10,45,75.56
2006-11-17,36,79.13
2006-11-24,39,78.84
2006-12-01,43,77.31
2006-12-08,53,78.11
2006-12-15,65,76.67
2006-12-22,75,73.87
2006-12-29,39,74.98
2007-01-05,50,74.15
2007-01-12,41,74.44
2007-01-19,45,75.02
2007-01-26,24,72.49
2007-02-02,48,74.17
2007-02-09,30,73.56
2007-02-16,25,74.04
2007-02-23,48,73.34
2007-03-02,34,69.47
2007-03-09,23,70.63
2007-03-16,23,69.26
2007-03-23,20,71.47
2007-03-30,41,70.1
2007-04-13,38,70.31
2007-04-20,45,72.82
2007-04-27,33,71.5
2007-05-04,29,71.09
2007-05-11,41,71.27
2007-05-18,55,70.05
2007-05-25,34,71.08
2007-06-01,25,72.36
2007-06-08,34,72.32
2007-06-15,38,74.05
2007-06-22,46,72.85
2007-06-29,39,73
2007-07-06,39,73.7
2007-07-13,37,75.15
2007-07-20,36,75.01
2007-07-27,34,75.67
2007-08-03,37,75.17
2007-08-10,44,76.75
2007-08-17,58,76.32
2007-08-24,37,77.03
2007-08-31,45,75.86
2007-09-07,30,74.13
2007-09-14,32,74.38
2007-09-21,51,75.75
2007-09-28,40,75.1
2007-10-05,45,76.41
2007-10-12,44,76.62
2007-10-19,42,75.03
2007-10-26,47,74.97
2007-11-02,48,74.03
2007-11-09,25,70.71
2007-11-16,41,72.01
2007-11-23,45,70.92
2007-11-30,68,73.68
2007-12-07,54,74.17
2007-12-14,60,72.61
2007-12-21,98,72.4
2007-12-28,67,71.56
2008-01-04,37,68.01
2008-01-11,43,69.59
2008-01-18,53,67.16
2008-01-25,46,69.97
2008-02-01,31,73.78
2008-02-08,36,70.58
2008-02-15,37,72.42
2008-02-22,46,71.89
2008-02-29,33,70.24
2008-03-07,27,71.96
2008-03-14,42,69.61
2008-03-28,35,72.26
2008-04-04,57,74.41
2008-04-11,29,70.89
2008-04-18,45,73.19
2008-04-25,44,72.72
2008-05-02,56,73.28
2008-05-09,48,70.29
2008-05-16,52,70.77
2008-05-23,52,67.02
2008-05-30,46,71.02
2008-06-06,38,68.59
2008-06-13,50,68.31
2008-06-20,49,66.37
2008-06-27,47,60.36
2008-07-11,51,57.99
2008-07-18,50,60.81
2008-07-25,51,62.55
2008-08-01,42,62.26
2008-08-08,45,65.7
2008-08-15,50,66.14
2008-08-22,51,63.52
2008-08-29,55,64.12
2008-09-05,44,63.89
2008-09-12,44,68.6
2008-09-19,68,67.7
2008-09-26,49,64.39
2008-10-03,46,60.76
2008-10-10,30,51.7
2008-10-17,58,50.54
2008-10-24,39,46.55
2008-10-31,48,52.78
2008-11-07,41,51.92
2008-11-14,66,53.14
2008-11-21,47,52.31
2008-11-28,53,57.6
2008-12-05,74,57.83
2008-12-12,67,52.03
2008-12-19,59,53.33
2008-12-26,74,53.16
2009-01-02,73,56.11
2009-01-09,66,50.93
2009-01-16,37,48.2
2009-01-23,60,46.92
2009-01-30,35,42.49
2009-02-06,42,47.07
2009-02-13,41,44.84
2009-02-20,44,42.8
2009-02-27,52,41.18
2009-03-06,39,39.38
2009-03-13,48,43.09
2009-03-20,46,44.71
2009-03-27,56,50.11
2009-04-03,47,52.75
2009-04-17,50,54.65
2009-04-24,43,53.28
2009-05-01,60,51.66
2009-05-08,40,57.62
2009-05-15,43,51.99
2009-05-22,44,49.65
2009-05-29,47,51.14
2009-06-05,55,51.52
2009-06-12,40,50.53
2009-06-19,50,48.14
2009-06-26,54,49.86
2009-07-10,56,48.57
2009-07-17,52,52.17
2009-07-24,45,53.4
2009-07-31,56,53.73
2009-08-07,68,54.11
2009-08-14,62,53.53
2009-08-21,72,53.62
2009-08-28,56,53.71
2009-09-04,61,53.81
2009-09-11,47,58.8
2009-09-18,59,58.77
2009-09-25,51,56.81
2009-10-02,48,54.94
2009-10-09,62,55.97
2009-10-16,47,57.12
2009-10-23,56,55.7
2009-10-30,54,53.68
2009-11-06,44,54.86
2009-11-13,52,56.69
2009-11-20,52,57.51
2009-11-27,56,57.43
2009-12-04,72,57.87
2009-12-11,72,58.01
2009-12-18,91,57.98
2010-01-08,66,60.17
2010-01-15,60,61.93
2010-01-22,55,58.75
2010-01-29,53,57.77
2010-02-05,39,57.2
2010-02-12,58,56.15
2010-02-19,56,57.81
2010-02-26,46,58.74
2010-03-05,55,59.49
2010-03-12,48,62.32
2010-03-19,51,64.33
2010-03-26,50,63.67
2010-04-09,57,64.44
2010-04-16,49,68.21
2010-04-23,66,68.86
2010-04-30,60,69.14
2010-05-07,61,63.93
2010-05-14,59,65.75
2010-05-21,58,62.38
2010-05-28,61,62.76
2010-06-04,61,60.56
2010-06-11,61,61.2
2010-06-18,61,62.5
2010-06-25,57,60.35
2010-07-02,56,56.76
2010-07-09,61,60.06
2010-07-16,53,59.68
2010-07-23,47,63.67
2010-07-30,60,65
2010-08-06,66,66.7
2010-08-13,61,64.44
2010-08-20,55,65.1
2010-08-27,61,64.47
2010-09-03,59,67.64
2010-09-10,49,67.76
2010-09-17,50,66.68
2010-09-24,55,67.27
2010-10-01,49,66.44
2010-10-08,55,67.53
2010-10-15,50,69.31
2010-10-22,59,69.83
2010-10-29,62,67.34
2010-11-05,55,69.79
2010-11-12,60,68.12
2010-11-19,62,69.11
2010-11-26,60,69.1
2010-12-03,81,71.8
2010-12-10,86,72.89
2010-12-17,100,73.06
2010-12-31,63,72.58
2011-01-07,63,72.15
2011-01-14,61,72.48
2011-01-21,48,72.89
2011-01-28,50,70.73
2011-02-04,58,74.34
2011-02-11,54,75.32
2011-02-18,56,76.47
2011-02-25,63,73.46
2011-03-04,49,72.44
2011-03-11,55,74.09
2011-03-18,45,71.6
2011-03-25,61,72.04
2011-04-01,54,74.48
2011-04-08,58,73.25
2011-04-15,56,72.71
2011-04-29,61,74.97
2011-05-06,54,74.1
2011-05-13,59,74.14
2011-05-20,51,74.05
2011-05-27,47,72.96
2011-06-03,50,71.15
2011-06-10,54,68.5
2011-06-17,54,69.17
2011-06-24,46,71.12
2011-07-01,57,73.96
2011-07-08,39,74.57
2011-07-15,52,73.08
2011-07-22,55,74.16
2011-07-29,53,69.22
2011-08-05,66,65.69
2011-08-12,55,65.2
2011-08-19,61,61.7
2011-08-26,56,64.7
2011-09-02,48,65.61
2011-09-09,52,64.22
2011-09-16,49,66.59
2011-09-23,47,62
2011-09-30,42,63.15
2011-10-07,42,66.26
2011-10-14,54,68.96
2011-10-21,53,70.06
2011-10-28,39,71.49
2011-11-04,51,69.99
2011-11-11,55,70.78
2011-11-18,56,69.14
2011-11-25,65,66.46
2011-12-02,75,71.07
2011-12-09,82,72.45
2011-12-16,81,71.76
2011-12-23,97,73.47
