"Date","FDX","Price"
2004-02-06,95,66.13
2004-02-13,65,68.91
2004-02-20,65,69.01
2004-02-27,65,68.68
2004-03-05,69,69.5
2004-03-12,72,67.84
2004-03-19,76,71.28
2004-03-26,79,72.79
2004-04-02,83,76.07
2004-04-16,92,74.5
2004-04-23,73,74.15
2004-04-30,73,71.91
2004-05-07,73,71.62
2004-05-14,73,71
2004-05-21,50,70.64
2004-05-28,53,73.58
2004-06-04,56,74.22
2004-06-18,65,78.23
2004-06-25,76,79.83
2004-07-02,72,80.5
2004-07-09,72,79.94
2004-07-16,71,80.8
2004-07-23,71,80.57
2004-07-30,57,81.88
2004-08-06,62,78.14
2004-08-13,63,76.43
2004-08-20,64,79.3
2004-08-27,52,81.33
2004-09-03,66,83.01
2004-09-10,47,85.66
2004-09-17,49,88.11
2004-09-24,52,84.59
2004-10-01,60,86.26
2004-10-08,57,85.94
2004-10-15,57,86.2
2004-10-22,50,87.78
2004-10-29,42,91.12
2004-11-05,42,91.94
2004-11-12,44,95.37
2004-11-19,46,94.05
2004-11-26,49,95.71
2004-12-03,51,96.7
2004-12-10,43,98.85
2004-12-17,68,100.01
2004-12-31,59,98.49
2005-01-07,59,94.91
2005-01-14,59,93.32
2005-01-21,55,90.34
2005-01-28,50,94.43
2005-02-04,35,96.36
2005-02-11,48,98.01
2005-02-18,60,97.35
2005-02-25,56,98.44
2005-03-04,71,99.6
2005-03-11,50,99.73
2005-03-18,64,96.13
2005-04-01,47,92.35
2005-04-08,47,91.02
2005-04-15,47,83.95
2005-04-22,57,85.61
2005-04-29,49,84.95
2005-05-06,45,86.7
2005-05-13,45,84.61
2005-05-20,39,88.31
2005-05-27,49,89.88
2005-06-03,52,90.69
2005-06-10,47,86.44
2005-06-17,35,87.32
2005-06-24,67,80.1
2005-07-01,40,82.24
2005-07-08,43,83.96
2005-07-15,43,83.04
2005-07-22,43,85.1
2005-07-29,59,84.09
2005-08-05,43,84.6
2005-08-12,36,84.65
2005-08-19,45,84.77
2005-08-26,58,81.68
2005-09-02,36,80.51
2005-09-09,30,79.76
2005-09-16,54,80.19
2005-09-23,43,83.1
2005-09-30,30,87.13
2005-10-07,70,87.4
2005-10-14,50,87.6
2005-10-21,40,88.53
2005-10-28,37,90.63
2005-11-04,51,93.54
2005-11-11,65,96
2005-11-18,52,97.8
2005-11-25,67,98.18
2005-12-02,58,97.82
2005-12-09,59,98.08
2005-12-16,38,99.9
2005-12-23,79,104.56
2005-12-30,61,103.39
2006-01-06,63,102.59
2006-01-13,60,100
2006-01-20,72,99.95
2006-01-27,72,102.46
2006-02-03,46,98.49
2006-02-10,56,99.75
2006-02-17,53,105.05
2006-02-24,48,107.16
2006-03-03,53,111.5
2006-03-10,58,112.01
2006-03-17,56,114.94
2006-03-24,96,111.81
2006-03-31,69,112.94
2006-04-07,47,117.1
