"Date","AES","Price"
2004-02-06,40,9.47
2004-02-13,44,9.12
2004-02-20,46,9.08
2004-02-27,43,9.06
2004-03-05,44,8.75
2004-03-12,36,8.1
2004-03-19,48,8.6
2004-03-26,49,8.25
2004-04-02,46,8.67
2004-04-16,39,8.04
2004-04-23,41,7.87
2004-04-30,48,8.67
2004-05-07,48,8.28
2004-05-14,41,8.23
2004-05-21,42,8.08
2004-05-28,38,9.34
2004-06-04,39,9.27
2004-06-18,46,9.81
2004-06-25,47,10.15
2004-07-02,42,9.85
2004-07-09,48,9.93
2004-07-16,52,10.18
2004-07-23,46,9.58
2004-07-30,48,9.65
2004-08-06,42,9.2
2004-08-13,47,9.56
2004-08-20,41,10.26
2004-08-27,44,10
2004-09-03,48,9.94
2004-09-10,50,10.15
2004-09-17,45,10.37
2004-09-24,47,10.25
2004-10-01,48,10.15
2004-10-08,47,10.52
2004-10-15,41,11.08
2004-10-22,46,11.04
2004-10-29,48,10.9
2004-11-05,42,11.34
2004-11-12,40,12.14
2004-11-19,46,12.23
2004-11-26,39,12.77
2004-12-03,50,12.42
2004-12-10,42,12.32
2004-12-17,45,12.5
2004-12-31,37,13.67
2005-01-07,44,12.84
2005-01-14,46,13.45
2005-01-21,45,13.81
2005-01-28,48,13.79
2005-02-04,48,15.19
2005-02-11,42,15.53
2005-02-18,44,16.59
2005-02-25,45,16.81
2005-03-04,43,17.52
2005-03-11,46,16.66
2005-03-18,43,17.39
2005-04-01,41,16.53
2005-04-08,40,16.97
2005-04-15,40,16.51
2005-04-22,44,16.59
2005-04-29,46,16.08
2005-05-06,46,15.93
2005-05-13,46,14.16
2005-05-20,45,13.99
2005-05-27,46,14.63
2005-06-03,51,14.4
2005-06-10,50,14.84
2005-06-17,50,15.84
2005-06-24,48,15.34
2005-07-01,56,16.59
2005-07-08,47,16.09
2005-07-15,46,16.67
2005-07-22,45,16.23
2005-07-29,41,16.05
2005-08-05,45,15.7
2005-08-12,46,15.42
2005-08-19,43,15.32
2005-08-26,41,15.56
2005-09-02,46,15.42
2005-09-09,49,15.41
2005-09-16,44,15.2
2005-09-23,47,14.83
2005-09-30,46,16.43
2005-10-07,52,16.68
2005-10-14,49,15.9
2005-10-21,46,15.46
2005-10-28,42,15.51
2005-11-04,45,15.5
2005-11-11,43,15.57
2005-11-18,51,16
2005-11-25,50,15.73
2005-12-02,50,15.46
2005-12-09,47,16.07
2005-12-16,48,16.23
2005-12-23,48,15.98
2005-12-30,50,15.83
2006-01-06,52,17
2006-01-13,49,16.53
2006-01-20,50,17.64
2006-01-27,49,16.94
2006-02-03,50,17.32
2006-02-10,48,17.17
2006-02-17,48,17.71
2006-02-24,52,17.58
2006-03-03,50,17.31
2006-03-10,44,17.22
2006-03-17,49,17.57
2006-03-24,59,16.86
2006-03-31,64,17.06
2006-04-07,63,16.43
2006-04-21,49,16.6
2006-04-28,47,16.97
2006-05-05,44,17.33
2006-05-12,48,18.18
2006-05-19,48,17.85
2006-05-26,78,18
2006-06-02,100,18.76
2006-06-09,79,18.3
2006-06-16,65,17.5
2006-06-23,72,17.25
2006-06-30,76,18.45
2006-07-07,58,19.27
2006-07-14,66,19.48
2006-07-21,61,20.17
2006-07-28,58,19.88
2006-08-04,59,18.25
2006-08-11,53,20.22
2006-08-18,58,20.49
2006-08-25,59,20.7
2006-09-01,61,21.18
2006-09-08,51,20.45
2006-09-15,57,20.28
2006-09-22,62,20.14
2006-09-29,55,20.39
2006-10-06,61,20.35
2006-10-13,56,20.77
2006-10-20,48,21.74
2006-10-27,48,21.73
2006-11-03,52,21.91
2006-11-10,51,22.35
2006-11-17,48,22.38
2006-11-24,49,23.35
2006-12-01,55,23.37
2006-12-08,49,23.17
2006-12-15,47,22.84
2006-12-22,45,22.16
2006-12-29,43,22.04
2007-01-05,50,21.32
2007-01-12,47,20.94
2007-01-19,50,21.02
2007-01-26,50,20.77
2007-02-02,47,20.82
2007-02-09,46,22.61
2007-02-16,45,22.3
2007-02-23,47,22.28
2007-03-02,48,20.61
2007-03-09,47,20.5
2007-03-16,45,20.47
2007-03-23,47,21.38
2007-03-30,42,21.52
2007-04-13,46,21.81
2007-04-20,47,22.78
2007-04-27,44,22.51
2007-05-04,45,22.42
2007-05-11,44,22.71
2007-05-18,46,23.35
2007-05-25,44,23.17
2007-06-01,46,23.52
2007-06-08,47,21.62
2007-06-15,45,22.08
2007-06-22,44,21.52
2007-06-29,46,21.88
