"Date","Citrix.Systems","Price"
2006-04-21,82,40.59
2006-04-28,79,39.92
2006-05-05,77,43.61
2006-05-12,77,41
2006-05-19,77,39.95
2006-05-26,78,38.59
2006-06-02,79,37.52
2006-06-09,79,35.67
2006-06-16,80,36.89
2006-08-18,78,32.08
2006-11-10,68,29.17
2007-01-26,56,31.1
2007-02-02,71,31.9
2007-02-09,76,31.45
2007-02-16,66,31.43
2007-02-23,56,33.06
2007-03-02,57,31.26
2007-03-09,64,32
2007-03-16,71,31.18
2007-03-23,78,32.48
2007-03-30,85,32.03
2007-04-13,52,33.66
2007-04-20,52,34.24
2007-04-27,77,33.24
2007-05-04,62,31.9
2007-05-11,62,31.65
2007-05-18,62,30.72
2007-05-25,53,32.87
2007-06-01,56,33.79
2007-06-08,59,33.62
2007-06-15,62,34.29
2007-06-22,52,33.45
2007-06-29,52,33.67
2007-07-06,49,33.98
2007-07-13,72,34.42
2007-07-20,59,37.4
2007-07-27,62,35.91
2007-08-03,64,35.74
2007-08-10,65,33.77
2007-08-17,67,32.69
2007-08-24,69,36.1
2007-08-31,100,36.35
2007-09-07,62,35.37
2007-09-14,47,37.92
2007-09-21,51,38.82
2007-09-28,63,40.32
2007-10-05,50,40.39
2007-10-12,66,42.1
2007-10-19,81,39.65
2007-10-26,56,42.06
2007-11-02,61,43.11
2007-11-09,70,41.79
2007-11-16,57,37.82
2007-11-23,55,36.69
2007-11-30,55,36.98
2007-12-07,64,38.7
2007-12-14,57,38.15
2007-12-21,65,37.85
2007-12-28,49,37.9
2008-01-04,49,37.38
2008-01-11,55,34.59
2008-01-18,62,33.69
2008-01-25,80,33.61
2008-02-01,69,34.71
2008-02-08,55,34.5
2008-02-15,36,35.87
2008-02-22,39,34.57
2008-02-29,42,32.93
2008-03-07,38,32.73
2008-03-14,34,30.8
2008-03-28,46,30.56
2008-04-04,48,31.75
2008-04-11,44,31.89
2008-04-18,44,32.27
2008-04-25,39,32.23
2008-05-02,39,33.85
2008-05-09,45,33.92
2008-05-16,44,35.77
2008-05-23,40,33.72
2008-05-30,40,34.23
2008-06-06,40,34.68
2008-06-13,51,33.2
2008-06-20,45,30.92
2008-06-27,45,29.8
2008-07-11,42,27.96
2008-07-18,53,27.82
2008-07-25,35,25.69
2008-08-01,51,27.03
2008-08-08,66,30.68
2008-08-15,41,31.41
2008-08-22,41,31
2008-08-29,33,30.27
2008-09-05,41,28.65
2008-09-12,62,29.01
2008-09-19,34,28.49
2008-09-26,34,28.02
2008-10-03,34,21
2008-10-10,36,20.2
2008-10-17,40,21.28
2008-10-24,44,21.63
2008-10-31,46,25.77
2008-11-07,48,24.12
2008-11-14,46,22.95
2008-11-21,35,22.89
2008-11-28,35,26.66
2008-12-05,31,25.12
2008-12-12,52,23.03
2008-12-19,53,22.8
2008-12-26,54,22.88
2009-01-02,55,24.36
2009-01-09,55,22.56
2009-01-16,35,23.23
2009-01-23,35,22.99
2009-01-30,65,21.04
2009-02-06,40,23.86
2009-02-13,26,23.28
2009-02-20,32,22.18
2009-02-27,53,20.58
2009-03-06,36,21.76
2009-03-13,33,23.09
2009-03-20,36,22.5
2009-03-27,33,22.71
2009-04-03,39,24.35
2009-04-17,37,26.66
2009-04-24,49,25.84
2009-05-01,54,27.51
2009-05-08,43,27.45
2009-05-15,37,27.62
2009-05-22,50,29.73
2009-05-29,25,31.41
2009-06-05,42,31.97
2009-06-12,44,34.1
2009-06-19,37,32.43
2009-06-26,30,31.94
2009-07-10,51,32.2
2009-07-17,38,34.99
2009-07-24,61,35.53
2009-07-31,56,35.6
2009-08-07,44,36.32
2009-08-14,48,35.6
2009-08-21,43,35.38
2009-08-28,49,35.91
2009-09-04,40,36.02
2009-09-11,44,36.13
2009-09-18,48,37.22
2009-09-25,42,37.4
2009-10-02,56,37.95
2009-10-09,57,41.75
2009-10-16,77,41.96
2009-10-23,39,39.34
2009-10-30,54,36.76
2009-11-06,48,38.88
2009-11-13,53,39.41
2009-11-20,49,37.84
2009-11-27,29,37.88
2009-12-04,61,39.47
2009-12-11,34,38.28
2009-12-18,50,39.44
2010-01-08,67,43.82
2010-01-15,58,43.22
2010-01-22,64,41.4
2010-01-29,51,41.55
2010-02-05,63,41.79
2010-02-12,54,43.16
2010-02-19,53,44.74
2010-02-26,62,43.01
2010-03-05,47,44.61
2010-03-12,43,48.08
2010-03-19,39,48.34
2010-03-26,56,48.09
2010-04-09,41,48.25
2010-04-16,29,48.47
2010-04-23,50,48.45
2010-04-30,59,47.03
2010-05-07,51,43.62
2010-05-14,56,46.51
2010-05-21,30,44.67
2010-05-28,28,43.61
2010-06-04,43,43.3
2010-06-11,40,43.97
2010-06-18,47,46.09
2010-06-25,36,45.12
2010-07-02,46,42.11
2010-07-09,44,44.62
2010-07-16,49,45.36
2010-07-23,42,47.85
2010-07-30,40,55.02
2010-08-06,44,58.32
2010-08-13,32,56.76
2010-08-20,27,59.21
2010-08-27,34,58.68
2010-09-03,41,61.94
2010-09-10,29,63.69
2010-09-17,26,68.21
2010-09-24,40,70.55
2010-10-01,29,67.94
2010-10-08,27,59.66
2010-10-15,37,59.19
2010-10-22,53,60.8
2010-10-29,23,64.13
2010-11-05,20,65.31
2010-11-12,36,64.79
2010-11-19,26,65.93
2010-11-26,19,68.74
2010-12-03,27,70.26
2010-12-10,50,70.88
2010-12-17,26,69.21
2010-12-31,24,68.41
2011-01-07,34,68.42
2011-01-14,32,68.05
2011-01-21,32,65.23
2011-01-28,44,63.76
2011-02-04,36,66.4
2011-02-11,30,69.81
2011-02-18,25,72.63
2011-02-25,27,70.93
2011-03-04,29,71.88
2011-03-11,48,71.74
2011-03-18,25,66.64
2011-03-25,20,70.14
2011-04-01,42,75.26
2011-04-08,33,73.42
2011-04-15,38,74.46
2011-04-29,40,84.34
2011-05-06,35,81.76
2011-05-13,26,83.73
2011-05-20,60,84.28
2011-05-27,22,87.16
2011-06-03,33,83.56
2011-06-10,34,80.01
2011-06-17,32,74.19
2011-06-24,29,76.24
2011-07-01,32,80.78
2011-07-08,32,82.98
2011-07-15,33,76.47
2011-07-22,44,75.27
2011-07-29,41,72.04
