"Date","Vulcan.Materials","Price"
2004-02-06,93,47.5
2004-05-21,78,43.16
2004-10-01,67,51.7
2004-10-08,71,50.66
2004-10-15,74,48.13
2005-01-07,51,52.86
2005-03-18,44,56.08
2005-04-01,43,57.41
2005-04-08,43,57.25
2005-04-15,43,53.8
2005-04-22,44,53.08
2005-04-29,44,53.04
2005-05-06,45,56.5
2005-05-13,46,54.86
2005-05-20,47,58.35
2005-05-27,48,60.38
2005-06-03,49,60.11
2005-06-10,50,61.97
2005-06-17,51,65.7
2005-07-29,43,70.24
2005-09-30,50,74.21
2005-10-07,38,69.93
2005-10-14,38,68.42
2005-10-21,38,67.35
2005-10-28,38,63.63
2005-11-04,45,67.14
2005-11-11,52,65.13
2006-02-24,35,79.83
2006-03-03,28,79.27
2006-03-10,28,77.47
2006-03-17,28,86.62
2006-03-24,31,86.43
2006-03-31,33,86.65
2006-04-07,29,88.91
2006-04-21,29,93.26
2006-04-28,44,84.96
2006-05-05,43,87.86
2006-05-12,28,83.93
2006-05-19,28,79.99
2006-05-26,28,79.94
2006-06-02,28,81.89
2006-06-09,28,74.65
2006-06-16,37,72.45
2006-06-23,33,76.23
2006-06-30,33,78
2006-07-07,29,75.94
2006-07-14,33,68.92
2006-07-21,38,67
2006-07-28,42,68.73
2006-08-04,41,74
2006-08-11,38,71.49
2006-08-18,31,76.39
2006-08-25,31,76.31
2006-09-01,25,79.32
2006-09-08,25,77.74
2006-09-15,44,77.73
2006-09-22,29,75.61
2006-09-29,24,78.25
2006-10-06,31,80.18
2006-10-13,37,82.68
2006-10-20,27,79.43
2006-10-27,27,80.46
2006-11-03,27,81.01
2006-11-10,31,87.56
2006-11-17,34,90.23
2006-11-24,27,88.72
2006-12-01,27,87.86
2006-12-08,31,90.76
2006-12-15,34,90.8
2006-12-22,35,88.46
2006-12-29,26,89.87
2007-01-05,26,88.26
2007-01-12,24,93.12
2007-01-19,27,96.79
2007-01-26,20,100.65
2007-02-02,35,103.03
2007-02-09,30,109.19
2007-02-16,31,111.81
2007-02-23,100,119.84
2007-03-02,46,117.09
2007-03-09,32,118.63
2007-03-16,28,114.99
2007-03-23,41,119.1
2007-03-30,37,116.48
2007-04-13,38,114.33
2007-04-20,38,116.99
2007-04-27,25,122.16
2007-05-04,48,118.46
2007-05-11,28,114.86
2007-05-18,43,114.42
2007-05-25,28,117.33
2007-06-01,20,121.53
2007-06-08,39,116.52
2007-06-15,53,121.02
2007-06-22,32,118.08
2007-06-29,35,114.54
2007-07-06,27,115.59
2007-07-13,25,114.42
2007-07-20,34,103.17
2007-07-27,37,95.53
2007-08-03,42,93.76
2007-08-10,28,96.15
2007-08-17,40,88.46
2007-08-24,29,91.59
2007-08-31,35,90.01
2007-09-07,15,84.65
2007-09-14,30,85.15
2007-09-21,40,86.82
2007-09-28,29,89.15
2007-10-05,37,95.03
2007-10-12,35,92.32
2007-10-19,40,85.4
2007-10-26,29,88.21
2007-11-02,37,82.82
2007-11-09,33,80.7
2007-11-16,33,82.77
2007-11-23,28,81.71
2007-11-30,37,88.8
2007-12-07,38,87.95
2007-12-14,25,81.43
2007-12-21,23,81.47
2007-12-28,24,77.43
2008-01-04,25,71.01
2008-01-11,27,68.63
2008-01-18,33,66.06
2008-01-25,35,70.44
2008-02-01,37,77.47
2008-02-08,39,70.16
2008-02-15,38,66.64
2008-02-22,37,68.26
2008-02-29,27,70.1
2008-03-07,42,65.47
2008-03-14,35,65.29
2008-03-28,21,66.18
2008-04-04,34,70.64
2008-04-11,42,70.77
2008-04-18,33,72.28
2008-04-25,27,67.36
2008-05-02,30,68.75
2008-05-09,40,66.3
2008-05-16,32,77.47
2008-05-23,32,74.35
2008-05-30,31,76.93
2008-06-06,25,70.95
2008-06-13,34,69.37
2008-06-20,35,63.92
2008-06-27,39,60.52
2008-07-11,31,50.34
2008-07-18,26,62.93
2008-07-25,28,61.64
2008-08-01,34,64.12
2008-08-08,24,68.33
2008-08-15,30,74.7
2008-08-22,20,74.79
2008-08-29,28,74.84
2008-09-05,43,75.21
2008-09-12,30,75.16
2008-09-19,31,83
2008-09-26,28,78.62
2008-10-03,31,64.4
2008-10-10,30,54.5
2008-10-17,23,55.7
2008-10-24,33,48.48
2008-10-31,28,54.28
2008-11-07,33,57.5
2008-11-14,30,53.25
2008-11-21,34,40.56
