"Date","buy.FB","Price"
2012-05-18,100,38.23
2012-05-25,50,31.91
2012-06-01,35,27.72
2012-06-08,28,27.1
2012-06-15,23,30.01
2012-06-22,29,33.05
2012-06-29,22,31.1
2012-07-06,24,31.73
2012-07-13,22,30.72
2012-07-20,28,28.76
2012-07-27,28,23.71
2012-08-03,29,21.09
2012-08-10,26,21.81
2012-08-17,30,19.05
2012-08-24,27,19.41
2012-08-31,27,18.06
2012-09-07,24,18.98
2012-09-14,27,22
2012-09-21,29,22.86
2012-09-28,23,21.66
2012-10-05,23,20.91
2012-10-12,28,19.52
2012-10-19,33,19
2012-10-26,34,21.94
2012-11-02,31,21.18
2012-11-09,34,19.21
2012-11-16,28,23.56
2012-11-23,41,24
2012-11-30,32,28
2012-12-07,28,27.49
2012-12-14,32,26.81
2012-12-21,38,26.26
2012-12-28,35,25.91
2013-01-04,31,28.76
2013-01-11,34,31.72
2013-01-18,30,29.66
2013-01-25,31,31.54
2013-02-01,33,29.73
2013-02-08,27,28.55
2013-02-15,23,28.32
2013-02-22,28,27.13
2013-03-01,26,27.78
2013-03-08,33,27.96
2013-03-15,28,26.65
2013-03-22,29,25.73
2013-04-05,32,27.39
2013-04-12,33,27.4
2013-04-19,27,25.73
2013-04-26,27,26.85
2013-05-03,29,28.31
2013-05-10,29,26.68
2013-05-17,27,26.25
2013-05-24,30,24.31
2013-05-31,30,24.35
2013-06-07,32,23.29
2013-06-14,31,23.63
2013-06-21,26,24.53
2013-06-28,21,24.88
2013-07-05,28,24.37
2013-07-12,29,25.91
2013-07-19,29,25.88
2013-07-26,29,34.01
2013-08-02,32,38.05
2013-08-09,29,38.5
2013-08-16,32,37.08
2013-08-23,31,40.55
2013-08-30,34,41.29
2013-09-06,30,43.95
2013-09-13,28,44.31
2013-09-20,26,47.49
2013-09-27,32,51.24
2013-10-04,32,51.04
2013-10-11,26,49.11
2013-10-18,33,54.22
2013-10-25,30,51.95
2013-11-01,35,49.75
2013-11-08,33,47.53
2013-11-15,32,49.01
2013-11-22,32,46.23
2013-11-29,32,47.01
2013-12-06,30,47.94
2013-12-13,29,53.32
2013-12-20,32,55.12
2013-12-27,35,55.44
2014-01-03,32,54.56
2014-01-10,33,57.94
2014-01-17,33,56.3
2014-01-24,32,54.45
2014-01-31,26,62.57
2014-02-07,30,64.32
2014-02-14,29,67.09
2014-02-21,38,68.59
2014-02-28,35,68.46
2014-03-07,28,69.8
2014-03-14,31,67.72
2014-03-21,28,67.24
2014-03-28,34,60.01
2014-04-04,27,56.75
2014-04-11,30,58.53
2014-04-25,28,57.71
