"Date","sell.WIN","Price"
2008-05-23,66,12.83
2008-09-12,67,12.07
2008-09-19,61,11.81
2008-09-26,58,11.31
2008-10-03,58,10.5
2008-10-10,58,8.31
2008-10-17,58,8.69
2008-10-24,56,7.66
2008-10-31,56,7.51
2008-11-07,56,8.55
2008-11-14,56,8.43
2008-11-21,56,7.38
2009-01-16,69,8.73
2009-01-23,67,8.83
2009-01-30,67,8.68
2009-02-06,67,8.99
2009-02-13,67,8.26
2009-02-20,67,7.71
2009-02-27,56,7.46
2009-03-06,56,6.57
2009-03-13,56,7.24
2009-03-20,56,8
2009-05-08,75,9.05
2009-05-15,69,8.24
2009-05-22,48,8.13
2009-05-29,48,8.41
2009-06-05,48,8.43
2009-06-12,48,8.54
2009-06-19,51,8.21
2009-06-26,53,8.25
2009-08-14,70,8.55
2009-08-21,48,8.6
2009-08-28,48,8.55
2009-09-04,46,8.57
2009-09-11,50,9.03
2009-09-18,55,9.72
2009-09-25,59,9.87
2009-10-02,63,9.78
2009-10-09,67,10.07
2009-10-16,44,10.17
2009-10-23,43,9.96
2009-10-30,42,9.64
2009-11-06,42,10.28
2009-11-13,42,9.93
2009-11-20,49,10.05
2009-11-27,56,10.12
2009-12-04,47,10.62
2009-12-11,47,11
2009-12-18,47,10.83
2010-01-08,74,10.88
2010-01-15,48,10.65
2010-01-22,38,10.55
2010-01-29,38,10.31
2010-02-05,78,10
2010-02-12,39,10.18
2010-02-19,51,10.33
2010-02-26,38,10.13
2010-03-05,50,10.37
2010-03-12,57,10.96
2010-03-19,46,10.98
2010-03-26,46,11.24
2010-04-09,48,10.96
2010-04-16,57,10.98
2010-04-23,65,11.12
2010-04-30,74,11.04
2010-05-07,47,10.22
2010-05-14,75,10.73
2010-05-21,43,10.55
2010-05-28,63,10.67
2010-06-04,40,10.79
2010-06-11,55,11.07
2010-06-18,68,11.33
2010-06-25,67,11.12
2010-07-02,59,10.6
2010-07-09,45,11.13
2010-07-16,45,11.17
2010-07-23,38,11.48
2010-07-30,56,11.4
2010-08-06,42,11.55
2010-08-13,48,11.33
2010-08-20,56,11.19
2010-08-27,65,11.38
2010-09-03,35,11.95
2010-09-10,35,12.33
2010-09-17,44,12.41
2010-09-24,55,13.03
2010-10-01,60,12.32
2010-10-08,76,12.14
2010-10-15,50,12.36
2010-10-22,59,12.45
2010-10-29,58,12.66
2010-11-05,94,13.23
2010-11-12,51,13
2010-11-19,67,13.25
2010-11-26,48,13.14
2010-12-03,62,13.66
2010-12-10,57,14
2010-12-17,54,13.99
2010-12-31,47,13.94
2011-01-07,70,13.51
2011-01-14,78,13.09
2011-01-21,56,12.74
2011-01-28,57,12.69
2011-02-04,70,13.03
2011-02-11,73,13.19
2011-02-18,72,12.57
2011-02-25,49,12.46
2011-03-04,49,12.4
2011-03-11,52,12.85
2011-03-18,46,12.93
2011-03-25,68,12.89
2011-04-01,61,12.74
2011-04-08,49,12.6
2011-04-15,55,12.68
2011-04-29,42,12.81
2011-05-06,52,12.86
2011-05-13,52,13.3
2011-05-20,66,13.47
2011-05-27,49,13.41
2011-06-03,32,13.13
2011-06-10,82,12.81
2011-06-17,51,13.08
2011-06-24,54,13.04
2011-07-01,89,13.12
2011-07-08,55,13.13
2011-07-15,49,12.6
2011-07-22,66,12.7
2011-07-29,34,12.21
2011-08-05,57,11.6
2011-08-12,53,11.87
2011-08-19,71,11.63
2011-08-26,52,12.06
2011-09-02,51,12.52
2011-09-09,60,12.55
2011-09-16,63,12.9
2011-09-23,44,12.3
2011-09-30,31,11.65
2011-10-07,56,11.24
2011-10-14,49,11.85
2011-10-21,33,12.02
2011-10-28,41,12.27
2011-11-04,50,11.85
2011-11-11,65,11.99
2011-11-18,52,11.64
2011-11-25,57,11.13
2011-12-02,49,11.76
2011-12-09,46,11.72
2011-12-16,46,11.58
2011-12-23,59,12.01
2011-12-30,54,11.74
2012-01-06,68,11.7
2012-01-13,44,12.08
2012-01-20,66,12.33
2012-01-27,46,12
2012-02-03,50,12.3
2012-02-10,89,12.37
2012-02-17,77,12.48
2012-02-24,50,12.16
2012-03-02,55,12.09
2012-03-09,37,12.17
2012-03-16,52,12.09
2012-03-23,52,11.91
2012-03-30,66,11.71
2012-04-13,47,11.2
2012-04-20,58,11.28
2012-04-27,56,11.26
2012-05-04,48,11.33
2012-05-11,64,9.94
2012-05-18,24,9.39
2012-05-25,68,9.49
2012-06-01,52,9.19
2012-06-08,69,9.36
2012-06-15,44,9.47
2012-06-22,49,9.68
2012-06-29,62,9.66
2012-07-06,29,9.76
2012-07-13,69,9.77
2012-07-20,53,9.85
2012-07-27,50,9.73
2012-08-03,66,10.04
2012-08-10,75,9.41
2012-08-17,69,9.55
2012-08-24,53,9.73
2012-08-31,39,9.87
2012-09-07,66,10.21
2012-09-14,45,10.78
2012-09-21,49,10.93
2012-09-28,65,10.09
2012-10-05,63,10.17
2012-10-12,62,9.97
2012-10-19,58,9.91
2012-10-26,63,9.66
2012-11-02,66,9.53
2012-11-09,100,8.5
2012-11-16,50,8.27
2012-11-23,44,8.32
2012-11-30,74,8.38
2012-12-07,47,8.36
2012-12-14,57,8.77
2012-12-21,72,8.73
2012-12-28,57,8.3
2013-01-04,71,9.32
2013-01-11,52,9.96
2013-01-18,44,9.63
2013-01-25,56,9.65
2013-02-01,52,9.8
2013-02-08,70,9.78
2013-02-15,69,8.93
2013-02-22,45,8.48
2013-03-01,45,8.73
2013-03-08,60,8.56
2013-03-15,50,8.82
2013-03-22,58,8.6
2013-04-05,38,8.33
2013-04-12,57,8.87
2013-04-19,50,8.64
2013-04-26,50,8.45
2013-05-03,40,8.36
2013-05-10,41,8.36
2013-05-17,53,8.69
2013-05-24,50,8.67
2013-05-31,57,8.03
2013-06-07,54,7.89
2013-06-14,40,8.31
2013-06-21,47,7.94
2013-06-28,63,7.71
2013-07-05,61,7.9
2013-07-12,55,8.15
2013-07-19,62,8.1
2013-07-26,53,8.17
2013-08-02,54,8.59
2013-08-09,70,8.2
2013-08-16,35,8.13
2013-08-23,47,8.22
2013-08-30,41,8.07
2013-09-06,45,8.26
2013-09-13,67,8.47
2013-09-20,58,8.48
2013-09-27,72,8.12
2013-10-04,44,8.02
2013-10-11,44,8.5
2013-10-18,58,8.6
2013-10-25,60,8.56
2013-11-01,47,8.54
2013-11-08,43,8.02
2013-11-15,60,8.25
2013-11-22,43,8.16
2013-11-29,45,8.07
2013-12-06,49,8.05
2013-12-13,48,7.96
2013-12-20,53,8.24
2013-12-27,35,8.13
2014-01-03,66,7.99
2014-01-10,58,8.05
2014-01-17,57,7.9
2014-01-24,44,7.56
2014-01-31,54,7.48
2014-02-07,46,7.36
2014-02-14,56,7.92
2014-02-21,45,7.86
2014-02-28,48,8.02
2014-03-07,42,8.16
2014-03-14,47,8.26
2014-03-21,45,8.4
2014-03-28,51,8.22
2014-04-04,51,8.63
2014-04-11,61,8.51
2014-04-25,50,8.85
