"Date","sell.ED","Price"
2008-07-11,76,38.77
2008-07-18,100,38.48
2008-07-25,76,38.28
2008-08-01,76,38.8
2008-08-08,85,41.5
2008-08-15,94,40.76
2008-08-22,87,41.26
2008-08-29,87,40.9
2008-12-19,64,38.64
2008-12-26,85,38.31
2009-01-02,85,39.26
2009-01-09,85,39.66
2009-01-16,78,40.07
2009-01-23,76,40.05
2009-01-30,58,40.75
2009-02-06,58,41.28
2009-02-13,58,39.37
2009-02-20,58,37.54
2009-02-27,58,36.21
2009-03-06,80,33.94
2009-03-13,73,35.06
2009-03-20,66,37.79
2009-03-27,66,38.38
2009-04-03,69,39.25
2009-04-17,57,38.76
2009-04-24,57,37.45
2009-05-01,57,37.37
2009-05-08,62,37.58
2009-05-15,67,34.86
2009-05-22,72,34.6
2009-05-29,77,35.46
2009-06-05,82,35.78
2009-06-12,70,37.08
2009-06-19,59,36.79
2009-06-26,56,37.04
2009-07-10,56,36.63
2009-07-17,56,37.39
2009-07-24,56,39.01
2009-07-31,73,39.36
2009-08-07,90,39.86
2009-08-14,67,40.64
2009-08-21,53,40.5
2009-08-28,53,40.39
2009-09-04,62,39.87
2009-09-11,72,39.63
2009-09-18,71,41.48
2009-09-25,59,41.07
2009-10-02,59,40.35
2009-10-09,50,41.09
2009-10-16,54,41.33
2009-10-23,72,41.81
2009-12-18,71,45.37
2010-01-08,50,45.25
2010-01-15,62,45.72
2010-01-22,57,43.51
2010-01-29,47,43.74
2010-02-05,47,43.18
2010-02-12,48,42.22
2010-02-19,50,43.13
2010-02-26,52,42.75
2010-03-05,55,43.62
2010-03-12,57,43.7
2010-03-19,60,44.3
2010-03-26,60,44.18
2010-04-09,45,44.85
2010-04-16,43,44.54
2010-04-23,43,45.41
2010-04-30,43,45.2
2010-05-07,43,44.34
2010-05-14,44,44.44
2010-05-21,75,43.29
2010-05-28,49,42.59
2010-06-04,57,41.66
2010-06-11,66,43.13
2010-06-18,44,44.89
2010-06-25,50,43.84
2010-07-02,56,43.19
2010-07-09,61,45.27
2010-07-16,67,45.06
2010-07-23,46,46.3
2010-07-30,46,46.12
2010-08-06,55,47.57
2010-08-13,46,47.55
2010-08-20,46,46.7
2010-08-27,48,47.88
2010-09-03,47,48.44
2010-09-10,43,47.69
2010-09-17,45,47.92
2010-09-24,47,48.79
2010-10-01,48,48.33
2010-10-08,41,48.27
2010-10-15,40,48.6
2010-10-22,40,49.12
2010-10-29,40,49.72
2010-11-05,44,51
2010-11-12,49,49.74
2010-11-19,54,48.63
2010-11-26,39,48.18
2010-12-03,55,49.02
2010-12-10,71,48.88
2010-12-17,35,49.34
2010-12-31,40,49.57
2011-01-07,33,49.54
2011-01-14,33,49.83
2011-01-21,35,49.87
2011-01-28,36,50.07
2011-02-04,31,49.59
2011-02-11,36,50.1
2011-02-18,45,49.02
2011-02-25,41,49.41
2011-03-04,35,49.71
2011-03-11,35,50.27
2011-03-18,35,49.51
2011-03-25,35,50.01
2011-04-01,35,51.05
2011-05-20,54,53.91
2011-05-27,32,52.73
2011-06-03,32,52.32
2011-06-10,32,51.83
2011-06-17,32,52.78
2011-06-24,32,52.4
2011-07-01,32,54.06
2011-07-08,32,53.56
2011-07-15,32,53.25
2011-07-22,32,53.58
2011-07-29,38,52.6
2011-08-05,34,53.27
2011-08-12,34,53.73
2011-08-19,34,54.36
2011-08-26,40,55.59
2011-09-02,33,56.07
2011-09-09,35,55.12
2011-09-16,41,57.42
2011-09-23,46,56.74
2011-09-30,35,57.02
2011-10-07,29,56.11
2011-10-14,47,57.55
2011-10-21,34,59.76
2011-10-28,34,58.04
2011-11-04,34,58.56
2011-11-11,33,59.64
2011-11-18,33,58.14
2011-11-25,30,57.16
2011-12-02,30,58.61
2011-12-09,30,59.24
2011-12-16,52,59.78
2011-12-23,40,61.98
2011-12-30,36,62.03
2012-01-06,30,59.1
2012-01-13,31,59.18
2012-01-20,28,58.76
2012-01-27,28,58.89
2012-02-03,31,58.82
2012-02-10,25,59.13
2012-02-17,28,57.87
2012-02-24,33,58.84
2012-03-02,38,58.31
2012-03-09,43,58.39
2012-03-16,38,57.62
2012-03-23,38,57.13
2012-03-30,31,58.42
2012-04-13,42,57.75
2012-04-20,40,58.61
2012-04-27,32,59.31
2012-05-04,38,59.38
2012-05-11,39,59.81
2012-05-18,40,58.67
2012-05-25,40,59.61
2012-06-01,30,60.29
2012-06-08,47,62.24
2012-06-15,37,63.1
2012-06-22,32,61.5
2012-06-29,32,62.19
2012-07-06,32,62.14
2012-07-13,32,63.42
2012-07-20,32,63.77
2012-07-27,26,64.9
2012-08-03,58,64.66
2012-08-10,38,63.87
2012-08-17,46,61.68
2012-08-24,31,61.42
2012-08-31,41,60.62
2012-09-07,39,60.63
2012-09-14,55,59.81
2012-09-21,53,59.1
2012-09-28,33,59.89
2012-10-05,35,60.22
2012-10-12,23,59.83
2012-10-19,23,60.47
2012-10-26,34,59.97
2012-11-02,31,59.2
2012-11-09,36,55.74
2012-11-16,34,54.98
2012-11-23,31,54.1
2012-11-30,26,55.79
2012-12-07,28,56.03
2012-12-14,22,56.12
2012-12-21,58,56.05
2012-12-28,42,54.93
2013-01-04,24,56.9
2013-01-11,30,55.91
2013-01-18,33,55.78
2013-01-25,29,56.51
2013-02-01,23,57.05
2013-02-08,25,57.15
2013-02-15,23,56.58
2013-02-22,38,58.48
2013-03-01,22,59.02
2013-03-08,20,58.95
2013-03-15,32,59.17
2013-03-22,26,59.09
2013-04-05,30,61.31
2013-04-12,24,61.91
2013-04-19,24,62.48
2013-04-26,26,62.84
2013-05-03,26,63.66
2013-05-10,26,61.57
2013-05-17,24,60.79
2013-05-24,26,58.66
2013-05-31,20,57.07
2013-06-07,20,57.43
2013-06-14,26,57.82
2013-06-21,32,56.39
2013-06-28,30,58.31
2013-07-05,35,57.16
2013-07-12,27,59.2
2013-07-19,29,60.48
2013-07-26,31,59.93
2013-08-02,26,60.37
2013-08-09,49,60.3
2013-08-16,22,56.64
2013-08-23,22,56.59
2013-08-30,46,56.23
2013-09-06,41,55.59
2013-09-13,34,54.88
2013-09-20,30,55.97
2013-09-27,25,55.15
2013-10-04,30,54.51
2013-10-11,27,56.26
2013-10-18,27,56.86
2013-10-25,20,58.59
2013-11-01,25,58.41
2013-11-08,20,57.27
2013-11-15,33,58.07
2013-11-22,18,55.92
2013-11-29,28,55.21
2013-12-06,38,55.85
2013-12-13,26,54.33
2013-12-20,31,54.77
2013-12-27,38,55.05
2014-01-03,28,53.45
2014-01-10,38,54.33
2014-01-17,25,53.96
2014-01-24,25,53.65
2014-01-31,26,54.41
2014-02-07,47,54.02
2014-02-14,23,55.16
2014-02-21,33,55.29
2014-02-28,28,56.05
2014-03-07,39,55.44
2014-03-14,19,54.66
2014-03-21,38,52.46
2014-03-28,19,53.17
2014-04-04,31,54.36
2014-04-11,49,55.6
2014-04-25,29,57.74
