"Date","sell.C","Price"
2007-05-11,71,53.11
2007-05-18,64,55
2007-05-25,64,55.12
2007-06-01,64,54.51
2007-06-08,64,53.33
2007-06-15,64,53.98
2007-08-17,77,48.81
2007-08-24,68,48.5
2007-08-31,68,46.88
2007-10-26,70,42.63
2007-11-02,55,37.73
2007-11-09,48,33.1
2007-11-16,48,34
2007-11-23,57,31.7
2007-11-30,66,33.3
2007-12-07,75,34.31
2007-12-14,51,30.7
2007-12-21,56,30.24
2007-12-28,61,29.29
2008-01-04,66,28.24
2008-01-11,56,28.56
2008-01-18,65,24.45
2008-01-25,73,26.64
2008-02-01,49,29.69
2008-02-08,49,26.03
2008-02-15,49,25.48
2008-02-22,48,25.12
2008-02-29,61,23.71
2008-03-07,61,20.91
2008-04-18,65,25.11
2008-04-25,51,26.6
2008-05-02,51,26.39
2008-05-09,51,23.63
2008-05-16,55,23.12
2008-05-23,59,21.12
2008-05-30,47,21.89
2008-06-06,47,20.06
2008-06-13,47,20.48
2008-06-20,47,19.3
2008-06-27,47,17.25
2008-07-11,57,16.19
2008-07-18,57,19.35
2008-07-25,47,18.85
2008-08-01,47,18.87
2008-08-08,52,19.39
2008-08-15,77,18.55
2008-08-22,55,18.14
2008-08-29,54,18.99
2008-09-05,60,19.07
2008-09-12,46,17.96
2008-09-19,55,20.65
2008-09-26,46,20.15
2008-10-03,58,18.35
2008-10-10,49,14.11
2008-10-17,42,14.88
2008-10-24,42,12.14
2008-10-31,42,13.65
2008-11-07,38,11.82
2008-11-14,38,9.52
2008-11-21,41,3.77
2008-11-28,43,8.29
2008-12-05,76,7.71
2008-12-12,43,7.7
2008-12-19,43,7.02
2008-12-26,54,6.73
2009-01-02,66,7.14
2009-01-09,67,6.75
2009-01-16,51,3.5
2009-01-23,65,3.47
2009-01-30,51,3.55
2009-02-06,64,3.91
2009-02-13,46,3.49
2009-02-20,57,1.95
2009-02-27,86,1.5
2009-03-06,63,1.03
2009-03-13,69,1.78
2009-03-20,42,2.62
2009-03-27,72,2.62
2009-04-03,66,2.85
2009-04-17,50,3.65
2009-04-24,59,3.19
2009-05-01,63,2.97
2009-05-08,61,4.02
2009-05-15,61,3.48
2009-05-22,34,3.67
2009-05-29,47,3.72
2009-06-05,54,3.46
2009-06-12,60,3.47
2009-06-19,43,3.17
2009-06-26,53,3.03
2009-07-10,69,2.59
2009-07-17,34,3.02
2009-07-24,45,2.73
2009-07-31,79,3.17
2009-08-07,52,3.85
2009-08-14,55,4.04
2009-08-21,44,4.7
2009-08-28,53,5.23
2009-09-04,63,4.85
2009-09-11,57,4.61
2009-09-18,59,4.26
2009-09-25,50,4.38
2009-10-02,51,4.52
2009-10-09,52,4.63
2009-10-16,67,4.59
2009-10-23,56,4.46
2009-10-30,62,4.09
2009-11-06,41,4.06
2009-11-13,52,4.05
2009-11-20,58,4.2
2009-11-27,45,4.06
2009-12-04,34,4.06
2009-12-11,64,3.95
2009-12-18,44,3.4
2010-01-08,48,3.59
2010-01-15,74,3.42
2010-01-22,51,3.25
2010-01-29,45,3.32
2010-02-05,50,3.22
2010-02-12,51,3.18
2010-02-19,68,3.42
2010-02-26,63,3.4
2010-03-05,50,3.5
2010-03-12,60,3.97
2010-03-19,29,3.9
2010-03-26,53,4.31
2010-04-09,55,4.55
2010-04-16,81,4.56
2010-04-23,55,4.86
2010-04-30,56,4.37
2010-05-07,85,4
2010-05-14,41,3.98
2010-05-21,54,3.75
2010-05-28,65,3.96
2010-06-04,66,3.79
2010-06-11,68,3.88
2010-06-18,47,4.01
2010-06-25,63,3.94
2010-07-02,68,3.79
2010-07-09,73,4.04
2010-07-16,59,3.9
2010-07-23,82,4.02
2010-07-30,75,4.1
2010-08-06,81,4.06
2010-08-13,64,3.88
2010-08-20,93,3.75
2010-08-27,64,3.76
2010-09-03,60,3.91
2010-09-10,63,3.91
2010-09-17,66,3.95
2010-09-24,70,3.9
2010-10-01,50,4.09
2010-10-08,62,4.19
2010-10-15,69,3.95
2010-10-22,72,4.11
2010-10-29,56,4.17
2010-11-05,51,4.49
2010-11-12,62,4.29
2010-11-19,88,4.27
2010-11-26,53,4.11
2010-12-03,71,4.45
2010-12-10,59,4.77
2010-12-17,65,4.7
2010-12-31,64,4.73
2011-01-07,79,4.94
2011-01-14,78,5.13
2011-01-21,90,4.89
2011-01-28,71,4.72
2011-02-04,81,4.82
2011-02-11,76,4.88
2011-02-18,69,4.91
2011-02-25,71,4.7
2011-03-04,57,4.54
2011-03-11,67,4.57
2011-03-18,67,4.5
2011-03-25,45,4.46
2011-04-01,77,4.45
2011-04-08,67,4.56
2011-04-15,70,4.42
2011-04-29,84,4.59
2011-05-06,55,4.52
2011-05-13,57,41.53
2011-05-20,55,41.02
2011-05-27,75,40.97
2011-06-03,81,39.85
2011-06-10,51,37.92
2011-06-17,69,38.3
2011-06-24,67,39.59
2011-07-01,48,42.88
2011-07-08,60,42.03
2011-07-15,54,38.38
2011-07-22,57,40.26
2011-07-29,81,38.34
2011-08-05,79,33.44
2011-08-12,82,29.85
2011-08-19,52,26.77
2011-08-26,83,29.84
2011-09-02,63,28.4
2011-09-09,67,26.74
2011-09-16,45,28.99
2011-09-23,61,24.98
2011-09-30,77,25.62
2011-10-07,85,24.63
2011-10-14,62,28.4
2011-10-21,77,30.3
2011-10-28,71,34.16
