"Date","buy.GM","Price"
2010-11-19,63,34.26
2010-11-26,12,33.8
2010-12-03,13,34.55
2010-12-10,9,33.81
2010-12-17,11,34
2010-12-31,13,36.86
2011-01-07,11,38.98
2011-01-14,9,38.2
2011-01-21,10,37.24
2011-01-28,9,36.6
2011-02-04,7,36.59
2011-02-11,10,36.45
2011-02-18,8,36.51
2011-02-25,9,33.25
2011-03-04,12,32.39
2011-03-11,11,31.93
2011-03-18,10,31.85
2011-03-25,9,31.47
2011-04-01,9,32.41
2011-04-08,13,31.52
2011-04-15,10,30.24
2011-04-29,7,32.09
2011-05-06,10,31.91
2011-05-13,11,31.07
2011-05-20,10,31.18
2011-05-27,10,31.28
2011-06-03,7,29.12
2011-06-10,8,28.85
2011-06-17,9,29
2011-06-24,8,29.92
2011-07-01,7,30.58
2011-07-08,7,31.58
2011-07-15,9,29.76
2011-07-22,10,30.1
2011-07-29,8,27.68
2011-08-05,10,26.31
2011-08-12,11,25.75
2011-08-19,10,22.16
2011-08-26,8,22.87
2011-09-02,7,22.07
2011-09-09,8,21.76
2011-09-16,8,22.61
2011-09-23,9,21
2011-09-30,9,20.18
2011-10-07,6,22.01
2011-10-14,8,24.16
2011-10-21,7,24.35
2011-10-28,7,26.45
2011-11-04,8,23.61
2011-11-11,9,22.51
2011-11-18,8,21.68
2011-11-25,8,20.34
2011-12-02,10,21.28
2011-12-09,7,21.15
2011-12-16,8,20.15
2011-12-23,10,20.5
2011-12-30,11,20.27
2012-01-06,10,22.92
2012-01-13,9,24.29
2012-01-20,7,25
2012-01-27,8,24.37
2012-02-03,10,26.18
2012-02-10,9,25.5
2012-02-17,12,27.34
2012-02-24,9,26.07
2012-03-02,9,26.45
2012-03-09,11,25.62
2012-03-16,9,25.57
2012-03-23,8,25.17
2012-03-30,9,25.65
2012-04-13,8,23.8
2012-04-20,8,23.6
2012-04-27,8,23.53
2012-05-04,9,22.36
2012-05-11,9,22
2012-05-18,11,21.18
2012-05-25,7,22.44
2012-06-01,8,22.01
2012-06-08,11,22.05
2012-06-15,9,21.74
2012-06-22,8,20.6
2012-06-29,8,19.72
2012-07-06,9,20.31
2012-07-13,10,19.62
2012-07-20,10,19.36
2012-07-27,12,19.67
2012-08-03,9,20.04
2012-08-10,9,20.54
2012-08-17,8,22.01
2012-08-24,9,21.18
2012-08-31,8,21.35
2012-09-07,8,23.37
2012-09-14,8,24.14
2012-09-21,11,24.8
2012-09-28,8,22.75
2012-10-05,9,24.8
2012-10-12,9,24.44
2012-10-19,8,24.59
2012-10-26,7,23.28
2012-11-02,8,25.79
2012-11-09,8,25.04
2012-11-16,8,23.85
2012-11-23,8,25.21
2012-11-30,9,25.88
2012-12-07,8,25.19
2012-12-14,8,24.61
2012-12-21,10,27.32
2012-12-28,6,27.85
2013-01-04,10,29.86
2013-01-11,10,30.36
2013-01-18,8,29.28
2013-01-25,6,29.07
2013-02-01,8,28.17
2013-02-08,7,28.57
2013-02-15,9,27.76
2013-02-22,7,27.11
2013-03-01,8,27.21
2013-03-08,8,28
2013-03-15,7,28.21
2013-03-22,8,28.22
2013-04-05,6,27.52
2013-04-12,8,29.62
2013-04-19,11,29.15
2013-04-26,8,30.5
2013-05-03,9,32.1
2013-05-10,8,31.42
2013-05-17,8,33.42
2013-05-24,8,32.87
2013-05-31,6,33.89
2013-06-07,9,35.03
2013-06-14,8,34.29
2013-06-21,8,32.21
2013-06-28,7,33.31
2013-07-05,8,34.67
2013-07-12,8,36.4
2013-07-19,9,36.61
2013-07-26,8,36.67
2013-08-02,9,36.95
2013-08-09,8,36.02
2013-08-16,10,34.38
2013-08-23,10,35.06
2013-08-30,7,34.08
2013-09-06,7,36.15
2013-09-13,8,36.06
2013-09-20,7,36.83
2013-09-27,6,36.37
2013-10-04,7,35.7
2013-10-11,8,35.35
2013-10-18,8,35.89
2013-10-25,7,35.59
2013-11-01,8,37.39
2013-11-08,8,36.66
2013-11-15,8,38.77
2013-11-22,8,37.63
2013-11-29,8,38.73
2013-12-06,8,40.17
2013-12-13,12,40.04
2013-12-20,10,40.99
2013-12-27,8,40.94
2014-01-03,10,39.57
2014-01-10,9,40.03
2014-01-17,8,38.6
2014-01-24,8,36.83
2014-01-31,10,36.08
2014-02-07,9,36.11
2014-02-14,9,35.95
2014-02-21,7,36.69
2014-02-28,9,36.2
2014-03-07,10,37.69
2014-03-14,7,34.09
2014-03-21,10,35.01
2014-03-28,9,34.73
2014-04-04,13,34.81
2014-04-11,9,31.93
2014-04-25,10,33.72
