"Date","NFX","Price"
2005-02-11,33,69.33
2005-04-22,30,72.96
2005-09-16,25,47
2005-09-23,29,47.89
2005-09-30,25,49.1
2005-10-07,25,44.63
2006-01-13,28,51.05
2006-01-20,23,51.68
2006-01-27,23,49.82
2006-02-03,33,50.35
2006-02-10,24,42.54
2006-02-17,26,42.62
2006-02-24,28,41.24
2006-03-03,38,40.29
2006-03-10,19,36.92
2006-03-17,31,39.09
2006-03-24,49,41.37
2006-03-31,100,41.9
2006-04-07,42,41.39
2006-04-21,49,47.63
2006-04-28,51,44.6
2006-05-05,45,47.67
2006-05-12,45,47.94
2006-05-19,46,42.56
2006-05-26,34,42.59
2006-06-02,23,45.03
2006-06-09,43,41.12
2006-06-16,61,43.23
2006-06-23,51,44.2
2006-06-30,55,48.94
2006-07-07,29,46.89
2006-07-14,28,46.52
2006-07-21,91,43.78
2006-07-28,44,45.65
2006-08-04,37,42.87
2006-08-11,35,44.67
2006-08-18,39,41.67
2006-08-25,41,45.07
2006-09-01,29,44.28
2006-09-08,31,40.17
2006-09-15,28,37.64
2006-09-22,21,37.06
2006-09-29,19,38.54
2006-10-06,29,37.27
2006-10-13,27,39.3
2006-10-20,50,38.85
2006-10-27,23,40.74
2006-11-03,22,42.22
2006-11-10,35,42.57
2006-11-17,39,46.41
2006-11-24,41,46.85
2006-12-01,27,49.65
2006-12-08,25,46.99
2006-12-15,25,47.95
2006-12-22,25,46.97
2006-12-29,22,45.95
2007-01-05,23,41
2007-01-12,14,42.3
2007-01-19,27,40.83
2007-01-26,34,41.72
2007-02-02,17,43.46
2007-02-09,13,41.73
2007-02-16,21,41.69
2007-02-23,24,42.69
2007-03-02,28,41.83
2007-03-09,21,41.37
2007-03-16,19,39.94
2007-03-23,21,42.2
2007-03-30,21,41.71
2007-04-13,13,44.44
2007-04-20,15,43.05
2007-04-27,26,44.9
2007-05-04,12,45.13
2007-05-11,12,44.02
2007-05-18,23,48.15
2007-05-25,16,46.82
2007-06-01,23,52.61
2007-06-08,15,49.5
2007-06-15,20,50.11
2007-06-22,17,47.88
2007-06-29,11,45.55
2007-07-06,22,47.08
2007-07-13,21,50.03
2007-07-20,34,49.56
2007-07-27,25,48.97
2007-08-03,17,47.32
2007-08-10,16,48.04
2007-08-17,17,46.36
2007-08-24,31,44.82
2007-08-31,24,43.49
2007-09-07,20,45.69
2007-09-14,20,46.52
2007-09-21,21,48.05
2007-09-28,26,48.16
2007-10-05,26,49.78
2007-10-12,15,51.53
2007-10-19,19,50.4
2007-10-26,28,53.62
2007-11-02,36,53.13
2007-11-09,37,51.33
2007-11-16,27,51.34
2007-11-23,43,49.18
2007-11-30,28,49.85
2007-12-07,34,53.9
2007-12-14,27,52.02
2007-12-21,36,51.71
2007-12-28,27,53.13
2008-01-04,27,52.97
2008-01-11,32,52.26
2008-01-18,28,48.35
2008-01-25,30,47.9
2008-02-01,27,51.24
2008-02-08,26,49.77
2008-02-15,21,48.81
2008-02-22,25,50.35
2008-02-29,29,55.38
2008-03-07,27,54.61
2008-03-14,20,56.15
2008-03-28,23,52.04
2008-04-04,30,54.71
2008-04-11,34,56.25
2008-04-18,27,64.02
2008-04-25,25,65.49
2008-05-02,17,60
2008-05-09,28,62.74
2008-05-16,21,64.23
2008-05-23,20,64.61
2008-05-30,23,63.24
2008-06-06,21,65.54
2008-06-13,20,61.89
2008-06-20,21,64.21
2008-06-27,32,64.71
2008-07-11,28,60.73
2008-07-18,28,54.07
2008-07-25,21,51.72
2008-08-01,18,48.29
2008-08-08,20,42.42
2008-08-15,17,44.12
2008-08-22,18,44.7
2008-08-29,21,45.22
2008-09-05,18,42.05
2008-09-12,22,37.33
2008-09-19,22,40.57
2008-09-26,14,34.53
2008-10-03,15,27.48
2008-10-10,19,19.47
2008-10-17,14,20.51
2008-10-24,15,20.1
2008-10-31,12,22.98
2008-11-07,10,22.56
2008-11-14,16,19.89
2008-11-21,16,17.82
2008-11-28,12,22.58
2008-12-05,15,16.96
2008-12-12,26,20.91
2008-12-19,14,20.03
2008-12-26,22,18.32
2009-01-02,9,21.11
2009-01-09,8,21.35
2009-01-16,16,19.99
2009-01-23,10,18.75
2009-01-30,19,19.19
2009-02-06,17,22.57
2009-02-13,16,21.8
2009-02-20,14,19.1
2009-02-27,15,19.33
2009-03-06,11,19.34
2009-03-13,19,20.94
2009-03-20,9,23.07
2009-03-27,16,24.1
2009-04-03,17,25.51
2009-04-17,17,28.77
2009-04-24,13,32.5
2009-05-01,16,32.6
2009-05-08,13,36.01
2009-05-15,23,31.03
2009-05-22,15,33.92
2009-05-29,19,36.12
2009-06-05,17,36.18
2009-06-12,15,36.66
2009-06-19,14,32.89
2009-06-26,15,31.68
2009-07-10,15,30.32
2009-07-17,13,34.62
2009-07-24,15,40.53
2009-07-31,18,39.33
2009-08-07,16,40.27
2009-08-14,16,39.38
2009-08-21,17,41.42
2009-08-28,14,39.88
2009-09-04,10,39.12
2009-09-11,14,42.99
2009-09-18,15,44.01
2009-09-25,18,41.19
2009-10-02,15,41.53
2009-10-09,15,45.66
2009-10-16,15,47.94
2009-10-23,16,46.08
