"Date","Alexion.Pharmaceuticals","Price"
2008-12-19,69,35.48
2009-02-13,57,39.91
2009-02-20,56,37.98
2009-02-27,56,34.2
2009-03-06,56,32.28
2009-03-13,56,35.37
2009-07-31,55,44.05
2010-03-12,42,52.84
2010-06-11,52,51.95
2010-06-18,41,54.39
2010-06-25,41,53.56
2010-07-02,41,50.45
2010-07-09,41,52.16
2010-07-16,41,50.4
2010-07-23,45,52.8
2010-07-30,41,54.36
2010-08-06,41,56.72
2010-10-22,50,67.02
2010-10-29,43,68.3
2010-11-05,36,72.72
2011-01-21,42,84.43
2011-01-28,49,82.34
2011-02-04,43,84.98
2011-02-11,32,90.05
2011-02-18,44,94.64
2011-02-25,34,94.92
2011-03-04,35,98.34
2011-03-11,35,98.22
2011-03-18,41,93.77
2011-03-25,38,94.82
2011-04-01,38,100
2011-04-08,40,102.38
2011-04-15,41,101.29
2011-04-29,42,96.87
2011-05-06,47,95.89
2011-05-13,51,99.53
2011-05-20,56,95.58
2011-05-27,60,46.18
2011-06-03,64,47.35
2011-06-10,37,45.52
2011-06-17,37,44.61
2011-06-24,38,44.82
2011-07-01,38,47.51
2011-07-08,38,50.3
2011-07-15,38,52.37
2011-07-22,40,58.98
2011-07-29,42,56.8
2011-08-05,44,50.7
2011-08-12,40,52.59
2011-08-19,40,50.46
2011-08-26,33,54.68
2011-09-02,32,56.89
2011-09-09,33,58.07
2011-09-16,35,62.07
2011-09-23,36,66.15
2011-09-30,37,64.06
2011-10-07,33,65.18
2011-10-14,33,66.8
2011-10-21,34,68.38
2011-10-28,35,67.93
2011-11-04,36,66.04
2011-11-11,38,64.25
2011-11-18,39,64.12
2011-11-25,41,63.87
2011-12-02,43,66.98
2011-12-09,31,65.06
2011-12-16,31,66.37
2011-12-23,31,69.08
2011-12-30,36,71.5
2012-01-06,32,74.45
2012-01-13,35,74.62
2012-01-20,38,73.58
2012-01-27,30,75.4
2012-02-03,40,78.88
2012-02-10,40,83.45
2012-02-17,32,81
2012-02-24,32,84.63
2012-03-02,43,85.26
2012-03-09,48,84.73
2012-03-16,54,89.01
2012-03-23,32,93.82
2012-03-30,35,92.86
2012-04-13,37,89.02
2012-04-20,44,91.76
2012-04-27,44,90.56
2012-05-04,38,87.28
2012-05-11,41,86.29
2012-05-18,45,84.26
2012-05-25,49,92.42
2012-06-01,37,87.6
2012-06-08,34,92.43
2012-06-15,36,93.31
2012-06-22,100,95.95
2012-06-29,32,99.3
2012-07-06,27,101.25
2012-07-13,32,97.35
2012-07-20,27,99.35
2012-07-27,42,108.97
2012-08-03,42,106.96
2012-08-10,30,103.42
2012-08-17,25,102.31
2012-08-24,43,106.74
2012-08-31,46,107.21
2012-09-07,65,110.61
2012-09-14,49,110.47
2012-09-21,57,114.21
2012-09-28,49,114.4
2012-10-05,49,118.15
2012-10-12,31,111.19
2012-10-19,36,107.62
2012-10-26,58,95.26
2012-11-02,42,89.09
2012-11-09,60,90.8
2012-11-16,38,90.91
2012-11-23,27,94.71
2012-11-30,36,96.02
2012-12-07,34,91.5
2012-12-14,30,93.4
2012-12-21,33,93.88
2012-12-28,40,92.36
2013-01-04,46,97.62
2013-01-11,48,100.39
2013-01-18,39,97.42
2013-01-25,33,94.68
2013-02-01,36,97.87
2013-02-08,34,93.66
2013-02-15,70,86.01
2013-02-22,32,87.44
2013-03-01,30,86.77
2013-03-08,54,91.06
2013-03-15,27,93.66
2013-03-22,37,93.48
2013-04-05,44,99.2
2013-04-12,32,100.1
2013-04-19,31,92.6
2013-04-26,42,99.34
2013-05-03,46,98.17
2013-05-10,38,104.14
2013-05-17,45,102.9
2013-05-24,47,99.17
2013-05-31,43,97.58
2013-06-07,51,94.38
2013-06-14,50,92.22
2013-06-21,26,88.49
2013-06-28,45,92.24
2013-07-05,31,96.45
2013-07-12,52,114.26
2013-07-19,64,112.17
2013-07-26,52,112.5
2013-08-02,40,117.28
2013-08-09,32,114.09
2013-08-16,45,105
2013-08-23,46,105.46
2013-08-30,45,107.76
2013-09-06,25,111.56
2013-09-13,45,114.14
2013-09-20,32,113.65
2013-09-27,26,116.42
2013-10-04,30,116.44
2013-10-11,32,108.81
2013-10-18,44,108.43
2013-10-25,60,125.17
2013-11-01,30,123.36
2013-11-08,38,117.43
2013-11-15,28,124.07
2013-11-22,43,122.79
2013-11-29,40,124.5
2013-12-06,50,125.45
2013-12-13,44,123.69
2013-12-20,45,130.64
2013-12-27,29,131.57
2014-01-03,29,131.72
2014-01-10,48,135.21
2014-01-17,39,139.71
2014-01-24,48,133.64
2014-01-31,71,158.73
2014-02-07,65,163.63
2014-02-14,56,180.55
2014-02-21,47,181.52
2014-02-28,55,176.8
2014-03-07,41,168.05
2014-03-14,55,175.28
2014-03-21,50,159.79
2014-03-28,41,149.42
2014-04-04,37,142.5
2014-04-11,58,139.61
2014-04-25,64,153.19
