"Date","DRI","Price"
2004-02-06,64,21.95
2004-02-13,59,22.19
2004-02-20,62,22.02
2004-02-27,60,24.4
2004-03-05,56,25.37
2004-03-12,69,24.55
2004-03-19,65,24.3
2004-03-26,58,24.53
2004-04-02,56,23.95
2004-04-16,57,23.87
2004-04-23,51,23.91
2004-04-30,68,22.66
2004-05-07,62,21.96
2004-05-14,68,22
2004-05-21,64,21.78
2004-05-28,66,22.5
2004-06-04,63,21.61
2004-06-18,58,21.36
2004-06-25,57,20.61
2004-07-02,69,20.33
2004-07-09,61,20.55
2004-07-16,59,21.36
2004-07-23,65,21.51
2004-07-30,58,21.33
2004-08-06,72,20.11
2004-08-13,60,19.42
2004-08-20,61,20.23
2004-08-27,53,21.28
2004-09-03,81,21.21
2004-09-10,54,21
2004-09-17,61,21.04
2004-09-24,65,23.13
2004-10-01,64,23.5
2004-10-08,58,24.45
2004-10-15,57,24.54
2004-10-22,57,23.49
2004-10-29,62,24.5
2004-11-05,58,26.92
2004-11-12,60,27.08
2004-11-19,56,25.98
2004-11-26,57,27.41
2004-12-03,60,27.41
2004-12-10,55,28.11
2004-12-17,63,26.62
2004-12-31,47,27.74
2005-01-07,58,28.37
2005-01-14,54,28.74
2005-01-21,52,27.72
2005-01-28,62,29.08
2005-02-04,58,28.19
2005-02-11,55,28.77
2005-02-18,57,27.14
2005-02-25,57,27.49
2005-03-04,57,28.64
2005-03-11,54,27.55
2005-03-18,56,27.04
2005-04-01,54,31.05
2005-04-08,56,30.81
2005-04-15,65,30.52
2005-04-22,57,30.44
2005-04-29,57,30
2005-05-06,52,30.8
2005-05-13,56,30.03
2005-05-20,55,31.96
2005-05-27,51,32.8
2005-06-03,55,32.91
2005-06-10,60,33.44
2005-06-17,49,33
2005-06-24,58,32.7
2005-07-01,56,33.03
2005-07-08,48,32.08
2005-07-15,63,34.1
2005-07-22,56,34.47
2005-07-29,59,34.7
2005-08-05,61,33.09
2005-08-12,56,33.51
2005-08-19,57,32.42
2005-08-26,51,31.59
2005-09-02,61,29.88
2005-09-09,61,31.62
2005-09-16,52,30.65
2005-09-23,49,29.72
2005-09-30,53,30.37
2005-10-07,45,29.84
2005-10-14,64,31.01
2005-10-21,48,31.19
2005-10-28,42,31.88
2005-11-04,51,34.47
2005-11-11,45,34.08
2005-11-18,54,35.35
2005-11-25,49,36.09
2005-12-02,50,36.56
2005-12-09,49,34.98
2005-12-16,40,38.81
2005-12-23,42,38.55
2005-12-30,39,38.88
2006-01-06,49,40.4
2006-01-13,48,40.46
2006-01-20,48,38.87
2006-01-27,53,41.03
2006-02-03,51,41.34
2006-02-10,54,41.98
2006-02-17,48,41.44
2006-02-24,44,42.75
2006-03-03,49,41.64
2006-03-10,50,40.83
2006-03-17,50,41.21
2006-03-24,49,41.58
2006-03-31,52,41.03
2006-04-07,52,40.31
2006-04-21,46,40.68
2006-04-28,62,39.6
2006-05-05,51,39.09
2006-05-12,52,36.81
2006-05-19,50,36.25
2006-05-26,56,36.51
2006-06-02,53,35.51
2006-06-09,57,35.63
2006-06-16,53,36.05
2006-06-23,52,37.15
2006-06-30,52,39.4
2006-07-07,53,37.94
2006-07-14,57,34.68
2006-07-21,54,33.29
2006-07-28,57,33.85
2006-08-04,60,35.21
2006-08-11,57,34.38
2006-08-18,49,37
2006-08-25,55,34.65
2006-09-01,45,35.96
2006-09-08,43,36.47
2006-09-15,52,38.78
2006-09-22,52,42.38
2006-09-29,56,42.47
2006-10-06,54,43.81
2006-10-13,53,43.54
2006-10-20,53,41.57
2006-10-27,54,41
2006-11-03,58,39.91
2006-11-10,45,40.92
2006-11-17,54,40.78
2006-11-24,49,40.25
