"Date","COP","Price"
2004-02-06,42,66.03
2004-02-13,44,68.63
2004-02-20,43,68.13
2004-02-27,41,68.87
2004-03-05,38,70.33
2004-03-12,41,69.15
2004-03-19,40,69.29
2004-03-26,40,66.8
2004-04-02,41,68.93
2004-04-16,40,72.79
2004-04-23,37,71.83
2004-04-30,53,71.3
2004-05-07,39,73.14
2004-05-14,34,73.33
2004-05-21,39,70.47
2004-05-28,40,73.33
2004-06-04,46,73.94
2004-06-18,39,76.69
2004-06-25,41,77.19
2004-07-02,43,76.19
2004-07-09,39,77.35
2004-07-16,35,79.5
2004-07-23,38,77.17
2004-07-30,41,78.77
2004-08-06,38,73.92
2004-08-13,41,73.47
2004-08-20,42,74.16
2004-08-27,40,73.33
2004-09-03,42,76.19
2004-09-10,36,77.68
2004-09-17,35,79.13
2004-09-24,39,81.7
2004-10-01,41,84.07
2004-10-08,41,88.08
2004-10-15,37,83.99
2004-10-22,39,84.8
2004-10-29,44,84.31
2004-11-05,39,88.36
2004-11-12,37,87.89
2004-11-19,39,87.43
2004-11-26,29,90.36
2004-12-03,40,86.5
2004-12-10,39,84.75
2004-12-17,39,86.99
2004-12-31,39,86.83
2005-01-07,39,84.86
2005-01-14,42,89.02
2005-01-21,41,87.3
2005-01-28,36,90.99
2005-02-04,40,96.22
2005-02-11,38,99.04
2005-02-18,37,106.25
2005-02-25,40,112.32
2005-03-04,40,112.21
2005-03-11,41,105.59
2005-03-18,39,110.25
2005-04-01,38,110.28
2005-04-08,36,109.13
2005-04-15,36,100.07
2005-04-22,38,106.96
2005-04-29,37,104.85
2005-05-06,36,104.92
2005-05-13,36,98.51
2005-05-20,38,101.11
2005-05-27,35,107.55
2005-06-03,36,55.01
2005-06-10,38,55.94
2005-06-17,35,60.68
2005-06-24,40,58.21
2005-07-01,38,59.1
2005-07-08,36,60.24
2005-07-15,36,59.35
2005-07-22,37,61.25
2005-07-29,37,62.59
2005-08-05,36,63.75
2005-08-12,36,66.62
2005-08-19,38,63.07
2005-08-26,37,61.88
2005-09-02,42,66.77
2005-09-09,33,69.02
2005-09-16,37,69.15
2005-09-23,36,68.29
2005-09-30,37,69.91
2005-10-07,39,63.6
2005-10-14,43,62.33
2005-10-21,38,58.15
2005-10-28,45,63.26
2005-11-04,35,66.25
2005-11-11,39,63.5
2005-11-18,38,62.23
2005-11-25,37,64
2005-12-02,38,62.39
2005-12-09,44,63.07
2005-12-16,44,57.35
2005-12-23,37,59.15
2005-12-30,35,58.18
2006-01-06,39,60.89
2006-01-13,38,60.76
2006-01-20,37,64.65
2006-01-27,36,65.08
2006-02-03,44,62.5
2006-02-10,41,59.35
2006-02-17,41,61.09
2006-02-24,38,62.73
2006-03-03,37,62.48
2006-03-10,40,59.07
2006-03-17,36,61.36
2006-03-24,41,61.76
2006-03-31,41,63.15
2006-04-07,41,65.96
2006-04-21,39,72.5
2006-04-28,37,66.9
2006-05-05,40,66.85
2006-05-12,38,65.19
2006-05-19,38,62.72
2006-05-26,37,63.46
2006-06-02,37,64.51
2006-06-09,38,60.57
2006-06-16,41,61.17
2006-06-23,37,61.26
2006-06-30,38,65.53
2006-07-07,38,67.19
2006-07-14,35,67.45
2006-07-21,37,63.63
2006-07-28,38,67.95
2006-08-04,41,68.52
2006-08-11,42,68.38
2006-08-18,45,66.4
2006-08-25,45,66.3
2006-09-01,40,64.24
2006-09-08,39,60.34
2006-09-15,50,58.1
2006-09-22,43,58.04
2006-09-29,40,59.53
2006-10-06,42,58.01
2006-10-13,42,60.03
2006-10-20,47,60.86
2006-10-27,47,61.19
2006-11-03,40,60.97
2006-11-10,38,63.09
2006-11-17,38,62.7
2006-11-24,36,64.29
2006-12-01,38,67.37
2006-12-08,39,71.04
2006-12-15,43,72.77
2006-12-22,42,71.05
2006-12-29,40,71.95
2007-01-05,60,67.42
2007-01-12,43,63.83
2007-01-19,41,63.95
2007-01-26,40,64.77
2007-02-02,40,67.29
2007-02-09,50,66.99
2007-02-16,39,66.15
2007-02-23,39,67.2
2007-03-02,37,64.93
2007-03-09,38,67.8
2007-03-16,36,65.34
2007-03-23,45,69.25
2007-03-30,39,68.35
2007-04-13,37,70.54
2007-04-20,40,71.25
2007-04-27,68,70.04
2007-05-04,40,70.19
2007-05-11,39,70.19
2007-05-18,43,74.85
2007-05-25,44,76.42
2007-06-01,40,78.86
2007-06-08,40,77.29
2007-06-15,36,80.52
2007-06-22,35,78.74
2007-06-29,50,78.5
2007-07-06,46,81.04
2007-07-13,45,90.17
2007-07-20,45,86.3
2007-07-27,40,79.8
2007-08-03,39,77.59
2007-08-10,40,78.21
2007-08-17,40,79.13
2007-08-24,38,80.74
2007-08-31,39,81.89
2007-09-07,40,82.81
2007-09-14,50,85.27
2007-09-21,44,88.94
2007-09-28,40,87.77
2007-10-05,42,84.2
2007-10-12,46,85.72
2007-10-19,42,85.07
2007-10-26,43,84.81
2007-11-02,40,84.57
2007-11-09,39,82.56
2007-11-16,40,78.93
2007-11-23,45,79.12
2007-11-30,44,80.04
2007-12-07,46,83.3
2007-12-14,40,83.29
2007-12-21,42,86.71
2007-12-28,41,89.13
2008-01-04,46,85.56
2008-01-11,42,83.04
2008-01-18,43,72.89
2008-01-25,44,74.13
2008-02-01,43,80.36
2008-02-08,42,75.38
2008-02-15,53,79.05
2008-02-22,48,80.61
2008-02-29,43,82.71
2008-03-07,43,78.36
2008-03-14,52,77.49
2008-03-28,43,75.67
2008-04-04,40,78.81
2008-04-11,37,78.59
2008-04-18,39,83.89
2008-04-25,41,83.57
2008-05-02,40,86.88
2008-05-09,43,88.71
2008-05-16,41,91.98
2008-05-23,39,91.4
2008-05-30,41,93.1
2008-06-06,40,92.17
2008-06-13,40,94.26
