"Date","PG","Price"
2004-02-06,47,102.36
2004-02-13,43,102.05
2004-02-20,49,102.5
2004-02-27,46,102.51
2004-03-05,47,101.76
2004-03-12,48,104.12
2004-03-19,48,104.03
2004-03-26,48,103.95
2004-04-02,41,106.11
2004-04-16,47,105.97
2004-04-23,43,104.99
2004-04-30,47,105.79
2004-05-07,51,106.72
2004-05-14,45,106.41
2004-05-21,46,106.91
2004-05-28,49,107.82
2004-06-04,46,107.87
2004-06-18,47,110.19
2004-06-25,49,54.75
2004-07-02,46,54.33
2004-07-09,55,54.72
2004-07-16,46,55.1
2004-07-23,43,52.49
2004-07-30,46,52.15
2004-08-06,42,52.99
2004-08-13,38,54.46
2004-08-20,48,54.85
2004-08-27,46,55.98
2004-09-03,46,56.55
2004-09-10,45,56.18
2004-09-17,46,56.26
2004-09-24,43,54.08
2004-10-01,47,54.66
2004-10-08,44,53.45
2004-10-15,47,53.69
2004-10-22,44,53.05
2004-10-29,47,51.18
2004-11-05,47,53.52
2004-11-12,52,54.6
2004-11-19,44,54.32
2004-11-26,44,53.64
2004-12-03,47,55.39
2004-12-10,46,56.44
2004-12-17,43,55.44
2004-12-31,44,55.08
2005-01-07,52,55.92
2005-01-14,46,55.88
2005-01-21,51,55.65
2005-01-28,46,54.15
2005-02-04,46,52.62
2005-02-11,48,52.15
2005-02-18,46,53.5
2005-02-25,51,54.19
2005-03-04,50,53.85
2005-03-11,54,52.51
2005-03-18,50,53.4
2005-04-01,45,52.61
2005-04-08,41,54.5
2005-04-15,46,54.8
2005-04-22,47,53.89
2005-04-29,43,54.15
2005-05-06,46,54.75
2005-05-13,50,54.75
2005-05-20,45,56.48
2005-05-27,47,55.76
2005-06-03,47,55.27
2005-06-10,53,54.75
2005-06-17,49,54.42
2005-06-24,54,52.82
2005-07-01,54,52.9
2005-07-08,47,52.96
2005-07-15,49,54.5
2005-07-22,50,54.99
2005-07-29,48,55.63
2005-08-05,48,54.1
2005-08-12,46,53.55
2005-08-19,46,54.54
2005-08-26,47,54.96
2005-09-02,50,55.99
2005-09-09,43,56.9
2005-09-16,47,55.95
2005-09-23,49,56.74
2005-09-30,47,59.46
2005-10-07,48,56.04
2005-10-14,58,56.11
2005-10-21,53,54.81
2005-10-28,54,55.92
2005-11-04,52,55.92
2005-11-11,49,56.37
2005-11-18,52,57.45
2005-11-25,47,57.28
2005-12-02,49,57.36
2005-12-09,52,57.33
2005-12-16,48,58.11
2005-12-23,43,58.88
2005-12-30,44,57.88
2006-01-06,46,58.64
2006-01-13,50,58.9
2006-01-20,46,57.84
2006-01-27,51,59.74
2006-02-03,51,59.68
2006-02-10,50,59.7
2006-02-17,55,61
2006-02-24,48,61.5
2006-03-03,53,59.67
2006-03-10,49,62.25
2006-03-17,47,59.1
2006-03-24,49,58.74
2006-03-31,50,57.63
2006-04-07,53,57.28
2006-04-21,52,56.34
2006-04-28,54,58.21
2006-05-05,53,55.73
2006-05-12,51,55.01
2006-05-19,56,54.15
2006-05-26,49,55.13
2006-06-02,53,53.95
2006-06-09,52,54.45
2006-06-16,53,55.02
2006-06-23,52,55.73
2006-06-30,50,55.6
2006-07-07,50,56.5
2006-07-14,49,55.66
2006-07-21,49,56.07
2006-07-28,56,56.81
2006-08-04,49,59.45
2006-08-11,50,60.26
2006-08-18,50,60.39
2006-08-25,50,60.87
2006-09-01,48,61.91
2006-09-08,48,61.14
2006-09-15,49,60.9
2006-09-22,46,61.81
2006-09-29,47,61.98
2006-10-06,50,63.09
2006-10-13,51,62.13
2006-10-20,47,62.68
2006-10-27,48,63.56
2006-11-03,48,63.4
2006-11-10,47,63.7
2006-11-17,50,63.86
2006-11-24,45,63.53
2006-12-01,48,62.69
2006-12-08,47,63.89
2006-12-15,47,64.11
2006-12-22,45,63.8
2006-12-29,44,64.27
2007-01-05,47,63.5
2007-01-12,53,65
2007-01-19,50,66.09
2007-01-26,50,64.86
2007-02-02,52,65.34
2007-02-09,50,64.43
2007-02-16,57,65.07
2007-02-23,58,64.82
2007-03-02,54,63.16
2007-03-09,57,62.16
2007-03-16,53,61.61
