"Date","MCO","Price"
2004-02-06,70,65.4
2004-02-13,45,65.02
2004-02-20,55,65.49
2004-02-27,54,66.86
2004-03-05,36,69.15
2004-03-12,54,68.77
2004-03-19,64,69.69
2004-03-26,43,69.81
2004-04-02,60,68.9
2004-04-16,63,66.97
2004-04-23,64,66.43
2004-04-30,54,64.51
2004-05-07,52,62.47
2004-05-14,50,63.7
2004-05-21,42,63.95
2004-05-28,60,65.39
2004-06-04,43,65.78
2004-06-18,55,65.52
2004-06-25,40,64.84
2004-07-02,61,65.76
2004-07-09,46,65.43
2004-07-16,61,65.25
2004-07-23,53,65.17
2004-07-30,67,68.1
2004-08-06,73,67.33
2004-08-13,91,66.5
2004-08-20,62,68.33
2004-08-27,48,68.52
2004-09-03,73,69.63
2004-09-10,66,69.44
2004-09-17,55,71
2004-09-24,75,73.02
2004-10-01,68,74.4
2004-10-08,55,73.16
2004-10-15,55,72.79
2004-10-22,63,72.69
2004-10-29,82,77.81
2004-11-05,62,79.37
2004-11-12,46,80.3
2004-11-19,69,80.2
2004-11-26,55,81.35
2004-12-03,44,83.05
2004-12-10,53,83.35
2004-12-17,60,84.15
2004-12-31,53,86.85
2005-01-07,57,83
2005-01-14,69,84.1
2005-01-21,60,84.68
2005-01-28,75,83.9
2005-02-04,54,86.33
2005-02-11,63,86.24
2005-02-18,61,84.28
2005-02-25,61,85.32
2005-03-04,66,86.2
2005-03-11,66,84.29
2005-03-18,67,83.7
2005-04-01,57,80.44
2005-04-08,53,82.47
2005-04-15,51,80.43
2005-04-22,62,81.6
2005-04-29,84,82.14
2005-05-06,77,84.2
2005-05-13,92,82.2
2005-05-20,93,43.21
2005-05-27,80,43.74
2005-06-03,77,43.26
2005-06-10,95,43.91
2005-06-17,86,46.11
2005-06-24,77,44.65
2005-07-01,97,45.29
2005-07-08,80,45.92
2005-07-15,90,46.86
2005-07-22,87,47.54
2005-07-29,93,47.31
2005-08-05,94,46.99
2005-08-12,90,46.67
2005-08-19,87,47.49
2005-08-26,76,48.78
2005-09-02,79,50.37
2005-09-09,77,51.42
2005-09-16,80,50.67
2005-09-23,76,49.43
2005-09-30,74,51.08
2005-10-07,73,51.01
2005-10-14,76,50.01
2005-10-21,83,51.19
2005-10-28,93,52.92
2005-11-04,99,53.44
2005-11-11,71,55.89
2005-11-18,76,58.15
2005-11-25,64,59.32
2005-12-02,75,60.13
2005-12-09,69,60.63
2005-12-16,69,61.5
2005-12-23,77,62.12
2005-12-30,68,61.42
2006-01-06,80,63.44
2006-01-13,100,64.21
2006-01-20,72,61.2
2006-01-27,77,63.92
2006-02-03,85,63.89
2006-02-10,80,64.1
2006-02-17,76,65.01
2006-02-24,72,67.96
2006-03-03,85,67.65
2006-03-10,86,67.55
2006-03-17,66,69.85
2006-03-24,73,70.57
2006-03-31,67,71.46
2006-04-07,86,70.87
2006-04-21,68,70.97
2006-04-28,84,62.01
2006-05-05,84,58.6
2006-05-12,73,57.85
2006-05-19,73,54.44
2006-05-26,83,53.83
2006-06-02,68,52.92
2006-06-09,59,52.75
2006-06-16,67,52.73
2006-06-23,59,53.36
2006-06-30,72,54.46
2006-07-07,60,53.76
2006-07-14,76,50.33
2006-07-21,62,50.54
2006-07-28,77,56.08
2006-08-04,70,59.31
2006-08-11,68,57.2
2006-08-18,72,59.63
2006-08-25,61,59
2006-09-01,78,62.56
2006-09-08,60,61.85
2006-09-15,65,64.67
2006-09-22,70,63.12
2006-09-29,63,65.38
2006-10-06,62,61.97
2006-10-13,61,62.76
2006-10-20,67,65.17
2006-10-27,63,65.92
2006-11-03,68,65.78
2006-11-10,58,66.24
2006-11-17,57,68.88
2006-11-24,59,69.73
2006-12-01,62,69.3
2006-12-08,63,69.46
