"Date","Tractor.Supply.Company","Price"
2004-02-06,25,42.09
2004-02-13,51,42.5
2004-02-20,34,42.15
2004-02-27,27,42.82
2004-03-05,35,44
2004-03-12,55,42.1
2004-03-19,41,38.88
2004-03-26,54,39.93
2004-04-02,68,39
2004-04-16,46,40.38
2004-04-23,66,42.45
2004-04-30,74,38.95
2004-05-07,72,36.1
2004-05-14,49,35.8
2004-05-21,63,36.19
2004-05-28,76,38.53
2004-06-04,77,37.31
2004-06-18,59,38.62
2004-06-25,58,41.59
2004-07-02,61,40.57
2004-07-09,58,40.49
2004-07-16,58,37.66
2004-07-23,55,35.27
2004-07-30,45,36.31
2004-08-06,59,32.9
2004-08-13,46,32.89
2004-08-20,54,34.39
2004-08-27,48,35
2004-09-03,50,37.94
2004-09-10,25,38.35
2004-09-17,46,39
2004-09-24,61,36.25
2004-10-01,41,32.68
2004-10-08,34,31.22
2004-10-15,34,33.77
2004-10-22,42,34.34
2004-10-29,48,36.28
2004-11-05,37,35.68
2004-11-12,47,36.37
2004-11-19,40,33.79
2004-11-26,53,32.45
2004-12-03,57,33.75
2004-12-10,54,34.53
2004-12-17,56,35.42
2004-12-31,58,37.21
2005-01-07,38,35.46
2005-01-14,34,35.59
2005-01-21,51,34.44
2005-01-28,47,35.18
2005-02-04,42,44.33
2005-02-11,41,43.16
2005-02-18,46,42.58
2005-02-25,37,42.5
2005-03-04,45,43.85
2005-03-11,59,42.73
2005-03-18,44,42.55
2005-04-01,56,42.34
2005-04-08,69,43.8
2005-04-15,59,40.87
2005-04-22,58,41.19
2005-04-29,57,40.22
2005-05-06,50,41.79
2005-05-13,63,40.31
2005-05-20,46,42.67
2005-05-27,60,43.71
2005-06-03,43,45.6
2005-06-10,70,47.23
2005-06-17,50,49.01
2005-06-24,71,48.1
2005-07-01,41,49.05
2005-07-08,41,49.57
2005-07-15,30,49.16
2005-07-22,44,54.26
2005-07-29,40,56.22
2005-08-05,39,53.4
2005-08-12,53,54.14
2005-08-19,49,49.74
2005-08-26,35,50.05
2005-09-02,46,47.87
2005-09-09,44,51.79
2005-09-16,47,50.91
2005-09-23,57,49
2005-09-30,50,45.65
2005-10-07,27,43.57
2005-10-14,48,42.54
2005-10-21,56,47.48
2005-10-28,42,48.05
2005-11-04,51,52.08
2005-11-11,34,50.82
2005-11-18,54,50.09
2005-11-25,51,51.56
2005-12-02,61,55.15
2005-12-09,55,54.27
2005-12-16,63,54.27
2005-12-23,67,54
2005-12-30,48,52.94
2006-01-06,50,52.69
2006-01-13,26,52.61
2006-01-20,40,49.22
2006-01-27,40,51.7
2006-02-03,35,63.3
2006-02-10,27,59.61
2006-02-17,34,61.28
2006-02-24,32,62.35
2006-03-03,30,62.46
2006-03-10,41,62.58
2006-03-17,46,64.18
2006-03-24,35,66.98
2006-03-31,52,66.34
2006-04-07,64,62.92
2006-04-21,63,64.39
