"Date","FedEx.Corporation","Price"
2008-02-08,100,88
2008-09-12,70,90.84
2008-09-19,70,90.08
2008-09-26,70,81.56
2008-10-03,83,78
2008-11-14,90,64.37
2008-11-21,76,60.91
2008-11-28,76,70.65
2008-12-05,76,73.71
2008-12-12,72,61.34
2008-12-19,79,63.59
2009-02-06,95,55.27
2009-02-13,65,51.81
2009-02-20,65,46.96
2009-02-27,58,43.21
2009-03-06,58,35.76
2009-03-13,58,38
2009-03-20,58,41.9
2009-03-27,58,45.68
2009-04-03,58,50.02
2009-04-17,65,53.25
2009-04-24,58,56.06
2009-05-01,58,55.13
2009-05-08,56,60.06
2009-05-15,56,52.98
2009-05-22,56,52.84
2009-05-29,56,55.43
2009-06-05,56,57.11
2009-07-17,57,60.47
2009-07-24,75,64.98
2009-07-31,66,67.84
2009-08-07,66,67.86
2009-08-14,66,66.01
2009-08-21,66,67.87
2009-08-28,66,69.86
2009-09-04,52,70.86
2009-09-11,52,77.32
2009-09-18,52,76.17
2009-09-25,68,73.38
2009-10-02,56,73.58
2009-10-09,56,77.48
2009-10-16,56,80.05
2009-10-23,54,77.1
2009-10-30,54,72.69
2009-11-06,54,77.12
2009-11-13,52,81.97
2009-11-20,52,81.78
2009-11-27,52,82.65
2009-12-04,52,87.93
2009-12-11,72,87.94
2009-12-18,54,84.95
2010-01-08,54,84.99
2010-01-15,54,85.11
2010-01-22,54,80.29
2010-01-29,53,78.35
2010-02-05,44,76.69
2010-02-12,54,78.55
2010-02-19,43,81.76
2010-02-26,43,84.76
2010-03-05,47,86.95
2010-03-12,50,86.18
2010-03-19,54,91.05
2010-03-26,57,91.35
2010-04-09,64,91.26
2010-04-16,71,93.87
2010-04-23,78,92.81
2010-04-30,49,90.01
2010-05-07,49,83.14
2010-05-14,45,85.91
2010-05-21,63,83.06
2010-05-28,91,83.49
2010-06-04,60,79.37
2010-06-11,72,80.63
2010-06-18,78,78.7
2010-06-25,64,75.96
2010-07-02,55,71.41
2010-07-09,44,74.22
2010-07-16,56,74.61
2010-07-23,69,78.96
2010-07-30,43,82.55
2010-08-06,52,85.32
2010-08-13,43,80.8
2010-08-20,43,81.23
2010-08-27,41,80.46
2010-09-03,52,82.75
2010-09-10,44,84.16
2010-09-17,63,82.28
2010-09-24,54,84.23
2010-10-01,57,85.64
2010-10-08,38,88.69
2010-10-15,38,89.62
2010-10-22,60,88.86
2010-10-29,48,87.72
2010-11-05,48,90
2010-11-12,48,87.32
2010-11-19,44,86.79
2010-11-26,40,87.5
2010-12-03,40,95
2010-12-10,40,93.98
2010-12-17,54,93.07
2010-12-31,57,93.01
2011-01-07,58,93.15
2011-01-14,41,95.83
2011-01-21,72,93.34
2011-01-28,41,90.48
2011-02-04,42,91.74
2011-02-11,73,95.42
2011-02-18,52,98.32
2011-02-25,52,89.88
2011-03-04,36,88.69
2011-03-11,52,90.71
2011-03-18,36,89.28
2011-03-25,52,90.28
2011-04-01,33,95
2011-04-08,34,91.16
2011-04-15,38,92.58
2011-04-29,48,95.67
2011-05-06,39,95.65
2011-05-13,49,93.58
2011-05-20,52,93.82
2011-05-27,55,91.9
2011-06-03,57,90.15
2011-06-10,45,85.38
2011-06-17,49,86.99
2011-06-24,33,91.87
2011-07-01,33,96.52
2011-07-08,36,97.56
2011-07-15,40,92.2
2011-07-22,49,92.79
2011-07-29,43,86.88
2011-08-05,43,82.36
2011-08-12,36,80.48
2011-08-19,37,73.16
2011-08-26,39,75.72
2011-09-02,40,74.9
2011-09-09,42,73.4
2011-09-16,39,76.4
2011-09-23,36,67.3
2011-09-30,59,67.68
2011-10-07,35,71.06
2011-10-14,37,75.74
2011-10-21,53,79.34
2011-10-28,38,84.25
2011-11-04,55,82.01
2011-11-11,52,82.23
2011-11-18,37,81.22
2011-11-25,48,76.08
2011-12-02,59,82.14
2011-12-09,36,83.24
2011-12-16,51,84.89
2011-12-23,38,84.92
2011-12-30,37,83.51
2012-01-06,48,85.49
2012-01-13,39,90.37
2012-01-20,39,91.57
2012-01-27,42,92.95
2012-02-03,39,94.54
2012-02-10,42,95.27
2012-02-17,26,92.99
2012-02-24,39,90.24
2012-03-02,29,90.78
2012-03-09,32,91.79
2012-03-16,31,94.34
2012-03-23,34,92.38
2012-03-30,42,91.96
2012-04-13,26,88.03
2012-04-20,26,89.67
2012-04-27,38,88.24
2012-05-04,29,89.3
2012-05-11,51,87.8
2012-05-18,54,85.07
2012-05-25,39,89.28
2012-06-01,28,85.25
2012-06-08,28,87.57
2012-06-15,33,87.63
2012-06-22,36,90.54
2012-06-29,36,91.61
2012-07-06,31,91.28
2012-07-13,31,92.35
2012-07-20,43,90.08
2012-07-27,39,90.89
2012-08-03,26,89.82
2012-08-10,26,87.8
2012-08-17,29,90
2012-08-24,27,89.07
2012-08-31,27,87.63
2012-09-07,27,87.38
2012-09-14,37,90.15
2012-09-21,44,84.39
2012-09-28,39,84.62
2012-10-05,44,86.47
2012-10-12,47,90.4
2012-10-19,32,92.11
2012-10-26,47,90.69
2012-11-02,39,92.64
2012-11-09,32,89.73
2012-11-16,37,86.13
2012-11-23,37,87.73
2012-11-30,36,89.53
2012-12-07,36,89.36
2012-12-14,49,90.09
2012-12-21,30,92.74
2012-12-28,43,90.39
