"Date","BWA","Price"
2004-02-06,77,93.93
2004-02-13,57,93.49
2004-02-20,71,92.03
2004-02-27,65,90.2
2004-03-05,80,90.74
2004-03-12,87,86.83
2004-03-19,75,84.41
2004-03-26,73,83.19
2004-04-02,81,85.1
2004-04-16,65,84.96
2004-04-23,67,89.15
2004-04-30,61,81.94
2004-05-07,43,79.7
2004-05-14,54,79.1
2004-05-21,51,39.16
2004-05-28,53,41.44
2004-06-04,62,42.42
2004-06-18,63,44.44
2004-06-25,68,44.39
2004-07-02,56,41.74
2004-07-09,48,42.21
2004-07-16,67,43.29
2004-07-23,68,43.51
2004-07-30,67,47.19
2004-08-06,67,44.7
2004-08-13,56,44.45
2004-08-20,53,45.14
2004-08-27,72,45.74
2004-09-03,69,44.78
2004-09-10,64,44.24
2004-09-17,64,43.26
2004-09-24,62,42.88
2004-10-01,53,45.25
2004-10-08,58,43.22
2004-10-15,53,41.02
2004-10-22,63,40.61
2004-10-29,60,46.38
2004-11-05,72,49.58
2004-11-12,62,51.16
2004-11-19,69,49.51
2004-11-26,65,51.36
2004-12-03,68,50.86
2004-12-10,53,49.44
2004-12-17,61,51.35
2004-12-31,59,54.17
2005-01-07,49,51.41
2005-01-14,59,53.83
2005-01-21,50,52.05
2005-01-28,52,52.82
2005-02-04,72,52.6
2005-02-11,54,53.07
2005-02-18,65,52.85
2005-02-25,79,52.75
2005-03-04,63,52.36
2005-03-11,47,52.59
2005-03-18,72,50.48
2005-04-01,88,48.29
2005-04-08,51,49.42
2005-04-15,53,45.43
2005-04-22,72,46.64
2005-04-29,51,45.72
2005-05-06,64,50.22
2005-05-13,69,48.75
2005-05-20,43,52.35
2005-05-27,69,53.5
2005-06-03,54,52.7
2005-06-10,64,54.03
2005-06-17,42,54.18
2005-06-24,55,51.14
2005-07-01,53,53.97
2005-07-08,56,57.38
2005-07-15,72,57.52
2005-07-22,65,59.35
2005-07-29,57,58.17
2005-08-05,63,56.58
2005-08-12,61,58.22
2005-08-19,59,59.4
