"Date","APA","Price"
2004-02-06,28,37.23
2004-02-13,27,39.51
2004-02-20,29,38.66
2004-02-27,30,41.17
2004-03-05,31,42.26
2004-03-12,27,41.28
2004-03-19,27,42.11
2004-03-26,27,41.53
2004-04-02,32,41.96
2004-04-16,31,45.48
2004-04-23,37,42.94
2004-04-30,36,41.87
2004-05-07,31,41.51
2004-05-14,22,41.11
2004-05-21,20,38.97
2004-05-28,20,40.36
2004-06-04,19,41.09
2004-06-18,19,43.87
2004-06-25,21,43.91
2004-07-02,18,43.73
2004-07-09,19,45.4
2004-07-16,19,46.89
2004-07-23,22,45.57
2004-07-30,20,46.53
2004-08-06,18,42.85
2004-08-13,16,43.54
2004-08-20,14,44.34
2004-08-27,17,44.09
2004-09-03,21,46.22
2004-09-10,24,46.72
2004-09-17,27,47.98
2004-09-24,31,49.53
2004-10-01,32,50.43
2004-10-08,35,52.44
2004-10-15,34,52.17
2004-10-22,33,52.74
2004-10-29,36,50.7
2004-11-05,33,51.16
2004-11-12,31,50.52
2004-11-19,43,51.59
2004-11-26,35,53.69
2004-12-03,46,50.71
2004-12-10,43,49.85
2004-12-17,28,50.45
2004-12-31,11,50.57
2005-01-07,15,48.19
2005-01-14,19,52.08
2005-01-21,21,51.38
2005-01-28,25,54.17
2005-02-04,28,55.13
2005-02-11,30,57.47
2005-02-18,30,59.4
2005-02-25,31,62.72
2005-03-04,33,65.69
2005-03-11,32,61.5
2005-03-18,30,63.13
2005-04-01,32,62.74
2005-04-08,33,60.56
2005-04-15,36,55.57
2005-04-22,35,58.9
2005-04-29,38,56.29
2005-05-06,33,56.61
2005-05-13,26,52.8
2005-05-20,21,55.02
2005-05-27,21,59.11
2005-06-03,22,60.03
2005-06-10,21,62.34
2005-06-17,20,66.63
2005-06-24,21,65.65
2005-07-01,20,66.9
2005-07-08,19,69.38
2005-07-15,21,66.82
2005-07-22,21,69.95
2005-07-29,22,68.4
2005-08-05,20,68.43
2005-08-12,18,72.33
2005-08-19,18,68.8
2005-08-26,18,69.84
2005-09-02,19,70.43
2005-09-09,23,71.86
2005-09-16,29,73.42
2005-09-23,32,73.86
2005-09-30,33,75.22
2005-10-07,34,66.56
2005-10-14,37,64.48
2005-10-21,36,60.03
2005-10-28,34,62.97
2005-11-04,33,66.8
2005-11-11,34,64.74
2005-11-18,42,66.04
