"Date","buy.ED","Price"
2004-12-03,74,43.59
2005-05-13,66,45.39
2005-12-09,58,45.46
2005-12-16,59,46.85
2005-12-23,60,46.94
2005-12-30,61,46.33
2006-01-06,75,46.81
2006-01-13,44,46.3
2006-01-20,44,46.73
2006-01-27,44,47.29
2006-02-03,48,46.1
2006-02-10,64,46.14
2006-02-17,46,45.45
2006-02-24,40,46.49
2006-03-03,40,45.09
2006-03-10,40,44.65
2006-03-17,40,45.09
2006-03-24,40,44.6
2006-05-26,48,44.06
2006-08-04,48,46.65
2006-08-11,37,45.8
2006-08-18,37,45.34
2006-08-25,37,45.39
2006-09-01,38,45.9
2006-09-08,38,45.29
2006-09-15,39,45.73
2006-09-22,43,46.02
2006-09-29,47,46.2
2006-10-06,51,46.43
2006-10-13,55,46.74
2006-10-20,49,47.89
2006-10-27,49,48.23
2006-11-03,49,48.02
2006-11-10,45,48.3
2006-11-17,45,47.99
2006-11-24,45,47.85
2006-12-01,31,48.22
2006-12-08,43,47.83
2006-12-15,34,48.67
2006-12-22,47,47.76
2006-12-29,53,48.07
2007-01-05,58,47.63
2007-01-12,43,47.36
2007-01-19,40,47.74
2007-01-26,34,48.1
2007-02-02,42,48.46
2007-02-09,45,49.03
2007-02-16,47,48.72
2007-02-23,40,49.33
2007-03-02,26,48.08
2007-03-09,27,48.4
2007-03-16,33,48.61
2007-03-23,37,50.42
2007-03-30,43,51.06
2007-04-13,30,51.79
2007-04-20,37,52
2007-04-27,29,51.8
2007-05-04,29,51.42
2007-05-11,34,50.97
2007-05-18,46,50.95
2007-05-25,37,48.12
2007-06-01,29,48.48
2007-06-08,46,46.59
2007-06-15,34,47.37
2007-06-22,24,45.2
2007-06-29,31,45.12
2007-07-06,37,45.21
2007-07-13,39,46.09
2007-07-20,42,45.37
2007-07-27,34,43.65
2007-08-03,34,43.87
2007-08-10,44,47.43
2007-08-17,44,45.96
2007-08-24,39,46.8
2007-08-31,30,45.94
2007-09-07,59,45.54
2007-09-14,59,46.26
2007-09-21,39,46.98
2007-09-28,64,46.3
2007-10-05,47,47.27
2007-10-12,55,46.77
2007-10-19,39,45.12
2007-10-26,48,46.67
2007-11-02,52,46.9
2007-11-09,42,46.33
2007-11-16,38,46.83
2007-11-23,49,48.45
2007-11-30,45,48.45
2007-12-07,54,49.49
2007-12-14,46,49.26
2007-12-21,58,48.64
2007-12-28,48,48.93
2008-01-04,54,47.92
2008-01-11,73,46.92
2008-01-18,63,44.6
2008-01-25,37,43.27
2008-02-01,55,44.38
2008-02-08,47,43.37
2008-02-15,59,42.4
2008-02-22,41,42.14
2008-02-29,42,40.89
2008-03-07,46,40.85
2008-03-14,58,40.67
2008-03-28,55,39.45
2008-04-04,49,41.59
2008-04-11,48,41.27
2008-04-18,57,41.52
2008-04-25,44,41.45
2008-05-02,47,42.49
2008-05-09,42,41.95
2008-05-16,55,41.65
