"Date","INTU","Price"
2005-12-16,16,53.19
2006-08-25,11,30.82
2006-10-20,10,35.27
2006-12-01,9,30.82
2006-12-08,10,30.85
2006-12-15,11,31.51
2007-01-26,8,31.12
2007-02-02,9,31.18
2007-02-09,9,31.44
2007-02-16,9,30.96
2007-02-23,11,31.28
2007-03-02,12,29.12
2007-03-09,9,28.22
2007-03-16,9,28.73
2007-03-23,10,27.39
2007-03-30,12,27.36
2007-04-13,14,28.63
2007-04-20,15,29.58
2007-04-27,12,29.11
2007-05-04,9,28.28
2007-05-11,9,27.89
2007-05-18,17,31.56
2007-05-25,10,30.28
2007-06-01,8,30.77
2007-06-08,8,29.5
2007-06-15,9,29.83
2007-06-22,11,29.84
2007-06-29,9,30.08
2007-07-06,8,29.56
2007-07-13,8,30.18
2007-07-20,9,30.04
2007-07-27,7,28.99
2007-08-03,7,28.1
2007-08-10,9,28.23
2007-08-17,12,28.65
2007-08-24,14,27.9
2007-08-31,9,27.31
2007-09-07,7,26.67
2007-09-14,9,28.46
2007-09-21,11,29.7
2007-09-28,9,30.3
2007-10-05,7,31.74
2007-10-12,9,32.7
2007-10-19,8,31.35
2007-10-26,8,31.33
2007-11-02,9,32.54
2007-11-09,10,29.73
2007-11-16,8,30.27
2007-11-23,8,29.17
2007-11-30,8,29.32
2007-12-07,9,29.71
2007-12-14,9,29.78
2007-12-21,8,31.69
2007-12-28,8,31.82
2008-01-04,9,30.13
2008-01-11,8,30.3
2008-01-18,9,30.59
2008-01-25,7,29.61
2008-02-01,12,31.16
2008-02-08,8,29.75
2008-02-15,8,30.38
2008-02-22,10,27.05
2008-02-29,7,26.56
2008-03-07,9,26.76
2008-03-14,7,25.52
2008-03-28,7,26.94
2008-04-04,8,28.26
2008-04-11,9,27.23
2008-04-18,5,29
2008-04-25,7,27.6
2008-05-02,8,28.18
2008-05-09,6,26.89
2008-05-16,6,27.78
2008-05-23,10,27.52
2008-05-30,10,28.96
2008-06-06,9,29.08
2008-06-13,6,29.4
2008-06-20,8,28.57
2008-06-27,9,28.11
2008-07-11,8,26.61
2008-07-18,8,28.01
2008-07-25,6,27.34
2008-08-01,7,27.44
2008-08-08,8,29.87
2008-08-15,9,30.57
2008-08-22,7,31.16
2008-08-29,13,30.07
2008-09-05,7,29.85
2008-09-12,9,30.44
2008-09-19,9,31.74
2008-09-26,10,31.94
2008-10-03,10,27.83
2008-10-10,12,25.05
2008-10-17,9,24.77
2008-10-24,9,22.81
2008-10-31,5,25.06
2008-11-07,8,24
2008-11-14,6,21.58
2008-11-21,8,22.6
2008-11-28,8,22.16
2008-12-05,6,23.35
2008-12-12,8,22.99
2008-12-19,5,23.25
2008-12-26,7,22.74
2009-01-02,8,24.4
2009-01-09,9,24.52
2009-01-16,8,24.01
2009-01-23,9,23.38
2009-01-30,10,22.65
2009-02-06,5,24.54
2009-02-13,6,22.97
2009-02-20,9,23.99
2009-02-27,4,22.79
2009-03-06,5,23.23
2009-03-13,10,25.34
2009-03-20,7,25.43
2009-03-27,8,26.83
2009-04-03,7,27.73
2009-04-17,7,25.58
2009-04-24,7,24.37
2009-05-01,6,22.99
2009-05-08,4,24.06
2009-05-15,4,23.98
2009-05-22,10,26.64
2009-05-29,7,27.22
2009-06-05,5,27.89
2009-06-12,6,28.64
2009-06-19,4,28.09
2009-06-26,4,28.35
2009-07-10,7,27.46
2009-07-17,5,27.95
2009-07-24,6,29.23
2009-07-31,8,29.7
2009-08-07,6,30.2
2009-08-14,9,30.39
2009-08-21,12,28.62
2009-08-28,8,28.13
2009-09-04,6,28.21
2009-09-11,7,27.84
2009-09-18,9,27.77
2009-09-25,8,27.65
2009-10-02,7,27.77
2009-10-09,5,28.66
2009-10-16,7,29.83
2009-10-23,5,29.87
2009-10-30,7,29.07
2009-11-06,5,29.69
2009-11-13,5,29.9
2009-11-20,6,29.66
2009-11-27,8,29.27
2009-12-04,8,29.75
2009-12-11,4,29.76
2009-12-18,4,30.47
2010-01-08,6,31.08
2010-01-15,9,31.46
2010-01-22,6,30.1
2010-01-29,5,29.61
2010-02-05,7,29.44
2010-02-12,6,29.39
2010-02-19,6,32.72
2010-02-26,5,32.36
2010-03-05,7,33.91
2010-03-12,7,34.61
2010-03-19,7,34.61
2010-03-26,8,34.24
