"Date","EFX","Price"
2004-02-06,81,26.1
2004-02-13,81,26.74
2004-02-20,65,26.42
2004-02-27,76,26.21
2004-03-05,67,26.92
2004-03-12,79,25.82
2004-03-19,63,26.08
2004-03-26,63,25.28
2004-04-02,75,26.24
2004-04-16,66,26.47
2004-04-23,61,25.76
2004-04-30,79,24.51
2004-05-07,61,24.25
2004-05-14,70,24.99
2004-05-21,64,24.2
2004-05-28,73,24.51
2004-06-04,65,24.65
2004-06-18,62,24.98
2004-06-25,86,25.28
2004-07-02,71,24.07
2004-07-09,72,23.25
2004-07-16,53,23.41
2004-07-23,69,23.93
2004-07-30,73,24.12
2004-08-06,63,23.71
2004-08-13,51,23.57
2004-08-20,74,25.1
2004-08-27,58,24.27
2004-09-03,60,24.77
2004-09-10,67,24.97
2004-09-17,58,25.58
2004-09-24,62,26.64
2004-10-01,64,26.74
2004-10-08,54,26.03
2004-10-15,40,25.9
2004-10-22,60,25.7
2004-10-29,45,26.15
2004-11-05,60,26.8
2004-11-12,47,27.29
2004-11-19,57,26.99
2004-11-26,56,28.24
2004-12-03,66,27.95
2004-12-10,62,27.73
2004-12-17,56,28.05
2004-12-31,48,28.1
2005-01-07,62,27.48
2005-01-14,72,27.53
2005-01-21,60,28
2005-01-28,59,27.93
2005-02-04,73,31.01
2005-02-11,69,31.15
2005-02-18,59,30.59
2005-02-25,56,30.42
2005-03-04,53,30.85
2005-03-11,60,30.51
2005-03-18,49,30.61
2005-04-01,61,30.49
2005-04-08,62,30.8
2005-04-15,42,30
2005-04-22,74,32.8
2005-04-29,60,33.65
2005-05-06,55,34.8
2005-05-13,63,35.51
2005-05-20,57,35.41
2005-05-27,47,35.19
2005-06-03,53,35.34
2005-06-10,44,34.2
2005-06-17,54,35.34
2005-06-24,52,34.9
2005-07-01,57,36.01
2005-07-08,54,36.26
2005-07-15,54,36.88
2005-07-22,47,36.47
2005-07-29,61,36.4
2005-08-05,61,35.75
2005-08-12,58,34.09
2005-08-19,50,33.68
2005-08-26,47,33.39
2005-09-02,55,33.45
2005-09-09,42,34.11
2005-09-16,39,34.6
2005-09-23,54,34.16
2005-09-30,50,34.94
2005-10-07,55,34.23
2005-10-14,42,34.3
2005-10-21,53,36.67
2005-10-28,45,35.54
2005-11-04,56,35.1
2005-11-11,53,36.66
2005-11-18,54,37.02
2005-11-25,43,38.24
2005-12-02,45,38.76
2005-12-09,56,38.54
2005-12-16,49,37.95
2005-12-23,43,38.21
2005-12-30,54,38.02
2006-01-06,67,38.1
2006-01-13,52,38.78
2006-01-20,51,38.73
2006-01-27,50,38.32
2006-02-03,49,38.2
2006-02-10,37,36.62
2006-02-17,51,36.95
2006-02-24,49,36.53
2006-03-03,59,36.81
2006-03-10,46,37.78
2006-03-17,48,38.14
2006-03-24,50,37.92
2006-03-31,41,37.24
2006-04-07,55,36.33
2006-04-21,58,38.24
2006-04-28,46,38.54
2006-05-05,50,38.18
2006-05-12,39,36.54
2006-05-19,47,35.94
2006-05-26,45,36.28
2006-06-02,40,36.1
2006-06-09,52,35.12
2006-06-16,41,34.88
2006-06-23,45,34.59
2006-06-30,43,34.34
2006-07-07,42,32.84
2006-07-14,40,32.31
2006-07-21,39,32.59
2006-07-28,49,32.89
2006-08-04,45,32.21
2006-08-11,46,31.29
2006-08-18,45,32.85
2006-08-25,40,31.5
2006-09-01,43,32.44
2006-09-08,37,36.34
2006-09-15,41,36.59
2006-09-22,42,36.13
2006-09-29,36,36.71
2006-10-06,44,36.27
2006-10-13,47,36.48
2006-10-20,47,36.6
2006-10-27,46,37.4
2006-11-03,46,37.44
2006-11-10,43,38.22
2006-11-17,44,38.48
2006-11-24,48,38.18
2006-12-01,44,37.96
2006-12-08,50,38.96
2006-12-15,46,41.18
2006-12-22,29,40.78
2006-12-29,49,40.6
2007-01-05,58,39.74
2007-01-12,51,40.05
2007-01-19,49,40.56
2007-01-26,47,40.05
2007-02-02,45,41.05
2007-02-09,45,41.6
2007-02-16,43,39.73
2007-02-23,44,39.53
2007-03-02,44,37.73
2007-03-09,39,37.26
2007-03-16,38,36.97
2007-03-23,39,37.76
2007-03-30,44,36.45
2007-04-13,46,37.62
2007-04-20,36,39.43
2007-04-27,46,40.12
2007-05-04,43,40.95
2007-05-11,44,41.15
2007-05-18,44,41.57
2007-05-25,47,41.23
2007-06-01,44,42.34
2007-06-08,42,44.01
2007-06-15,42,44.23
2007-06-22,40,43.95
2007-06-29,46,44.42
2007-07-06,34,45.11
2007-07-13,37,46
2007-07-20,38,44.98
2007-07-27,37,40.04
2007-08-03,40,39.48
2007-08-10,37,37.66
2007-08-17,38,38.78
2007-08-24,45,39.12
2007-08-31,44,38.52
2007-09-07,38,37.38
2007-09-14,37,36.89
2007-09-21,36,38.75
2007-09-28,39,38.12
2007-10-05,47,38.97
2007-10-12,41,37.37
2007-10-19,43,35.33
2007-10-26,41,37.65
2007-11-02,39,38.19
2007-11-09,41,38.47
2007-11-16,43,38.35
2007-11-23,40,37.17
2007-11-30,46,37.23
2007-12-07,48,38.05
2007-12-14,40,37.68
2007-12-21,39,36.95
2007-12-28,38,36.25
2008-01-04,38,34.31
2008-01-11,50,32.43
2008-01-18,38,32.68
2008-01-25,41,34.49
2008-02-01,47,37
2008-02-08,39,33.88
2008-02-15,45,34.97
2008-02-22,45,35.54
2008-02-29,39,34.22
2008-03-07,43,33.93
2008-03-14,36,33.67
2008-03-28,40,34.28
2008-04-04,35,35.74
2008-04-11,39,34.07
2008-04-18,34,36.13
2008-04-25,37,38.84
2008-05-02,39,39.12
2008-05-09,47,37.78
2008-05-16,39,38.23
2008-05-23,33,37.15
2008-05-30,37,38.16
2008-06-06,40,36.15
2008-06-13,36,36.41
2008-06-20,37,34.62
2008-06-27,46,33.68
2008-07-11,42,33.91
2008-07-18,41,35.02
2008-07-25,42,33.96
2008-08-01,37,35.36
2008-08-08,42,36.67
2008-08-15,40,37.13
2008-08-22,37,35
2008-08-29,42,35.33
2008-09-05,40,34.88
2008-09-12,36,36.81
2008-09-19,38,35.55
2008-09-26,35,35.22
2008-10-03,37,31.36
2008-10-10,43,26.49
2008-10-17,45,25.35
2008-10-24,43,23.37
2008-10-31,39,26.08
2008-11-07,38,25.32
2008-11-14,36,23.53
2008-11-21,37,21.21
2008-11-28,36,25.45
2008-12-05,42,23.38
2008-12-12,41,23.48
2008-12-19,39,25.56
2008-12-26,41,25.18
2009-01-02,42,27.65
2009-01-09,40,27.08
2009-01-16,44,25.32
2009-01-23,38,24.11
2009-01-30,40,24.72
2009-02-06,37,24.55
2009-02-13,38,23.2
2009-02-20,37,21.33
2009-02-27,39,21.5
2009-03-06,44,20.21
2009-03-13,40,21.44
2009-03-20,38,22.34
2009-03-27,36,24.68
2009-04-03,37,26.62
2009-04-17,40,27.29
2009-04-24,41,28.81
2009-05-01,40,28.9
2009-05-08,39,29.07
2009-05-15,35,27.57
2009-05-22,41,27.47
2009-05-29,34,27.22
2009-06-05,42,26.13
2009-06-12,41,27.29
2009-06-19,37,26.11
2009-06-26,33,26.07
2009-07-10,33,25.36
2009-07-17,38,25.71
2009-07-24,40,25.6
2009-07-31,40,26.05
2009-08-07,41,27.72
2009-08-14,44,27.36
2009-08-21,42,27.97
2009-08-28,43,27.61
2009-09-04,41,27.02
2009-09-11,36,27.4
2009-09-18,39,28.8
2009-09-25,45,28.61
2009-10-02,41,27.81
2009-10-09,42,28.26
2009-10-16,41,28.83
2009-10-23,50,28.9
2009-10-30,42,27.38
2009-11-06,43,28.5
2009-11-13,45,29.11
2009-11-20,48,28.78
2009-11-27,46,28.82
2009-12-04,41,29.98
2009-12-11,45,30.26
2009-12-18,47,30.45
2010-01-08,60,31.94
2010-01-15,51,31.74
2010-01-22,60,31.43
2010-01-29,57,32
2010-02-05,53,31.57
2010-02-12,61,31.44
2010-02-19,57,32
2010-02-26,56,32.26
2010-03-05,56,33.34
2010-03-12,55,33.51
2010-03-19,57,35.53
2010-03-26,55,36.09
2010-04-09,53,35.57
2010-04-16,52,34.83
2010-04-23,59,35.94
2010-04-30,53,33.6
2010-05-07,49,31.58
2010-05-14,48,32.36
2010-05-21,50,29.89
2010-05-28,51,30.25
2010-06-04,64,28.9
2010-06-11,58,29.68
2010-06-18,59,30.31
2010-06-25,56,28.94
2010-07-02,60,28.08
2010-07-09,65,28.95
2010-07-16,71,29.18
2010-07-23,82,30.47
2010-07-30,80,31.34
2010-08-06,81,31.73
2010-08-13,83,30.2
2010-08-20,100,30.13
2010-08-27,93,29.89
2010-09-03,90,30.33
2010-09-10,78,29.88
2010-09-17,80,30.01
2010-09-24,73,30.86
2010-10-01,71,31.11
2010-10-08,71,31.55
2010-10-15,60,32.1
2010-10-22,64,32.72
2010-10-29,60,33.13
2010-11-05,56,34.74
2010-11-12,60,34.31
2010-11-19,59,34.81
2010-11-26,56,34.93
2010-12-03,58,35.5
2010-12-10,64,35.36
2010-12-17,62,35.85
2010-12-31,64,35.6
2011-01-07,62,36.21
2011-01-14,58,36.87
2011-01-21,56,35.97
2011-01-28,54,35.48
2011-02-04,51,36.21
2011-02-11,50,36.41
2011-02-18,49,36.31
2011-02-25,50,35.2
2011-03-04,46,35.94
2011-03-11,46,36.86
2011-03-18,47,35.94
2011-03-25,43,37.63
2011-04-01,48,39.64
2011-04-08,50,38.13
2011-04-15,45,37.28
2011-04-29,50,37.53
2011-05-06,49,38.44
2011-05-13,48,37.61
2011-05-20,52,36.93
2011-05-27,48,37.16
2011-06-03,46,36.23
2011-06-10,48,34.87
2011-06-17,44,34.34
2011-06-24,43,33.65
2011-07-01,47,35.14
2011-07-08,45,34.94
2011-07-15,42,34.37
2011-07-22,48,34.46
2011-07-29,48,34.36
2011-08-05,48,31.87
2011-08-12,45,30.95
2011-08-19,46,28.79
2011-08-26,46,31.21
2011-09-02,47,31.02
2011-09-09,40,30.24
2011-09-16,37,32.3
2011-09-23,39,30.23
2011-09-30,40,30.74
2011-10-07,37,31.8
2011-10-14,34,34.05
2011-10-21,37,33.87
2011-10-28,39,35.52
2011-11-04,34,35.74
2011-11-11,37,36.16
2011-11-18,33,34.86
2011-11-25,32,33.56
2011-12-02,33,37.2
2011-12-09,34,38.02
2011-12-16,37,37.73
2011-12-23,34,39.09
2011-12-30,34,38.74
2012-01-06,37,38.94
2012-01-13,34,38.94
2012-01-20,35,39.54
2012-01-27,36,39.32
2012-02-03,43,39.64
2012-02-10,36,42.63
2012-02-17,35,42.63
2012-02-24,35,42.39
2012-03-02,36,41.84
2012-03-09,36,42.63
2012-03-16,34,43.95
2012-03-23,33,43.92
2012-03-30,33,44.26
2012-04-13,30,43.8
2012-04-20,34,44.45
2012-04-27,34,46.15
2012-05-04,37,45.71
2012-05-11,33,46.25
2012-05-18,31,44.5
2012-05-25,36,45.65
2012-06-01,32,43.34
2012-06-08,32,46.85
2012-06-15,33,47.43
2012-06-22,34,46.51
2012-06-29,34,46.6
2012-07-06,30,46.99
2012-07-13,38,48.77
2012-07-20,34,48.48
2012-07-27,30,47.06
2012-08-03,31,46.35
2012-08-10,32,45.89
2012-08-17,31,46.96
2012-08-24,32,47.07
2012-08-31,35,45.78
2012-09-07,32,46.84
2012-09-14,32,47.35
2012-09-21,33,46.99
2012-09-28,35,46.58
2012-10-05,29,49.2
2012-10-12,31,49.26
2012-10-19,31,50.43
2012-10-26,29,49.74
2012-11-02,29,50.08
2012-11-09,29,50.37
2012-11-16,29,50.3
2012-11-23,28,51.03
2012-11-30,31,51.24
2012-12-07,30,54.33
2012-12-14,29,53
2012-12-21,27,53.66
2012-12-28,28,53.36
2013-01-04,30,55.56
2013-01-11,28,56.18
2013-01-18,30,58.45
2013-01-25,31,58.87
2013-02-01,31,59.28
2013-02-08,31,55.56
2013-02-15,29,55.17
2013-02-22,30,54.15
2013-03-01,30,55.86
2013-03-08,26,56.82
2013-03-15,29,56.43
2013-03-22,30,56.41
2013-04-05,29,56.28
2013-04-12,30,58.95
2013-04-19,30,58.62
2013-04-26,28,61.33
2013-05-03,28,62.14
2013-05-10,34,63.81
2013-05-17,34,62.88
2013-05-24,27,61.21
2013-05-31,28,60.9
2013-06-07,26,60.35
2013-06-14,27,60.8
2013-06-21,27,58.45
2013-06-28,26,58.93
2013-07-05,27,59.54
2013-07-12,28,61.09
2013-07-19,29,61.44
2013-07-26,31,61.79
2013-08-02,26,65.19
2013-08-09,26,65.16
2013-08-16,28,62.32
2013-08-23,27,62.43
2013-08-30,25,59.09
2013-09-06,27,59.34
2013-09-13,25,59.95
2013-09-20,25,61.53
2013-09-27,23,59.81
2013-10-04,24,59.59
2013-10-11,24,60.9
2013-10-18,25,62.17
2013-10-25,22,65.52
2013-11-01,24,65.18
2013-11-08,25,64.7
2013-11-15,24,66.42
2013-11-22,24,67.85
2013-11-29,26,67.33
2013-12-06,25,68.31
2013-12-13,27,66.76
2013-12-20,25,67.69
2013-12-27,24,69.1
2014-01-03,26,68.9
2014-01-10,26,68.8
2014-01-17,27,70.73
2014-01-24,28,69.77
2014-01-31,26,70.06
2014-02-07,26,70.95
2014-02-14,26,69.8
2014-02-21,25,68.89
2014-02-28,29,70.06
2014-03-07,27,70.76
2014-03-14,25,71.03
2014-03-21,23,71.22
2014-03-28,21,68.19
2014-04-04,25,67.7
2014-04-11,24,65.04
2014-04-25,25,68.89
