"Date","SLB","Price"
2004-02-06,29,61.22
2004-02-13,30,64.03
2004-02-20,14,63.11
2004-02-27,25,64.49
2004-03-05,30,64.99
2004-03-12,20,62.5
2004-03-19,20,63.66
2004-03-26,29,61.47
2004-04-02,26,61.79
2004-04-16,16,64.15
2004-04-23,20,61.7
2004-04-30,26,58.53
2004-05-07,23,56.05
2004-05-14,21,57.3
2004-05-21,31,56.6
2004-05-28,23,57.17
2004-06-04,14,56.37
2004-06-18,20,62.02
2004-06-25,19,63.26
2004-07-02,20,63.58
2004-07-09,23,62.8
2004-07-16,14,64.91
2004-07-23,21,63.01
2004-07-30,23,64.32
2004-08-06,22,61.52
2004-08-13,22,60
2004-08-20,14,61.18
2004-08-27,13,62.27
2004-09-03,18,64.48
2004-09-10,24,64.31
2004-09-17,19,65.97
2004-09-24,23,66.64
2004-10-01,21,68.25
2004-10-08,25,69.2
2004-10-15,20,66.75
2004-10-22,25,65.79
2004-10-29,23,62.94
2004-11-05,20,63.66
2004-11-12,22,65.65
2004-11-19,24,66.1
2004-11-26,20,67.08
2004-12-03,21,63.47
2004-12-10,18,62.99
2004-12-17,22,65.57
2004-12-31,19,66.95
2005-01-07,23,63.53
2005-01-14,23,64.38
2005-01-21,31,64.65
2005-01-28,31,67.05
2005-02-04,34,70.6
2005-02-11,25,73.44
2005-02-18,25,73.53
2005-02-25,22,75.58
2005-03-04,26,78
2005-03-11,28,72.75
2005-03-18,23,71.79
2005-04-01,25,71.62
2005-04-08,27,69.92
2005-04-15,29,66.92
2005-04-22,31,70.92
2005-04-29,31,68.41
2005-05-06,38,69.1
2005-05-13,39,65.51
2005-05-20,64,65.97
2005-05-27,100,68.71
2005-06-03,41,71.12
2005-06-10,32,73.25
2005-06-17,37,76.45
2005-06-24,34,76.46
2005-07-01,32,76.61
2005-07-08,27,77.47
2005-07-15,33,75.81
2005-07-22,32,82.28
2005-07-29,36,83.74
2005-08-05,26,85.78
2005-08-12,30,86.02
2005-08-19,30,82.52
2005-08-26,31,82.08
2005-09-02,37,83.83
2005-09-09,29,85.2
2005-09-16,35,83.16
2005-09-23,30,82.95
2005-09-30,29,84.38
2005-10-07,33,79.87
2005-10-14,29,82.81
2005-10-21,33,80.01
2005-10-28,37,89.38
2005-11-04,35,92.2
2005-11-11,27,92.04
2005-11-18,29,95.05
2005-11-25,26,97.03
2005-12-02,26,98.99
2005-12-09,46,99.83
2005-12-16,28,99.92
2005-12-23,29,100.15
2005-12-30,36,97.15
2006-01-06,41,107.48
2006-01-13,42,107.28
2006-01-20,50,122.25
2006-01-27,37,127.37
2006-02-03,42,122.41
2006-02-10,44,119.3
2006-02-17,36,114.48
2006-02-24,38,118.39
2006-03-03,43,122.22
2006-03-10,66,116.87
2006-03-17,45,123.25
2006-03-24,39,122.18
2006-03-31,35,126.57
2006-04-07,42,129.05
2006-04-21,33,68.51
2006-04-28,36,69.14
2006-05-05,33,71.46
2006-05-12,32,68.85
2006-05-19,44,64.6
2006-05-26,38,65.27
2006-06-02,32,66.18
2006-06-09,30,59.22
2006-06-16,27,58.25
2006-06-23,27,58.9
2006-06-30,26,65.11
2006-07-07,31,62.75
2006-07-14,33,68.07
2006-07-21,31,61.45
2006-07-28,39,65.25
2006-08-04,32,65.15
2006-08-11,37,63.96
2006-08-18,31,64
2006-08-25,39,64.45
2006-09-01,34,61.84
2006-09-08,41,57.95
2006-09-15,38,56.28
2006-09-22,32,57.1
2006-09-29,31,62.03
2006-10-06,34,59.6
2006-10-13,30,58.79
2006-10-20,35,60.1
2006-10-27,34,62.81
2006-11-03,30,63.5
2006-11-10,33,63.3
2006-11-17,28,63.32
2006-11-24,32,65.36
2006-12-01,30,68.34
2006-12-08,30,66.52
