"Date","KORS","Price"
2011-12-16,34,24.1
2011-12-23,34,27
2011-12-30,38,27.25
2012-01-06,25,26
2012-01-13,23,26.56
2012-01-20,22,29.35
2012-01-27,22,29.85
2012-02-03,23,32.51
2012-02-10,24,33.47
2012-02-17,26,41.82
2012-02-24,24,41.51
2012-03-02,24,47.95
2012-03-09,24,49.59
2012-03-16,24,46.28
2012-03-23,24,47
2012-03-30,23,46.59
2012-04-13,24,43.62
2012-04-20,24,41.28
2012-04-27,26,45.9
2012-05-04,28,43.8
2012-05-11,29,40.62
2012-05-18,27,37.55
2012-05-25,25,41.2
2012-06-01,25,37.76
2012-06-08,25,38.37
2012-06-15,26,39.25
2012-06-22,26,42.86
2012-06-29,26,41.84
2012-07-06,25,43.54
2012-07-13,27,39.4
2012-07-20,28,39.98
2012-07-27,29,41.33
2012-08-03,29,41.19
2012-08-10,31,42.32
2012-08-17,32,52.09
2012-08-24,32,53.92
2012-08-31,31,53.95
2012-09-07,31,56.03
2012-09-14,31,53.59
2012-09-21,33,57.35
2012-09-28,31,53.18
2012-10-05,31,53.46
2012-10-12,31,52.98
2012-10-19,32,55.05
2012-10-26,31,54.49
2012-11-02,29,56.2
2012-11-09,33,50.43
2012-11-16,42,50.32
2012-11-23,50,51.47
2012-11-30,52,53.15
2012-12-07,51,51.6
2012-12-14,51,49.88
2012-12-21,55,53.49
2012-12-28,69,49.18
2013-01-04,45,52.23
2013-01-11,37,52.94
2013-01-18,34,54.48
2013-01-25,34,58.08
2013-02-01,35,55.72
2013-02-08,36,57.1
2013-02-15,39,63.27
2013-02-22,36,59.11
2013-03-01,35,59.23
2013-03-08,37,58.19
2013-03-15,38,57.38
2013-03-22,38,55.61
2013-04-05,37,54.98
2013-04-12,37,56
2013-04-19,37,53.08
2013-04-26,41,56.12
2013-05-03,42,58.04
2013-05-10,42,60.36
2013-05-17,40,60.61
2013-05-24,37,60.09
2013-05-31,37,62.82
2013-06-07,36,62.69
2013-06-14,37,60.8
2013-06-21,35,59.18
2013-06-28,36,62.02
2013-07-05,36,62.97
2013-07-12,37,63.82
2013-07-19,37,62.12
2013-07-26,38,64.83
2013-08-02,40,68.8
2013-08-09,42,72.05
2013-08-16,44,70.2
2013-08-23,42,72.57
2013-08-30,42,74.09
2013-09-06,45,75.7
2013-09-13,44,74.03
2013-09-20,46,75.98
2013-09-27,44,74.45
2013-10-04,43,76.35
2013-10-11,44,72.88
2013-10-18,45,75.24
2013-10-25,44,76.24
2013-11-01,45,75.43
2013-11-08,49,79.4
2013-11-15,55,82.73
2013-11-22,57,80.64
2013-11-29,73,81.55
2013-12-06,77,79.68
2013-12-13,75,82.27
2013-12-20,79,83.88
2013-12-27,100,80.58
2014-01-03,66,82.51
2014-01-10,54,79.8
2014-01-17,48,77.03
2014-01-24,47,80.07
2014-01-31,47,79.93
2014-02-07,49,94.22
2014-02-14,56,98.46
2014-02-21,52,97.56
2014-02-28,50,98.03
2014-03-07,49,98.28
2014-03-14,48,98.12
2014-03-21,49,97.46
2014-03-28,49,92.75
2014-04-04,46,89.54
2014-04-11,46,86.87
2014-04-25,49,89.88
