"Date","sell.D","Price"
2007-09-28,63,84.3
2007-10-05,61,87.07
2007-10-12,61,87.55
2007-10-19,61,85.99
2007-10-26,61,88.64
2007-11-02,61,90.69
2007-11-09,63,92.14
2007-11-16,66,91.3
2007-11-23,68,45.71
2007-11-30,70,47.23
2008-02-08,61,42.11
2008-02-15,53,42.67
2008-02-22,53,42.27
2008-02-29,68,39.94
2008-03-07,52,39.1
2008-03-14,54,39.57
2008-03-28,58,40.5
2008-04-04,60,43.21
2008-04-11,61,42.95
2008-04-18,52,44.19
2008-04-25,52,43.54
2008-05-02,55,45.59
2008-05-09,58,44.99
2008-05-16,61,45.97
2008-05-23,50,45.44
2008-05-30,50,46.3
2008-06-06,50,45.92
2008-06-13,57,46.13
2008-06-20,72,47.08
2008-06-27,57,46.2
2008-07-11,57,46.87
2008-07-18,58,44.47
2008-07-25,58,43.31
2008-08-01,58,42.59
2008-08-08,58,42.77
2008-08-15,59,42.55
2008-08-22,72,43.58
2008-08-29,84,43.53
2008-09-05,67,40.94
2008-09-12,50,43.11
2008-09-19,50,44.17
2008-09-26,50,43.4
2008-10-03,50,41.88
2008-10-10,54,33.67
2008-10-17,58,35.95
2008-10-24,47,35.14
2008-10-31,47,36.28
2008-11-07,54,35.83
2008-11-14,47,36.39
2008-11-21,51,36.93
2008-11-28,43,36.82
2008-12-05,55,35.23
2008-12-12,44,34.6
2008-12-19,45,34.98
2008-12-26,47,34.9
2009-01-02,48,36.54
2009-01-09,50,35.11
2009-01-16,61,34.6
2009-01-23,72,35
2009-01-30,41,35.18
2009-02-06,40,36.93
2009-02-13,51,34.54
2009-02-20,59,31.69
2009-02-27,59,30.18
2009-03-06,58,28.12
2009-03-13,54,29.53
2009-03-20,43,30.99
2009-03-27,43,31.07
2009-04-03,43,30.44
2009-04-17,40,29.94
2009-04-24,43,29.29
2009-05-01,47,31.09
2009-05-08,50,31.87
2009-05-15,49,30.52
2009-05-22,37,30.81
2009-05-29,68,31.79
2009-06-05,41,32.02
2009-06-12,52,33.39
2009-06-19,37,32.72
2009-06-26,44,33.39
2009-07-10,46,32.45
2009-07-17,46,32.87
2009-07-24,76,34.59
2009-07-31,42,33.8
2009-08-07,50,33.6
2009-08-14,57,33.56
2009-08-21,57,34.22
2009-08-28,49,33.22
2009-09-04,49,33
2009-09-11,63,32.79
2009-09-18,42,34.33
2009-09-25,49,34.19
2009-10-02,44,33.49
2009-10-09,51,34.7
2009-10-16,57,34.52
2009-10-23,46,35.17
2009-10-30,39,34.09
2009-11-06,46,35.97
2009-11-13,70,36.26
2009-11-20,45,36.37
2009-11-27,46,36.14
2009-12-04,47,37.75
2009-12-11,51,39.08
2009-12-18,45,39.13
2010-01-08,56,38.56
2010-01-15,30,38.85
2010-01-22,63,37.8
2010-01-29,50,37.46
2010-02-05,47,36.75
2010-02-12,54,37.14
2010-02-19,56,39.17
2010-02-26,58,37.99
2010-03-05,47,39.11
2010-03-12,67,39.69
2010-03-19,41,40.7
2010-03-26,56,40.6
2010-04-09,55,41.59
2010-04-16,55,41.18
2010-04-23,69,41.77
2010-04-30,65,41.8
2010-05-07,47,40.22
2010-05-14,42,40.99
2010-05-21,54,39.53
2010-05-28,52,38.96
2010-06-04,52,39.01
2010-06-11,39,40.6
2010-06-18,46,42
2010-06-25,58,40.17
2010-07-02,39,38.67
2010-07-09,46,40.9
2010-07-16,48,40.43
2010-07-23,37,42.41
2010-07-30,63,41.99
2010-08-06,72,43.67
2010-08-13,37,43.91
2010-08-20,57,43.93
2010-08-27,46,43.42
2010-09-03,35,43.99
2010-09-10,51,43.29
2010-09-17,68,43.42
2010-09-24,46,44.23
2010-10-01,46,44.03
2010-10-08,38,44.68
2010-10-15,38,44.54
2010-10-22,45,44.51
2010-10-29,45,43.46
2010-11-05,69,43.5
2010-11-12,66,42.86
2010-11-19,61,42.76
2010-11-26,56,41.84
2010-12-03,50,42.42
2010-12-10,70,41.62
2010-12-17,51,42.57
2010-12-31,38,42.72
2011-01-07,68,43.23
2011-01-14,71,42.98
2011-01-21,70,43.35
2011-01-28,72,43.39
2011-02-04,71,43.61
2011-02-11,96,44.12
2011-02-18,48,44.37
2011-02-25,70,45
2011-03-04,50,45.54
2011-03-11,33,45.51
2011-03-18,73,43.78
2011-03-25,57,44.54
2011-04-01,61,44.7
2011-04-08,74,44.82
2011-04-15,53,44.47
2011-04-29,80,46.42
2011-05-06,53,46.92
2011-05-13,70,47.99
2011-05-20,57,48.28
2011-05-27,81,47.23
2011-06-03,68,47.15
2011-06-10,69,47.53
2011-06-17,39,47.66
2011-06-24,75,47.25
2011-07-01,62,48.99
2011-07-08,49,48.63
2011-07-15,47,48.46
2011-07-22,59,49.78
2011-07-29,75,48.45
2011-08-05,46,48.59
2011-08-12,80,47.71
2011-08-19,62,47.99
2011-08-26,67,48.46
2011-09-02,68,47.98
2011-09-09,70,47.19
2011-09-16,54,49.84
2011-09-23,65,49.99
2011-09-30,65,50.77
2011-10-07,72,50.27
2011-10-14,76,50.49
2011-10-21,45,52.07
2011-10-28,37,51.37
2011-11-04,46,51.56
2011-11-11,91,52.06
2011-11-18,79,51.04
2011-11-25,52,49.51
2011-12-02,60,50.56
2011-12-09,61,50.77
2011-12-16,66,50.65
2011-12-23,53,52.95
2011-12-30,45,53.08
2012-01-06,75,51.43
2012-01-13,46,50.6
2012-01-20,72,50.57
2012-01-27,77,49.56
2012-02-03,56,50.38
2012-02-10,81,49.91
2012-02-17,72,50.57
2012-02-24,57,51.32
2012-03-02,58,50.52
2012-03-09,49,50.76
2012-03-16,56,50.32
2012-03-23,59,50.28
2012-03-30,79,51.21
2012-04-13,75,50.28
2012-04-20,72,51.02
2012-04-27,60,52.07
2012-05-04,68,51.99
2012-05-11,59,52.22
2012-05-18,68,52.29
2012-05-25,61,52.55
2012-06-01,83,51.63
2012-06-08,74,53.23
2012-06-15,96,53.78
2012-06-22,63,53.61
2012-06-29,37,54
2012-07-06,64,53.83
2012-07-13,80,54.19
2012-07-20,78,53.96
2012-07-27,61,54.97
2012-08-03,83,54.41
2012-08-10,61,53.72
2012-08-17,67,53.92
2012-08-24,97,53.49
2012-08-31,59,52.48
2012-09-07,100,53.16
2012-09-14,59,52.82
2012-09-21,51,52.7
2012-09-28,63,52.94
2012-10-05,53,53.26
2012-10-12,64,52.68
2012-10-19,54,53.51
2012-10-26,66,52.07
2012-11-02,60,51.7
2012-11-09,59,49.33
2012-11-16,66,50.15
2012-11-23,49,50.12
2012-11-30,66,51.11
2012-12-07,61,51.69
2012-12-14,69,51.19
2012-12-21,66,51.94
2012-12-28,35,51.08
2013-01-04,82,53.54
2013-01-11,77,52.43
2013-01-18,55,52.92
2013-01-25,70,53.88
2013-02-01,88,54.17
2013-02-08,69,54.31
2013-02-15,59,54.92
2013-02-22,59,56.38
2013-03-01,56,56.42
2013-03-08,62,55.87
2013-03-15,72,56.79
2013-03-22,62,56.77
2013-04-05,55,59.63
2013-04-12,76,60.12
2013-04-19,67,61.07
2013-04-26,59,61.01
2013-05-03,73,60.91
2013-05-10,56,59.75
2013-05-17,56,61.17
2013-05-24,65,57.62
2013-05-31,69,56.55
2013-06-07,48,55.64
2013-06-14,59,56.04
2013-06-21,61,55.01
2013-06-28,58,56.82
2013-07-05,65,56.25
2013-07-12,60,58.8
2013-07-19,63,59.68
2013-07-26,67,59.52
2013-08-02,73,59.43
2013-08-09,66,60.33
2013-08-16,65,57.44
2013-08-23,69,58.86
2013-08-30,61,58.35
2013-09-06,60,57.53
2013-09-13,58,61.28
2013-09-20,60,62.27
2013-09-27,58,62.43
2013-10-04,53,62.22
2013-10-11,40,62.95
2013-10-18,68,63.68
2013-10-25,48,64.66
2013-11-01,41,64.09
2013-11-08,48,65.41
2013-11-15,52,67.52
2013-11-22,74,66.62
2013-11-29,72,64.91
2013-12-06,56,64.42
2013-12-13,63,63.58
2013-12-20,71,64.55
2013-12-27,70,64.41
2014-01-03,75,63.51
2014-01-10,60,67.78
2014-01-17,69,66.29
2014-01-24,63,65.93
2014-01-31,63,67.91
2014-02-07,70,66.93
2014-02-14,68,71.11
2014-02-21,64,71.39
2014-02-28,61,69.4
2014-03-07,58,68.44
2014-03-14,68,69.89
2014-03-21,65,70.06
2014-03-28,55,71.09
2014-04-04,62,69.62
2014-04-11,78,69.42
2014-04-25,62,72.33
