"Date","buy.BK","Price"
2008-12-19,77,26.28
2010-07-23,51,25.82
2010-07-30,56,25.07
2010-08-06,62,25.73
2010-09-17,47,25.43
2010-09-24,48,26.13
2010-10-01,49,26.34
2010-10-08,45,26.54
2010-10-15,45,25.84
2010-10-22,58,25.27
2010-10-29,66,25.06
2010-11-05,44,28.17
2010-11-12,44,27.49
2010-11-19,43,27.76
2010-11-26,43,27.14
2010-12-03,43,28
2010-12-10,43,28.95
2010-12-17,48,29.39
2010-12-31,64,30.2
2011-01-07,47,30.76
2011-01-14,48,32.37
2011-01-21,48,31.95
2011-03-04,54,30.06
2011-03-11,74,28.96
2011-03-18,50,28.88
2011-03-25,50,29.45
2011-04-01,43,30.27
2011-04-08,44,30.22
2011-04-15,45,29.72
2011-04-29,39,28.96
2011-05-06,39,28.59
2011-05-13,40,28.07
2011-05-20,42,28.19
2011-05-27,43,27.72
2011-06-03,44,26.9
2011-06-10,45,26.27
2011-06-17,45,26.2
2011-06-24,46,24.64
2011-07-01,47,26.06
2011-07-08,43,25.8
2011-07-15,43,25.1
2011-07-22,43,25.76
2011-07-29,70,25.11
2011-08-05,43,22.79
2011-08-12,42,19.99
2011-08-19,42,18.95
2011-08-26,52,20.21
2011-09-02,39,19.95
2011-09-09,39,19.92
2011-09-16,39,21.14
2011-09-23,42,18.52
2011-09-30,53,18.59
2011-10-07,42,17.83
2011-10-14,44,18.97
2011-10-21,46,20.7
2011-10-28,48,22.41
2011-11-04,34,20.99
2011-11-11,34,21.51
2011-11-18,37,18.92
2011-11-25,54,17.7
2011-12-02,43,19.29
2011-12-09,36,19.6
2011-12-16,37,19.12
2011-12-23,59,20.08
2011-12-30,100,19.91
2012-01-06,60,20.45
2012-01-13,60,21.45
2012-01-20,56,21.28
2012-01-27,78,20.23
2012-02-03,43,21.94
2012-02-10,55,21.42
2012-02-17,49,22.01
2012-02-24,52,21.67
2012-03-02,41,22.3
2012-03-09,50,22.42
2012-03-16,49,24.14
2012-05-04,34,23.07
2012-05-11,36,22.09
2012-05-18,39,20.24
2012-05-25,43,20.64
2012-06-01,42,19.65
2012-06-08,42,20.5
2012-06-15,42,21.09
2012-06-22,42,21.2
2012-06-29,40,21.95
2012-07-06,40,21.79
2012-07-13,36,21.77
2012-07-20,46,20.77
2012-07-27,46,21.39
2012-08-03,31,21.75
2012-08-10,34,22.25
2012-08-17,56,22.73
2012-08-24,30,22.43
2012-08-31,30,22.54
2012-09-07,33,22.92
2012-09-14,31,23.62
2012-09-21,31,23.3
2012-09-28,31,22.62
2012-10-05,37,23.42
2012-10-12,39,22.84
2012-10-19,44,24.68
2012-10-26,27,24.37
2012-11-02,27,24.53
2012-11-09,27,24.11
2012-11-16,36,23.64
2012-11-23,44,24.43
2012-11-30,34,23.94
2012-12-07,26,24.22
2012-12-14,37,24.72
2012-12-21,38,25.8
2012-12-28,38,25.42
2013-01-04,39,27.29
2013-01-11,40,26.78
2013-01-18,40,26.53
2013-01-25,68,27.08
2013-02-01,65,27.35
2013-02-08,43,27.9
2013-02-15,43,27.99
2013-02-22,27,27.63
2013-03-01,37,27.2
2013-03-08,26,28.52
2013-03-15,26,28.85
2013-03-22,26,28.27
2013-04-05,30,27.36
2013-04-12,32,28.45
2013-04-19,32,26.99
2013-04-26,34,27.89
2013-05-03,34,28.38
2013-05-10,35,28.29
2013-05-17,24,30.44
2013-05-24,24,29.51
2013-05-31,24,30.06
2013-06-07,24,29.85
2013-06-14,27,29.13
2013-06-21,24,28.45
2013-06-28,27,28.05
2013-07-05,28,29.26
2013-07-12,29,30.06
2013-07-19,31,31.77
2013-07-26,33,31.76
2013-08-02,35,31.8
2013-08-09,33,30.97
2013-08-16,28,30.57
2013-08-23,27,30.85
2013-08-30,29,29.74
2013-09-06,45,30.46
2013-09-13,28,31.11
2013-09-20,29,30.85
2013-09-27,31,30.24
2013-10-04,32,30.5
2013-10-11,30,30.77
2013-10-18,26,31.48
2013-10-25,29,31.83
2013-11-01,32,32.36
2013-11-08,34,33.15
2013-11-15,30,33.42
2013-11-22,40,33.63
2013-11-29,36,33.7
2013-12-06,33,33.62
2013-12-13,32,32.91
2013-12-20,35,33.88
2013-12-27,28,34.5
2014-01-03,44,34.96
2014-01-10,29,34.23
2014-01-17,37,32.7
2014-01-24,21,32.34
2014-01-31,30,31.96
2014-02-07,31,31.79
2014-02-14,32,31.79
2014-02-21,21,31.35
2014-02-28,28,32
2014-03-07,25,33.51
2014-03-14,25,33.13
2014-03-21,23,35.25
2014-03-28,36,35.1
2014-04-04,21,34.6
2014-04-11,25,33.12
2014-04-25,31,33.6
