"Date","Ball.Corp","Price"
2005-10-21,56,35.75
2005-10-28,60,39.6
2005-11-04,65,39.15
2005-11-11,69,39.1
2006-01-20,48,40.43
2006-01-27,38,40.25
2006-02-03,38,39.56
2006-02-10,38,40.23
2006-02-17,38,41.65
2006-05-26,36,37.15
2006-07-14,37,35.71
2006-09-08,50,40
2006-09-15,32,41.03
2006-09-22,31,40.4
2006-09-29,33,40.45
2006-10-06,34,41.41
2006-10-13,50,42.58
2006-10-20,33,41.55
2006-10-27,33,41.26
2006-11-03,54,41.51
2006-11-10,52,42.08
2006-11-17,31,42
2007-01-12,40,45.33
2007-01-19,26,46
2007-05-04,31,51.84
2007-05-11,22,53.04
2007-05-18,22,54.98
2007-05-25,22,54.27
2007-06-01,22,55.64
2007-06-08,22,53.56
2007-06-15,27,54.7
2007-06-22,31,54.02
2007-06-29,22,53.17
2007-07-06,22,54.29
2007-07-13,22,54.4
2007-07-20,24,53.14
2007-07-27,26,50.92
2007-08-03,22,50.59
2007-08-10,27,51.93
2007-08-17,31,50.54
2007-08-24,23,52.8
2007-08-31,27,52.38
2007-09-07,30,52.02
2007-09-14,34,51.93
2007-09-21,24,54.72
2007-09-28,25,53.75
2007-10-05,27,55.71
2007-10-12,29,52.19
2007-10-19,39,52.84
2007-10-26,39,49.69
2007-11-02,38,48.76
2007-11-09,52,46.15
2007-11-16,35,45.73
2007-11-23,25,45.47
2007-11-30,25,46.25
2008-01-18,19,42.03
2008-01-25,30,41.56
2008-02-01,18,46.39
2008-02-08,18,44.37
2008-02-15,18,45.13
2008-02-22,18,45.78
2008-02-29,16,44.1
2008-03-07,16,43.71
2008-03-14,16,43.25
2008-03-28,19,45.14
2008-04-04,19,48.35
2008-04-11,17,46.04
2008-04-18,25,51.75
2008-04-25,29,54.17
2008-05-02,21,53.93
2008-05-09,21,53.79
2008-05-16,24,55.62
2008-05-23,17,52.99
2008-05-30,24,54.3
2008-06-06,18,52.08
2008-06-13,19,52.59
2008-06-20,19,51.72
2008-06-27,20,47.68
2008-07-11,16,45.93
2008-07-18,16,50.53
2008-07-25,16,45.18
2008-08-01,16,44.66
2008-08-08,29,44.93
2008-08-15,21,45.43
2008-08-22,25,45.48
2008-08-29,15,45.92
2008-09-05,15,44.01
2008-09-12,24,45.15
2008-09-19,26,42.31
2008-09-26,32,42.75
2008-10-03,20,35.82
2008-10-10,32,31.17
2008-10-17,33,32.26
2008-10-24,31,29.7
2008-10-31,33,34.2
2008-11-07,36,34.63
2008-11-14,27,32.77
2008-11-21,22,30.18
2008-11-28,16,36.45
2008-12-05,13,34.94
2008-12-12,18,40.06
2008-12-19,17,41.31
2008-12-26,18,40.43
2009-01-02,18,42.79
2009-01-09,18,40.99
2009-01-16,18,39.24
2009-01-23,16,38.57
2009-01-30,12,38.34
2009-02-06,17,41.23
2009-02-13,15,41.75
2009-02-20,15,40.04
2009-02-27,17,40.29
2009-03-06,18,37.24
2009-03-13,19,39.81
2009-03-20,16,41.39
2009-03-27,16,43.37
2009-04-03,14,44.18
2009-04-17,16,43.15
2009-04-24,21,40.32
2009-05-01,16,38
2009-05-08,16,38.81
2009-05-15,16,39.21
2009-05-22,17,38.89
2009-05-29,17,39.8
2009-06-05,15,43.64
2009-06-12,17,43
2009-06-19,11,41.91
2009-06-26,20,42.89
2009-07-10,12,45.56
2009-07-17,15,46.96
2009-07-24,15,49.52
2009-07-31,17,48.36
2009-08-07,17,47.25
2009-08-14,18,50.58
2009-08-21,17,50.08
2009-08-28,16,48.76
2009-09-04,16,48.4
2009-09-11,18,49
2009-09-18,21,50.93
2009-09-25,24,48.94
2009-10-02,27,48.86
2009-10-09,34,51.56
2009-10-16,26,51.32
2009-10-23,27,50.16
2009-10-30,26,49.33
2009-11-06,30,49.5
2009-11-13,38,50.12
2009-11-20,23,50.39
2009-11-27,16,49.85
2009-12-04,16,49.2
2009-12-11,12,51.49
2009-12-18,12,51.26
2010-01-08,17,52.07
2010-01-15,14,51.41
2010-01-22,12,50.85
2010-01-29,11,50.79
2010-02-05,17,50.55
2010-02-12,11,51.39
2010-02-19,15,52.63
2010-02-26,12,54.04
2010-03-05,15,54.9
2010-03-12,14,54.45
2010-03-19,14,54.2
2010-03-26,13,54
2010-04-09,15,54.37
2010-04-16,11,54.32
2010-04-23,14,55.37
2010-04-30,20,53.21
2010-05-07,9,49.49
2010-05-14,9,50.91
2010-05-21,13,50.03
2010-05-28,9,49.25
2010-06-04,9,51.15
2010-06-11,10,52.35
2010-06-18,29,55.14
2010-06-25,18,53.85
2010-07-02,15,51.79
2010-07-09,14,54.31
2010-07-16,12,53.95
2010-07-23,16,57.2
2010-07-30,20,58.24
2010-08-06,12,58.46
2010-08-13,18,57.17
2010-08-20,18,57.14
2010-08-27,14,56.49
2010-09-03,16,59.08
2010-09-10,19,59.4
2010-09-17,26,59.97
2010-09-24,14,60.21
2010-10-01,15,59.39
2010-10-08,24,60.12
2010-10-15,22,62.18
2010-10-22,26,61.38
2010-10-29,35,64.36
2010-11-05,39,66.06
2010-11-12,43,64.88
2010-11-19,31,65.45
2010-11-26,15,64.87
2010-12-03,15,68.85
2010-12-10,10,67.98
2010-12-17,11,68.5
2010-12-31,20,68.05
2011-01-07,9,70.08
2011-01-14,13,69.81
2011-01-21,10,69.54
