"Date","sell.NE","Price"
2009-01-16,78,21.61
2009-03-13,73,24.37
2009-05-15,65,27.92
2009-08-28,69,35.88
2009-10-09,76,40.44
2009-10-16,72,42.54
2009-10-23,72,43.81
2009-10-30,72,40.74
2009-11-06,72,42.34
2009-11-13,88,43.28
2009-11-20,61,40.02
2009-11-27,57,41.21
2009-12-04,70,39.95
2009-12-11,83,40.4
2009-12-18,90,41.09
2010-01-08,81,44.87
2010-01-15,63,43.73
2010-01-22,57,41.59
2010-01-29,55,40.32
2010-02-05,56,39.73
2010-02-12,57,40.69
2010-02-19,58,42.77
2010-02-26,59,42.26
2010-03-05,60,44.25
2010-03-12,65,43.5
2010-03-19,60,41.32
2010-03-26,91,39.59
2010-04-09,74,41.64
2010-04-16,100,40.38
2010-04-23,60,43.63
2010-04-30,51,39.49
2010-05-07,62,35.78
2010-05-14,57,34.64
2010-05-21,72,32.42
2010-05-28,57,29.07
2010-06-04,57,27.56
2010-06-11,57,29.78
2010-06-18,59,31.56
2010-06-25,61,29.28
2010-07-02,63,32.33
2010-07-09,65,31.67
2010-07-16,54,30.36
2010-07-23,60,31.81
2010-07-30,66,32.5
2010-08-06,72,34.43
2010-08-13,78,32.6
2010-08-20,78,31.5
2010-08-27,57,31.85
2010-09-03,55,32.7
2010-09-10,65,34.86
2010-09-17,53,35.08
2010-09-24,53,34.23
2010-10-01,44,33.5
2010-10-08,52,34.12
2010-10-15,52,35.9
2010-10-22,51,34.17
2010-10-29,51,34.53
2010-11-05,51,36.34
2010-11-12,65,36.9
2010-11-19,80,36.13
2010-11-26,79,34.39
2010-12-03,54,33.59
2010-12-10,54,34.67
2010-12-17,51,35.1
2010-12-31,100,35.77
2011-01-07,40,36.76
2011-01-14,40,38.09
2011-01-21,51,37.64
2011-01-28,62,37.34
2011-02-04,37,37.6
2011-02-11,54,38.91
2011-02-18,38,42.07
2011-02-25,60,44.19
2011-03-04,53,44.84
2011-03-11,53,44.1
2011-03-18,72,43.33
2011-03-25,60,45.14
2011-04-01,60,45.29
2011-04-08,57,45.6
2011-04-15,38,42.77
2011-04-29,67,43.01
2011-05-06,50,39.46
2011-05-13,42,39.59
2011-05-20,41,41
2011-05-27,42,41.55
2011-06-03,39,40.77
2011-06-10,37,38.63
2011-06-17,67,37.6
2011-06-24,56,37.71
2011-07-01,46,39.67
2011-07-08,57,37.34
2011-07-15,77,37.39
2011-07-22,45,38.07
2011-07-29,49,36.87
2011-08-05,56,31.13
2011-08-12,63,31.3
2011-08-19,45,29.66
2011-08-26,50,31.78
2011-09-02,56,32.66
2011-09-09,38,33.84
2011-09-16,38,35.37
2011-09-23,38,31.24
2011-09-30,37,29.35
2011-10-07,40,29.56
2011-10-14,52,31.48
2011-10-21,44,34.75
2011-10-28,57,37.55
2011-11-04,49,37.79
2011-11-11,62,37.59
2011-11-18,39,35.07
2011-11-25,52,32.46
2011-12-02,61,34.65
