"Date","sell.R","Price"
2005-10-14,68,33.54
2005-10-21,69,33.02
2005-10-28,71,38.26
2005-11-04,73,41.42
2005-11-11,78,43.36
2005-11-18,84,43.63
2005-11-25,89,43.5
2005-12-02,95,42.21
2005-12-09,100,40.73
2006-01-27,57,44.75
2006-05-05,54,54.47
2006-09-08,47,48.97
2006-11-17,40,54.21
2006-11-24,54,53.79
2006-12-01,43,51.7
2006-12-08,52,50.96
2006-12-15,43,51.38
2006-12-22,43,51
2006-12-29,72,51.06
2007-01-05,37,52.62
2007-01-12,37,52.64
2007-01-19,40,53.53
2007-01-26,43,52.92
2007-02-02,46,53.76
2007-02-09,49,52.16
2007-02-16,50,53.98
2007-02-23,42,54.8
2007-03-02,42,50.36
2007-03-09,42,50.24
2007-04-20,37,52.56
2007-04-27,44,53.82
2007-05-04,41,52.37
2007-06-15,34,52.3
2007-06-22,35,54.18
2007-08-10,41,53.93
2007-08-17,41,53.41
2007-08-24,42,54.26
2007-08-31,36,54.75
2007-09-07,32,52.29
2007-09-14,34,50.41
2007-09-21,28,49.86
2007-09-28,37,49
2007-10-05,47,49.25
2007-10-12,44,47.84
2007-10-19,43,46.71
2007-10-26,47,47.39
2007-11-02,35,47.96
2007-11-09,39,45.71
2007-11-16,55,43.54
2007-11-23,34,39.9
2007-11-30,37,43.36
2007-12-07,45,48.3
2007-12-14,52,46.44
2007-12-21,51,46.79
2007-12-28,29,47.51
2008-01-04,29,42.11
2008-01-11,25,43.24
2008-01-18,25,46.55
2008-01-25,26,48.71
2008-02-01,38,55.24
2008-02-08,34,58.41
2008-02-15,40,58.94
2008-02-22,51,58.79
2008-02-29,46,57.61
2008-03-07,38,55.51
2008-03-14,27,59.59
2008-03-28,27,60.83
2008-04-04,45,62.96
2008-04-11,38,60.61
2008-04-18,25,67.12
2008-04-25,50,67.61
2008-05-02,28,71.6
2008-05-09,34,70.88
2008-05-16,27,75.43
2008-05-23,35,70.31
2008-05-30,42,73.43
2008-06-06,39,70.12
2008-06-13,22,68.53
2008-06-20,43,72.37
2008-06-27,43,69.82
2008-07-11,34,65.81
2008-07-18,39,71.09
2008-07-25,51,64.12
2008-08-01,48,66.15
2008-08-08,34,69.59
2008-08-15,37,70.63
2008-08-22,36,69.13
2008-08-29,34,64.52
2008-09-05,33,62.6
2008-09-12,28,66.41
2008-09-19,35,68.2
2008-09-26,48,60.98
2008-10-03,61,54.22
2008-10-10,32,49.52
2008-10-17,35,44.09
2008-10-24,31,37.17
2008-10-31,36,39.62
2008-11-07,28,38.66
2008-11-14,43,36.91
2008-11-21,32,30.59
2008-11-28,64,35.91
2008-12-05,50,35.32
2008-12-12,46,33.58
2008-12-19,64,36.74
2008-12-26,53,35.98
2009-01-02,45,40.42
2009-01-09,42,38.2
2009-01-16,46,34.75
2009-01-23,35,32.91
2009-01-30,28,33.78
2009-02-06,36,34.04
2009-02-13,43,30.44
2009-02-20,38,26.1
2009-02-27,31,22.86
2009-03-06,29,19.41
2009-03-13,34,23.64
2009-03-20,56,25.2
2009-03-27,43,28.36
2009-04-03,54,31.49
2009-04-17,50,25.3
2009-04-24,37,26.89
2009-05-01,22,28.7
2009-05-08,20,29.94
2009-05-15,39,26.16
2009-05-22,42,26.08
2009-05-29,28,28.18
2009-06-05,29,29.58
2009-06-12,35,30.39
2009-06-19,39,29.34
2009-06-26,38,28.36
2009-07-10,45,25.17
2009-07-17,37,27.11
2009-07-24,37,32.25
2009-07-31,47,35.13
2009-08-07,45,38.79
2009-08-14,42,39.25
2009-08-21,28,39.9
2009-08-28,41,39.09
2009-09-04,40,38.12
2009-09-11,34,42.51
2009-09-18,48,41.19
2009-09-25,48,38.7
2009-10-02,37,36.53
2009-10-09,40,38.67
2009-10-16,35,44.75
2009-10-23,46,44.49
2009-10-30,48,40.55
2009-11-06,46,42.26
2009-11-13,67,43.34
2009-11-20,46,41.16
2009-11-27,45,40.6
2009-12-04,54,42.53
2009-12-11,58,41.7
2009-12-18,74,43.06
2010-01-08,49,40.34
2010-01-15,41,39.88
2010-01-22,42,37.43
2010-01-29,45,36.4
2010-02-05,40,33.14
2010-02-12,39,34.15
2010-02-19,36,34.85
2010-02-26,40,35.29
2010-03-05,53,35.91
2010-03-12,32,36.8
2010-03-19,34,38.69
2010-03-26,36,38.56
2010-04-09,29,42.44
2010-04-16,32,43.35
2010-04-23,43,47.35
2010-04-30,32,46.52
2010-05-07,36,42.46
2010-05-14,28,44.99
2010-05-21,57,43.48
2010-05-28,46,44.94
2010-06-04,55,41.67
2010-06-11,34,43.89
2010-06-18,23,44.49
2010-06-25,37,42.55
2010-07-02,49,38.84
2010-07-09,49,41.12
2010-07-16,54,39.83
2010-07-23,58,43.25
2010-07-30,51,43.67
2010-08-06,63,43.52
2010-08-13,40,40.33
2010-08-20,50,39.32
2010-08-27,41,39.2
2010-09-03,58,40.99
2010-09-10,54,41.57
2010-09-17,46,42.1
2010-09-24,31,43.26
2010-10-01,55,42.51
2010-10-08,36,43.82
2010-10-15,47,45.38
2010-10-22,65,44.87
2010-10-29,54,43.75
2010-11-05,61,45.23
2010-11-12,62,43.53
2010-11-19,53,43.81
2010-11-26,60,43.88
2010-12-03,63,45.2
2010-12-10,70,47.67
2010-12-17,73,50.62
2010-12-31,59,52.64
2011-01-07,53,51.91
2011-01-14,38,51.43
2011-01-21,50,49.49
2011-01-28,49,47.73
2011-02-04,36,50.39
2011-02-11,51,49.31
2011-02-18,40,49.41
2011-02-25,47,47.47
2011-03-04,38,48.06
2011-03-11,43,47.85
2011-03-18,33,47.81
2011-03-25,47,49.65
2011-04-01,37,50.66
2011-04-08,46,49.72
2011-04-15,44,50.96
2011-04-29,50,53.5
2011-05-06,48,52.53
2011-05-13,37,55.05
2011-05-20,37,54.65
2011-05-27,47,54.45
2011-06-03,52,52.09
2011-06-10,69,50.45
2011-06-17,48,51.5
2011-06-24,41,52.75
2011-07-01,53,58.6
2011-07-08,43,58.08
2011-07-15,50,57.02
2011-07-22,66,58.63
2011-07-29,67,56.32
2011-08-05,40,48.46
2011-08-12,59,46.21
2011-08-19,50,40.86
2011-08-26,43,44.38
2011-09-02,39,44.35
2011-09-09,51,42.75
2011-09-16,41,45.33
2011-09-23,54,38.91
2011-09-30,45,37.51
2011-10-07,44,38.98
2011-10-14,50,44.97
2011-10-21,41,47.09
2011-10-28,57,51.8
2011-11-04,50,51.52
2011-11-11,55,53.11
2011-11-18,47,51.14
2011-11-25,59,46.74
2011-12-02,50,52.85
2011-12-09,76,53.02
2011-12-16,73,50.76
2011-12-23,96,53.69
2011-12-30,67,53.14
2012-01-06,41,54.65
2012-01-13,47,55.05
2012-01-20,58,55.49
2012-01-27,44,57.18
2012-02-03,41,52.62
2012-02-10,54,53.8
2012-02-17,53,53.7
2012-02-24,43,52.32
2012-03-02,51,53.52
2012-03-09,34,53.5
2012-03-16,39,55.37
2012-03-23,47,54.21
2012-03-30,48,52.8
2012-04-13,63,49.74
2012-04-20,46,49.2
2012-04-27,49,49.22
2012-05-04,47,47.26
2012-05-11,67,45.22
2012-05-18,55,41.1
2012-05-25,51,43.59
2012-06-01,47,41.69
2012-06-08,65,42.9
2012-06-15,47,42.14
2012-06-22,39,35.44
2012-06-29,48,36.01
2012-07-06,45,34.33
2012-07-13,51,34.69
2012-07-20,54,35.14
2012-07-27,59,39.39
2012-08-03,48,39.38
2012-08-10,50,40.83
2012-08-17,66,42.59
2012-08-24,60,40.49
2012-08-31,48,40.01
2012-09-07,53,41.67
2012-09-14,46,42.99
2012-09-21,53,40.01
2012-09-28,54,39.06
2012-10-05,45,42.02
2012-10-12,38,42.29
2012-10-19,51,43.52
2012-10-26,52,44.8
2012-11-02,58,45.74
2012-11-09,53,45.17
2012-11-16,58,44.22
2012-11-23,63,46.02
2012-11-30,60,47.07
2012-12-07,67,48.59
2012-12-14,71,49.6
2012-12-21,96,50.42
2012-12-28,68,48.69
2013-01-04,55,51.93
2013-01-11,44,53.12
2013-01-18,56,55
2013-01-25,62,55.98
2013-02-01,43,57.9
2013-02-08,48,58.21
2013-02-15,50,57.42
2013-02-22,46,56.04
2013-03-01,43,55.43
2013-03-08,45,58.85
2013-03-15,48,61
2013-03-22,35,60.08
2013-04-05,50,57.83
2013-04-12,51,61.37
2013-04-19,46,57.15
2013-04-26,49,56.87
2013-05-03,51,58.46
2013-05-10,43,61.2
2013-05-17,39,62.52
2013-05-24,51,62.59
2013-05-31,52,63.04
2013-06-07,59,62.78
2013-06-14,52,62.09
2013-06-21,52,60.49
2013-06-28,52,60.79
2013-07-05,46,60.24
2013-07-12,54,60.82
2013-07-19,61,62.67
2013-07-26,48,61.64
2013-08-02,61,64.79
2013-08-09,52,60.64
2013-08-16,52,58.89
2013-08-23,58,59.3
2013-08-30,47,55.61
2013-09-06,46,56.98
2013-09-13,42,59.46
2013-09-20,46,60.4
2013-09-27,48,59.7
2013-10-04,41,59.93
2013-10-11,49,59.62
2013-10-18,56,62.04
2013-10-25,52,65.34
2013-11-01,47,66.28
2013-11-08,51,64.58
2013-11-15,61,68.04
2013-11-22,71,69.01
2013-11-29,80,69.84
2013-12-06,76,68.75
2013-12-13,73,67.69
2013-12-20,91,71.39
2013-12-27,80,73.4
2014-01-03,64,72.79
2014-01-10,46,73
2014-01-17,48,74.3
2014-01-24,52,71.88
2014-01-31,48,71.19
2014-02-07,41,71.43
2014-02-14,56,71.7
2014-02-21,47,72.74
2014-02-28,55,75.32
2014-03-07,44,77.88
2014-03-14,51,77.23
2014-03-21,50,78.7
2014-03-28,49,78.71
2014-04-04,44,80.45
2014-04-11,53,78.26
2014-04-25,49,81.98
