"Date","Ameriprise.Financial","Price"
2005-09-16,35,36.6
2005-09-23,57,37.68
2005-09-30,50,35.8
2005-10-07,62,33.6
2005-10-14,57,32.39
2005-10-21,50,34
2005-10-28,47,37.1
2005-11-04,43,37.17
2005-11-11,45,38.91
2005-11-18,46,39.92
2005-11-25,39,43.45
2005-12-02,52,43.23
2005-12-09,40,43.76
2005-12-16,62,42.26
2005-12-23,43,41.93
2005-12-30,32,41
2006-01-06,65,43.6
2006-01-13,58,43.88
2006-01-20,35,42.2
2006-01-27,59,42.4
2006-02-03,62,42.6
2006-02-10,42,43.57
2006-02-17,41,44.02
2006-02-24,56,46.26
2006-03-03,43,44
2006-03-10,51,43.3
2006-03-17,49,45.9
2006-03-24,56,44.25
2006-03-31,50,45.06
2006-04-07,50,44.2
2006-04-21,54,47.12
2006-04-28,38,49.04
2006-05-05,47,48.55
2006-05-12,51,47.5
2006-05-19,45,44.85
2006-05-26,41,44.48
2006-06-02,46,46.48
2006-06-09,40,44.58
2006-06-16,41,42
2006-06-23,44,41.94
2006-06-30,38,44.67
2006-07-07,31,42.67
2006-07-14,39,41.29
2006-07-21,48,41.46
2006-07-28,45,44.54
2006-08-04,51,44.91
2006-08-11,47,44.43
2006-08-18,44,45.07
2006-08-25,37,44.95
2006-09-01,35,45.4
2006-09-08,31,44.48
2006-09-15,28,46.8
2006-09-22,41,46.21
2006-09-29,38,46.9
2006-10-06,45,48.84
2006-10-13,44,48.73
2006-10-20,36,49.95
2006-10-27,49,51
2006-11-03,36,50.24
2006-11-10,34,51.2
2006-11-17,44,53.41
2006-11-24,19,53.37
2006-12-01,29,53.67
2006-12-08,38,55.3
2006-12-15,35,54.75
2006-12-22,33,54.65
2006-12-29,27,54.5
2007-01-05,39,55.5
2007-01-12,31,57.98
2007-01-19,42,57.6
2007-01-26,48,58.48
2007-02-02,60,59.76
2007-02-09,53,60.1
2007-02-16,48,62.36
2007-02-23,48,62.63
2007-03-02,43,57.16
2007-03-09,44,58.39
2007-03-16,100,55.15
2007-03-23,42,58.41
2007-03-30,43,57.14
2007-04-13,50,59.8
2007-04-20,36,60.89
2007-04-27,38,60.52
2007-05-04,36,61.33
2007-05-11,30,61.02
2007-05-18,37,61.44
2007-05-25,30,61.45
2007-06-01,31,63.3
2007-06-08,39,63.46
2007-06-15,34,66.07
2007-06-22,34,64.4
2007-06-29,31,63.57
2007-07-06,33,65.67
2007-07-13,43,66.08
2007-07-20,43,63.2
2007-07-27,40,57.76
2007-08-03,41,55.01
2007-08-10,47,58.66
2007-08-17,40,58.44
2007-08-24,34,61.93
2007-08-31,36,61.01
2007-09-07,28,58.89
2007-09-14,41,58.96
2007-09-21,43,61.23
2007-09-28,37,63.11
2007-10-05,47,65.97
2007-10-12,37,66.23
2007-10-19,42,60.91
2007-10-26,35,63.8
