"Date","ADSK","Price"
2005-06-10,54,36.57
2005-06-17,55,36.86
2005-06-24,56,33.98
2005-08-26,74,41.32
2005-09-02,51,42.59
2005-09-09,51,43.72
2005-09-16,51,42.38
2005-09-23,51,42.27
2005-09-30,51,46.44
2005-10-07,47,43.77
2005-10-14,51,43.06
2005-10-21,54,45.59
2005-10-28,66,43.95
2005-11-04,77,46.16
2005-11-11,89,46.96
2005-11-18,100,38.74
2005-11-25,67,40.85
2005-12-02,92,42.42
2005-12-09,47,43.02
2005-12-16,50,44.1
2005-12-23,54,44.98
2005-12-30,58,42.95
2006-01-06,61,44.29
2006-01-13,65,42.88
2006-01-20,59,42.37
2006-01-27,51,41.02
2006-02-03,43,35.56
2006-02-10,49,37.52
2006-02-17,48,36.46
2006-02-24,42,37.49
2006-03-03,93,40.5
2006-03-10,42,37.82
2006-03-17,42,39.31
2006-03-24,42,37.16
2006-03-31,42,38.52
2006-04-07,47,42.6
2006-04-21,67,42.85
2006-04-28,37,42.04
2006-05-05,37,39.92
2006-05-12,39,39.3
2006-05-19,42,37.49
2006-07-07,37,31.72
2006-07-14,47,30.45
2006-07-21,36,30.11
2006-07-28,47,32.41
2006-08-04,46,33.31
2006-08-11,49,32.33
2006-08-18,46,34.61
2006-08-25,33,33.51
2006-09-01,39,33.99
2006-09-08,45,33.49
2006-09-15,47,35.79
2006-09-22,34,36.09
2006-09-29,52,34.78
2006-10-06,46,35.1
2006-10-13,36,34.89
2006-10-20,32,35.08
2006-10-27,32,36.21
2006-11-03,38,36.01
2006-11-10,53,34.68
2006-11-17,58,40.55
2006-11-24,34,41.58
2006-12-01,54,41.11
2006-12-08,39,42.02
2006-12-15,39,41.81
2006-12-22,39,40.04
2006-12-29,49,40.46
2007-01-05,34,41.93
2007-01-12,36,43.74
2007-01-19,48,42.23
2007-01-26,43,42.45
2007-02-02,27,44.29
2007-02-09,32,41.93
2007-02-16,32,42.21
2007-02-23,33,42.47
2007-03-02,52,39.79
2007-03-09,39,38.54
2007-03-16,36,37.4
2007-03-23,33,38.38
2007-03-30,33,37.6
2007-04-13,24,39.24
2007-04-20,26,39.65
2007-04-27,29,41.99
2007-05-04,33,41.7
2007-05-11,23,43.27
2007-05-18,33,44.3
2007-05-25,45,44.97
2007-06-01,26,44.9
2007-06-08,54,44.18
2007-06-15,45,45
2007-06-22,46,46.66
2007-06-29,38,47.08
2007-07-06,42,45.2
2007-07-13,24,47
2007-07-20,33,44.54
2007-07-27,39,43.29
2007-08-03,30,40.47
2007-08-10,33,43.13
2007-08-17,30,44.9
2007-08-24,31,45.55
2007-08-31,26,46.32
2007-09-07,32,45.15
2007-09-14,27,47.56
2007-09-21,31,48.72
2007-09-28,27,49.97
2007-10-05,44,50.56
2007-10-12,40,50.8
2007-10-19,35,46.96
2007-10-26,20,47.65
2007-11-02,28,48.81
2007-11-09,28,46.16
2007-11-16,21,46.41
2007-11-23,21,45.79
2007-11-30,24,47.09
2007-12-07,21,48.2
2007-12-14,27,49.56
2007-12-21,24,50.99
2007-12-28,31,50.26
2008-01-04,31,45.7
2008-01-11,31,43.18
2008-01-18,31,41.24
2008-01-25,29,41.3
2008-02-01,39,41.96
2008-02-08,17,38.94
2008-02-15,16,38.15
2008-02-22,22,38.6
2008-02-29,44,31.09
2008-03-07,39,31.61
2008-03-14,33,34.08
2008-03-28,32,31.77
2008-04-04,47,33.83
2008-04-11,23,31.99
2008-04-18,23,33.27
2008-04-25,50,39.38
2008-05-02,42,39.42
2008-05-09,35,39.1
2008-05-16,48,40.74
2008-05-23,30,38.75
2008-05-30,35,41.16
2008-06-06,27,40.51
2008-06-13,23,38.54
2008-06-20,42,36.88
2008-06-27,33,34.03
2008-07-11,24,33.05
2008-07-18,27,36.01
2008-07-25,30,32.76
2008-08-01,23,33.67
2008-08-08,19,35.26
2008-08-15,39,38.37
2008-08-22,20,37.16
2008-08-29,22,35.53
2008-09-05,26,33.77
2008-09-12,34,34.44
2008-09-19,35,35.71
2008-09-26,38,35.21
2008-10-03,46,30.72
2008-10-10,49,24.2
2008-10-17,35,24.56
2008-10-24,42,21.84
2008-10-31,57,21.31
2008-11-07,34,20.76
2008-11-14,36,19.53
2008-11-21,40,14.37
2008-11-28,39,16.59
2008-12-05,53,16.04
2008-12-12,32,18.4
2008-12-19,31,18.52
2008-12-26,33,18.89
2009-01-02,31,20.68
2009-01-09,33,18.47
2009-01-16,45,16.14
2009-01-23,42,16.26
2009-01-30,40,16.56
2009-02-06,19,18.54
2009-02-13,31,17.56
2009-02-20,23,15.26
2009-02-27,43,12.69
2009-03-06,30,12.02
2009-03-13,31,12.83
2009-03-20,29,13.39
2009-03-27,35,16.07
2009-04-03,51,17.99
2009-04-17,29,18.51
2009-04-24,39,19.68
2009-05-01,19,19.63
2009-05-08,23,19.7
2009-05-15,23,19
2009-05-22,38,20.7
2009-05-29,28,21.46
2009-06-05,35,22.17
2009-06-12,21,22.24
2009-06-19,29,20.54
2009-06-26,24,19.75
2009-07-10,24,17.79
2009-07-17,33,18.77
2009-07-24,32,22.3
2009-07-31,24,21.81
2009-08-07,24,23.76
2009-08-14,48,25.38
2009-08-21,35,24.51
2009-08-28,29,23.92
2009-09-04,24,23.12
2009-09-11,21,24.19
2009-09-18,28,23.54
2009-09-25,20,23.61
2009-10-02,28,22.62
2009-10-09,33,24.47
2009-10-16,28,25.49
2009-10-23,31,26.58
2009-10-30,27,24.93
2009-11-06,20,26.49
2009-11-13,17,27.25
2009-11-20,40,23.81
2009-11-27,24,23.62
2009-12-04,19,24.95
2009-12-11,17,23.63
2009-12-18,17,24.61
2010-01-08,21,26.26
2010-01-15,14,26.08
2010-01-22,18,25.1
2010-01-29,21,23.79
2010-02-05,26,23.07
2010-02-12,26,24.22
2010-02-19,22,25.99
2010-02-26,32,27.88
2010-03-05,24,28.85
2010-03-12,27,29.16
2010-03-19,27,29.11
2010-03-26,26,29.5
2010-04-09,39,31.13
2010-04-16,24,31.55
2010-04-23,26,34.22
2010-04-30,31,33.99
2010-05-07,33,30.06
2010-05-14,30,30.77
2010-05-21,34,29.37
2010-05-28,28,29.26
2010-06-04,20,27.92
2010-06-11,24,27.58
2010-06-18,21,29.24
2010-06-25,26,26.58
2010-07-02,18,24.31
2010-07-09,23,24.93
2010-07-16,29,25.35
2010-07-23,23,28.85
2010-07-30,27,29.54
2010-08-06,27,28.77
2010-08-13,29,28.12
2010-08-20,13,28.11
2010-08-27,20,28.38
2010-09-03,18,30.02
2010-09-10,15,30.96
