"Date","buy.MU","Price"
2007-11-23,100,8.37
2008-02-15,98,7.13
2008-08-15,81,5.39
2008-08-22,85,4.69
2008-08-29,77,4.24
2008-09-05,77,4.36
2008-09-12,77,5.13
2008-09-19,77,4.84
2008-09-26,77,4.65
2009-01-09,69,3.29
2009-05-15,57,4.24
2009-07-10,57,5.08
2009-07-17,60,5.75
2009-07-24,62,6.27
2009-07-31,64,6.39
2009-12-04,48,8.45
2009-12-11,53,8.64
2010-01-29,58,8.72
2010-02-05,45,8.7
2010-02-12,45,8.44
2010-03-26,49,10.49
2010-04-09,51,10.73
2010-04-16,53,10.92
2010-04-23,44,11
2010-07-09,57,8.57
2010-07-16,48,8.27
2010-07-23,48,8.48
2010-07-30,47,7.28
2010-08-06,54,7.58
2010-08-13,60,7.28
2010-08-20,43,7.12
2010-08-27,62,6.83
2010-09-03,59,7.05
2010-09-10,59,6.51
2010-09-17,59,6.76
2010-09-24,43,7.2
2010-10-01,58,7.29
2010-10-08,38,7.59
2010-10-15,38,7.61
2010-10-22,60,7.69
2010-10-29,60,8.26
2010-11-05,60,8.66
2010-11-12,59,7.72
2010-11-19,59,7.39
2010-11-26,70,7.63
2010-12-03,47,7.92
2010-12-10,36,8.25
2010-12-17,36,8.21
2010-12-31,50,8.02
2011-01-07,62,8.65
2011-01-14,49,9.71
2011-01-21,57,9.84
2011-01-28,65,10.37
2011-02-04,62,11.05
2011-02-11,71,11.32
2011-02-18,47,11.7
2011-02-25,43,11.44
2011-03-04,51,11.64
2011-03-11,60,10.24
2011-03-18,43,10.07
2011-03-25,49,11.55
2011-04-01,52,11.3
2011-04-08,54,11.07
2011-04-15,53,10.75
2011-04-29,55,11.32
2011-05-06,50,10.87
2011-05-13,60,10.4
2011-05-20,47,10
2011-05-27,47,10.02
2011-06-03,34,9.16
2011-06-10,68,8.44
2011-06-17,46,7.83
2011-06-24,40,7.21
2011-07-01,43,7.83
2011-07-08,47,7.68
2011-07-15,50,7.41
2011-07-22,53,8.09
2011-07-29,56,7.37
2011-08-05,53,6.31
2011-08-12,55,6.18
2011-08-19,53,5.25
2011-08-26,54,5.66
2011-09-02,40,5.5
2011-09-09,54,6.35
2011-09-16,67,7.03
2011-09-23,33,6.65
2011-09-30,45,5.04
2011-10-07,32,4.95
2011-10-14,34,5.7
2011-10-21,47,5.46
2011-10-28,47,5.88
2011-11-04,35,5.89
2011-11-11,69,5.43
2011-11-18,60,6.29
2011-11-25,57,5.5
2011-12-02,57,5.8
2011-12-09,31,5.89
2011-12-16,34,5.68
2011-12-23,45,6.4
2011-12-30,75,6.29
2012-01-06,68,7.2
2012-01-13,70,7.23
2012-01-20,56,7.76
2012-01-27,48,7.43
2012-02-03,60,7.95
2012-02-10,52,7.91
2012-02-17,31,8.43
2012-02-24,47,7.95
2012-03-02,63,8.65
2012-03-09,35,8.33
2012-03-16,39,8.82
2012-03-23,40,8.4
2012-03-30,45,8.1
2012-04-13,27,6.96
2012-04-20,46,6.64
2012-04-27,46,6.57
2012-05-04,58,6.55
2012-05-11,74,6.36
2012-05-18,46,5.63
2012-05-25,52,5.96
2012-06-01,55,5.45
2012-06-08,41,5.88
2012-06-15,43,5.89
2012-06-22,34,5.74
2012-06-29,51,6.31
2012-07-06,60,6.72
2012-07-13,59,6.13
2012-07-20,57,5.83
2012-07-27,53,6.28
2012-08-03,47,6.33
2012-08-10,29,6.76
2012-08-17,42,6.57
2012-08-24,34,6.3
2012-08-31,53,6.21
2012-09-07,43,6.42
2012-09-14,52,6.7
2012-09-21,45,6.36
2012-09-28,36,5.98
2012-10-05,51,5.89
2012-10-12,33,5.67
2012-10-19,33,5.45
2012-10-26,40,5.47
2012-11-02,66,5.71
2012-11-09,46,5.62
2012-11-16,63,5.47
2012-11-23,47,5.68
2012-11-30,41,5.97
2012-12-07,41,6.44
2012-12-14,32,6.85
2012-12-21,63,6.32
2012-12-28,31,6.13
2013-01-04,42,6.96
2013-01-11,54,7.54
2013-01-18,36,7.89
2013-01-25,43,7.87
2013-02-01,43,7.83
2013-02-08,55,7.75
2013-02-15,34,7.91
2013-02-22,37,8.02
2013-03-01,43,8.25
2013-03-08,38,9.2
2013-03-15,45,9.37
2013-03-22,50,10.04
2013-04-05,38,9.31
2013-04-12,37,10.01
2013-04-19,46,9.35
2013-04-26,42,9.43
2013-05-03,40,9.63
2013-05-10,32,10.82
2013-05-17,54,11.31
2013-05-24,27,11.59
2013-05-31,35,11.68
2013-06-07,52,12.65
2013-06-14,40,12.76
2013-06-21,56,13.9
2013-06-28,46,14.33
2013-07-05,38,14.31
2013-07-12,49,12.69
2013-07-19,39,13.73
2013-07-26,53,12.59
2013-08-02,59,13.5
2013-08-09,60,13.99
2013-08-16,37,14.01
2013-08-23,46,13.86
2013-08-30,53,13.57
2013-09-06,42,15.26
2013-09-13,40,16.2
2013-09-20,40,17.23
2013-09-27,38,17.62
2013-10-04,41,18.47
2013-10-11,52,16.84
2013-10-18,59,17.03
2013-10-25,39,16.58
2013-11-01,45,17.58
2013-11-08,61,18.11
2013-11-15,39,19.46
2013-11-22,34,20.19
2013-11-29,64,21.1
2013-12-06,47,22.31
2013-12-13,56,23.08
2013-12-20,53,22.17
2013-12-27,53,21.52
2014-01-03,50,20.97
2014-01-10,52,23.71
2014-01-17,44,22.38
2014-01-24,36,22.92
2014-01-31,31,23.04
2014-02-07,40,24.51
2014-02-14,31,25.08
2014-02-21,27,25.08
2014-02-28,23,24.19
2014-03-07,56,24.42
2014-03-14,43,23.96
2014-03-21,40,23.66
2014-03-28,30,21.91
2014-04-04,39,22.58
2014-04-11,46,21.13
2014-04-25,54,25.26
