"Date","buy.LOW","Price"
2004-02-06,71,54.67
2004-02-13,81,57.6
2004-02-20,60,58.38
2004-02-27,56,56
2004-03-05,65,55.47
2004-03-12,74,53.09
2004-03-19,58,54.32
2004-03-26,43,55.62
2004-04-02,43,54.9
2004-04-16,100,53.24
2004-04-23,45,53.54
2004-04-30,69,52.06
2004-05-07,84,50
2004-05-14,84,50.58
2004-05-21,72,51.2
2004-05-28,57,53.57
2004-06-04,67,54.37
2004-06-18,64,53.6
2004-06-25,69,54.07
2004-07-02,74,53.48
2004-07-09,81,51.51
2004-07-16,88,50.32
2004-07-23,61,48.39
2004-07-30,48,48.72
2004-08-06,54,46.49
2004-08-13,57,46.65
2004-08-20,67,50.32
2004-08-27,94,50.47
2004-09-03,58,52.35
2004-09-10,58,53.57
2004-09-17,64,53.54
2004-09-24,56,53.66
2004-10-01,62,55.18
2004-10-08,72,54.2
2004-10-15,83,55.07
2004-10-22,64,55.24
2004-10-29,55,56.28
2004-11-05,50,59.44
2004-11-12,76,60.25
2004-11-19,65,56.77
2004-11-26,52,57.22
2004-12-03,55,57.47
2004-12-10,51,58.58
2004-12-17,75,56.78
2004-12-31,74,57.59
2005-01-07,71,56.66
2005-01-14,65,56.87
2005-01-21,55,55.91
2005-01-28,54,56.18
2005-02-04,52,58.65
2005-02-11,70,59.6
2005-02-18,51,58.75
2005-02-25,56,59
2005-03-04,57,58.2
2005-03-11,58,57.65
2005-03-18,56,57.01
2005-04-01,42,56.19
2005-04-08,72,54.81
2005-04-15,64,51.64
2005-04-22,56,51.88
2005-04-29,42,52.11
2005-05-06,64,53.54
2005-05-13,40,52.86
2005-05-20,60,57.44
2005-05-27,73,57.15
2005-06-03,54,56.96
2005-06-10,56,58.3
2005-06-17,65,59.42
2005-06-24,65,56.75
2005-07-01,59,57.6
2005-07-08,60,59.52
2005-07-15,62,63.65
2005-07-22,80,65.73
2005-07-29,61,66.22
2005-08-05,63,63.07
2005-08-12,42,65.19
2005-08-19,65,64.69
2005-08-26,40,63.18
2005-09-02,57,64.25
2005-09-09,52,68.09
2005-09-16,60,65.4
2005-09-23,57,65.39
2005-09-30,56,64.4
2005-10-07,45,62.83
2005-10-14,55,61.21
2005-10-21,60,61.22
2005-10-28,53,59.82
2005-11-04,46,60.95
2005-11-11,56,61.97
2005-11-18,49,65.95
2005-11-25,64,66.75
2005-12-02,65,67.83
2005-12-09,44,68
2005-12-16,52,69.41
2005-12-23,54,67.46
