"Date","buy.DIS","Price"
2010-10-01,87,33.34
2010-10-08,85,34.51
2010-10-15,85,34.88
2010-10-22,85,34.97
2010-10-29,85,36.13
2010-12-10,100,36.66
2010-12-17,93,37.05
2010-12-31,96,37.51
2011-01-07,100,39.45
2011-01-14,85,39.29
2011-01-21,85,39.74
2011-01-28,74,38.85
2011-02-04,74,40.71
2011-02-11,78,43.41
2011-02-18,82,43.56
2011-02-25,86,42.95
2011-03-04,90,43.55
2011-07-22,76,40.65
2011-07-29,75,38.62
2011-08-05,75,35.18
2011-08-12,71,33.09
2011-08-19,71,31.85
2011-08-26,71,32.4
2011-09-02,71,32.46
2011-10-21,74,35.16
2011-10-28,75,36.21
2011-11-04,76,34.76
2011-11-11,77,36.7
2011-11-18,78,35.63
2011-11-25,70,33.51
2011-12-02,70,36.61
2011-12-09,70,36.56
2011-12-16,79,35.32
2011-12-23,87,37.7
2011-12-30,89,37.5
2012-01-06,90,39.91
2012-01-13,85,38.4
2012-01-20,71,39.31
2012-01-27,71,39.25
2012-02-03,71,40
2012-02-10,78,41.45
2012-02-17,84,41.75
2012-02-24,67,41.31
2012-03-02,67,42.36
2012-03-09,67,42.24
2012-03-16,65,43.19
2012-05-11,59,45.56
2012-05-18,76,43.81
2012-05-25,77,44.5
2012-06-01,79,44.4
2012-06-08,80,46.24
2012-06-15,81,47.09
2012-06-22,82,47.47
2012-08-03,66,49.77
2012-08-10,60,49.65
2012-08-17,63,50.46
2012-08-24,66,49.56
2012-08-31,68,49.47
2012-09-07,69,51.74
2012-09-14,68,52.35
2012-11-02,79,49.86
2012-11-09,51,47.06
2012-11-16,51,47.42
2012-11-23,51,49.26
2012-11-30,51,49.66
2012-12-07,72,49.24
2012-12-14,52,48.67
2012-12-21,53,50
2012-12-28,55,49.15
2013-01-04,57,52.19
2013-01-11,59,50.58
2013-01-18,82,52.34
2013-01-25,49,54.38
2013-02-01,53,54.59
2013-02-08,88,54.66
2013-02-15,54,55.61
2013-02-22,66,54.25
2013-03-01,51,55.33
2013-03-08,51,57.39
2013-03-15,51,57.58
2013-04-26,52,61.87
2013-05-03,62,64.8
2013-05-10,85,67.2
2013-05-17,61,66.58
2013-05-24,57,65.49
2013-05-31,57,63.08
2013-06-07,90,64.85
2013-06-14,48,63.8
2013-06-21,61,62.73
2013-06-28,48,63.15
2013-07-05,48,63.82
2013-07-12,63,66.98
2013-07-19,59,65.16
2013-07-26,68,64.98
2013-08-02,53,66.51
2013-08-09,55,64.73
2013-08-16,58,62.17
2013-08-23,57,61.73
2013-08-30,56,60.83
2013-09-06,46,61.39
2013-09-13,67,66.69
2013-09-20,45,65.01
2013-09-27,59,65.19
2013-10-04,54,65.3
2013-10-11,54,66.21
2013-10-18,54,67.15
2013-10-25,49,69.26
2013-11-01,49,69.01
2013-11-08,65,68.58
2013-11-15,74,70
2013-11-22,48,70.2
2013-11-29,50,70.54
2013-12-06,52,71.46
2013-12-13,75,69.62
2013-12-20,49,72.4
2013-12-27,63,74.35
2014-01-03,57,76.11
2014-01-10,51,75.39
2014-01-17,53,73.98
2014-01-24,54,72.72
2014-01-31,62,72.61
2014-02-07,56,75.67
2014-02-14,57,79.23
2014-02-21,57,80.13
2014-02-28,41,80.81
2014-03-07,78,82.21
2014-03-14,58,80.07
2014-03-21,58,80.35
2014-03-28,53,78.99
2014-04-04,48,80.43
2014-04-11,48,77.01
