"Date","United.Technologies","Price"
2004-02-06,80,94.32
2004-02-13,50,94.63
2004-02-20,84,96.62
2004-02-27,91,92.11
2004-03-05,69,89.9
2004-03-12,74,87.35
2004-03-19,79,85.4
2004-03-26,77,86.3
2004-04-02,69,87.74
2004-04-16,83,88.72
2004-04-23,100,88.93
2004-04-30,56,86.26
2004-05-07,68,85.18
2004-05-14,73,83.25
2004-05-21,62,81.56
2004-05-28,78,84.61
2004-06-04,69,85.75
2004-06-18,73,89.95
2004-06-25,63,89.25
2004-07-02,44,89.49
2004-07-09,54,89.76
2004-07-16,40,90.79
2004-07-23,91,92.09
2004-07-30,39,93.5
2004-08-06,86,90.05
2004-08-13,62,90.92
2004-08-20,76,94.02
2004-08-27,64,93.41
2004-09-03,67,94.29
2004-09-10,45,94.42
2004-09-17,59,95.65
2004-09-24,64,92.14
2004-10-01,64,94.83
2004-10-08,71,92.43
2004-10-15,69,91.67
2004-10-22,92,91
2004-10-29,72,92.82
2004-11-05,68,97.25
2004-11-12,81,97.75
2004-11-19,72,97.26
2004-11-26,30,97.13
2004-12-03,47,98.43
2004-12-10,49,101.03
2004-12-17,75,103.9
2004-12-31,48,103.35
2005-01-07,66,100.02
2005-01-14,57,100.94
2005-01-21,65,100.08
2005-01-28,72,102
2005-02-04,55,101.72
2005-02-11,67,101.4
2005-02-18,56,100.91
2005-02-25,94,101.02
2005-03-04,67,100.74
2005-03-11,58,101.36
2005-03-18,66,103.75
2005-04-01,45,100.94
2005-04-08,55,100.81
2005-04-15,63,97.55
2005-04-22,70,101.56
2005-04-29,65,101.72
2005-05-06,97,102.03
2005-05-13,87,101.1
2005-05-20,59,105.15
2005-05-27,62,107.88
2005-06-03,69,106.25
2005-06-10,64,104.93
2005-06-17,70,53.14
2005-06-24,62,52.12
2005-07-01,64,51.38
2005-07-08,35,51.54
2005-07-15,53,51.71
2005-07-22,61,51.14
2005-07-29,61,50.7
2005-08-05,55,49.37
2005-08-12,60,51.78
2005-08-19,78,51.74
2005-08-26,47,50.29
2005-09-02,47,50.6
2005-09-09,63,51.44
2005-09-16,47,51.38
2005-09-23,46,51.7
2005-09-30,67,51.84
2005-10-07,49,50.15
2005-10-14,48,51.63
2005-10-21,58,50.91
2005-10-28,51,51.38
2005-11-04,56,51.63
2005-11-11,34,53.45
2005-11-18,49,53.54
2005-11-25,43,54.31
2005-12-02,56,54.99
2005-12-09,49,55.42
2005-12-16,44,58.03
2005-12-23,36,57.28
2005-12-30,27,55.91
2006-01-06,48,56.16
2006-01-13,49,55.66
2006-01-20,52,55.01
