"Date","Kansas.City.Southern","Price"
2005-02-04,100,18.9
2005-05-06,95,19.44
2005-05-13,81,18.61
2005-07-22,84,22.07
2005-09-16,80,23.06
2005-10-28,75,22.16
2005-11-04,75,23.87
2005-11-11,75,23.86
2005-11-18,75,24.63
2005-11-25,75,25.23
2005-12-02,76,25
2006-03-03,57,23.56
2006-03-10,60,22.86
2006-03-17,54,23.78
2006-03-24,54,24.5
2006-03-31,54,24.7
2006-04-07,76,23.99
2006-04-21,70,25.2
2006-04-28,70,24.3
2006-05-05,59,27.44
2006-05-12,59,26.52
2006-05-19,63,25.68
2006-05-26,54,27.69
2006-06-02,54,27.55
2006-06-09,54,25.4
2006-06-16,56,25.96
2006-06-23,59,25.48
2006-08-04,96,25.97
2006-08-11,56,25.05
2006-08-18,56,26.67
2006-08-25,56,25.99
2006-09-01,73,26.61
2006-09-08,68,26.15
2006-09-15,62,27.49
2006-09-22,69,26.55
2006-09-29,92,27.31
2006-10-06,56,27.81
2006-10-13,44,28.44
2006-10-20,44,28.77
2006-10-27,49,29.68
2006-11-03,43,27.52
2006-11-10,43,28.61
2006-11-17,75,27.57
2006-11-24,41,27.76
2006-12-01,41,26.69
2006-12-08,41,28.28
2006-12-15,45,28.42
2006-12-22,50,28.13
2006-12-29,53,28.98
2007-01-05,69,28.42
2007-01-12,58,29.72
2007-01-19,50,29.89
2007-01-26,62,29.8
2007-02-02,45,30.57
2007-02-09,100,31.53
2007-02-16,71,34
2007-02-23,42,34.04
2007-03-02,46,31.35
2007-03-09,67,33.44
2007-03-16,88,35.09
2007-03-23,75,36.35
2007-03-30,58,35.58
2007-04-13,55,37.67
2007-04-20,49,39.08
2007-04-27,46,38.59
2007-05-04,71,38.59
2007-05-11,55,38.81
2007-05-18,66,40.1
2007-05-25,39,40.2
2007-06-01,43,42.5
2007-06-08,46,40.84
2007-06-15,49,40.5
2007-06-22,53,38.45
2007-06-29,56,37.54
2007-07-06,60,38.81
2007-07-13,65,39.55
2007-07-20,70,40.28
2007-07-27,59,35.14
2007-08-03,43,33.7
2007-08-10,36,34.31
2007-08-17,62,30.59
2007-08-24,69,31.08
2007-08-31,49,30.39
2007-09-07,52,31.42
2007-09-14,38,30.94
2007-09-21,38,32.59
2007-09-28,49,32.17
2007-10-05,57,34.62
2007-10-12,58,34.76
2007-10-19,33,34.49
2007-10-26,46,37.96
2007-11-02,51,38.2
2007-11-09,59,35.67
2007-11-16,63,33.71
2007-11-23,60,33.08
2007-11-30,67,34.43
2007-12-07,67,36.04
2007-12-14,49,35.5
2007-12-21,28,34.71
2007-12-28,34,34.38
2008-01-04,61,31.06
2008-01-11,57,30.87
2008-01-18,47,30.88
2008-01-25,44,34.2
2008-02-01,57,38.03
2008-02-08,48,37.94
2008-02-15,59,38.3
2008-02-22,51,37.47
2008-02-29,64,35.8
2008-03-07,35,34.56
2008-03-14,52,34.86
2008-03-28,43,39.37
2008-04-04,80,40.13
2008-04-11,63,39.67
2008-04-18,51,43.45
