"Date","Kinder.Morgan","Price"
2011-02-11,56,31.05
2011-02-18,26,31.37
2011-02-25,20,30.5
2011-03-04,18,30.85
2011-03-11,20,30.1
2011-03-18,20,30.5
2011-03-25,22,29.52
2011-04-01,23,29.5
2011-04-08,22,29.33
2011-04-15,18,28.88
2011-04-29,20,28.58
2011-05-06,19,28
2011-05-13,18,27.93
2011-05-20,15,28.5
2011-05-27,18,29.18
2011-06-03,16,29.75
2011-06-10,19,29.53
2011-06-17,18,29.7
2011-06-24,16,28.6
2011-07-01,16,29.27
2011-07-08,18,28.92
2011-07-15,16,28.59
2011-07-22,19,28.36
2011-07-29,19,28.23
2011-08-05,20,25.92
2011-08-12,19,26.77
2011-08-19,18,23.82
2011-08-26,16,24.78
2011-09-02,13,25.19
2011-09-09,15,24.85
2011-09-16,17,25.5
2011-09-23,15,25.52
2011-09-30,15,25.89
2011-10-07,14,26.34
2011-10-14,15,26.89
2011-10-21,95,29.22
2011-10-28,25,29.1
2011-11-04,19,28.31
2011-11-11,20,27.57
2011-11-18,21,28.25
2011-11-25,15,29
2011-12-02,22,31
2011-12-09,18,29.6
2011-12-16,16,29.84
2011-12-23,15,31.37
2011-12-30,13,32.17
2012-01-06,21,32.89
2012-01-13,19,32.86
2012-01-20,24,32.77
2012-01-27,29,32.38
2012-02-03,25,31.92
2012-02-10,22,32.35
2012-02-17,22,32.23
2012-02-24,24,33.24
2012-03-02,27,36.29
2012-03-09,30,37.52
2012-03-16,24,36.85
2012-03-23,21,38.6
2012-03-30,20,38.65
2012-04-13,28,38.41
2012-04-20,25,36.16
2012-04-27,20,35.84
2012-05-04,19,35.25
2012-05-11,22,33.99
2012-05-18,20,32.5
2012-05-25,21,32.42
2012-06-01,25,32.35
2012-06-08,25,31.53
2012-06-15,24,31.9
2012-06-22,21,31.68
2012-06-29,19,32.22
2012-07-06,17,32.96
2012-07-13,19,34.54
2012-07-20,23,34.99
2012-07-27,22,35.81
2012-08-03,20,35.89
2012-08-10,22,34.64
2012-08-17,24,34.22
2012-08-24,23,35.29
2012-08-31,20,35.77
2012-09-07,19,35.84
2012-09-14,17,36.23
2012-09-21,23,35.7
2012-09-28,20,35.52
2012-10-05,17,36.04
2012-10-12,22,34.5
2012-10-19,21,34.97
2012-10-26,22,34.7
2012-11-02,20,34.11
2012-11-09,18,32.58
2012-11-16,21,32.3
2012-11-23,16,33.72
2012-11-30,19,33.81
2012-12-07,24,33.58
2012-12-14,20,33.72
2012-12-21,15,35.34
2012-12-28,11,34.62
2013-01-04,16,36.71
2013-01-11,24,37.06
2013-01-18,22,37.41
2013-01-25,24,37.25
2013-02-01,31,37.49
2013-02-08,22,37.6
2013-02-15,22,37.52
2013-02-22,25,37
2013-03-01,25,37.26
2013-03-08,26,37.37
2013-03-15,22,36.4
2013-03-22,25,37.62
2013-04-05,25,37.52
2013-04-12,24,38.78
2013-04-19,23,38.87
2013-04-26,22,38.78
2013-05-03,21,38.85
2013-05-10,20,39.45
2013-05-17,25,40.48
2013-05-24,21,40.58
2013-05-31,20,37.98
2013-06-07,23,39.54
2013-06-14,21,38.42
2013-06-21,20,36.28
2013-06-28,21,38.15
2013-07-05,14,38.44
2013-07-12,20,40.07
2013-07-19,21,39.55
2013-07-26,20,38.71
2013-08-02,21,37.65
2013-08-09,20,37.6
2013-08-16,18,37.44
2013-08-23,21,37.23
2013-08-30,17,37.93
2013-09-06,19,35.22
2013-09-13,22,35.08
2013-09-20,27,36.21
2013-09-27,21,35.84
2013-10-04,20,35.4
2013-10-11,19,35.49
2013-10-18,22,35.33
2013-10-25,36,36.49
2013-11-01,23,35.31
2013-11-08,21,35
2013-11-15,22,35.35
2013-11-22,21,35.52
2013-11-29,13,35.54
2013-12-06,20,33.51
2013-12-13,18,32.83
2013-12-20,21,35.22
2013-12-27,15,35.91
2014-01-03,17,35.97
2014-01-10,20,35.9
2014-01-17,26,35.57
2014-01-24,22,35.47
2014-01-31,25,34.01
2014-02-07,23,33.99
2014-02-14,25,33.78
2014-02-21,27,33.03
2014-02-28,30,31.85
2014-03-07,24,32
2014-03-14,22,31.7
2014-03-21,29,31.15
2014-03-28,27,32.14
2014-04-04,25,33.02
2014-04-11,23,32.29
2014-04-25,24,33
