"Date","Eastman.Chemical","Price"
2004-02-06,71,40.26
2004-02-13,71,42.27
2004-04-02,73,43.66
2004-05-21,71,45.26
2004-05-28,83,46.34
2004-06-04,66,45.7
2004-06-18,66,43.82
2004-06-25,66,45.36
2004-07-02,66,44.94
2004-07-09,100,44.78
2004-07-16,72,45.01
2004-07-23,72,43.59
2004-07-30,100,44.68
2004-08-06,64,42.52
2004-08-13,64,42.92
2004-08-20,60,45
2004-08-27,60,46.28
2004-09-03,60,46.57
2004-09-10,63,46.4
2004-09-17,66,46.83
2004-09-24,69,46.38
2004-10-01,72,47.68
2004-10-08,59,47.74
2004-10-15,59,45.71
2004-10-22,59,45.37
2004-10-29,59,47.47
2004-11-05,59,49.37
2005-01-07,85,52.26
2005-01-14,47,51.4
2005-01-21,56,53.23
2005-01-28,65,53
2005-02-04,47,54.21
2005-02-11,47,55.52
2005-04-01,58,59.13
2005-05-13,57,56.55
2005-05-20,45,58.75
2005-05-27,42,58.58
2005-06-03,42,59
2005-06-10,41,56.96
2005-06-17,41,58.36
2005-06-24,46,54.55
2005-07-01,51,54.99
2005-07-08,56,55.9
2005-07-15,46,56.49
2005-07-22,46,58.3
2005-07-29,41,55.39
2005-08-05,41,53.49
2005-08-12,41,52.33
2005-08-19,42,50.27
2005-08-26,48,48.44
2005-09-02,55,48.27
2005-09-09,38,49.42
2005-09-16,36,47.15
2005-09-23,39,47.18
2005-09-30,42,46.97
2005-10-07,50,47.07
2005-10-14,51,46.59
2005-10-21,51,47.65
2005-10-28,51,51.75
2005-11-04,45,53.69
2005-11-11,51,55.56
2005-11-18,35,55.23
2005-11-25,35,55.62
2005-12-02,35,55.9
2005-12-09,49,52.43
2005-12-16,43,50.88
2005-12-23,36,52.63
2005-12-30,34,51.59
2006-01-06,34,53.27
2006-01-13,43,51.63
2006-01-20,39,49.96
2006-01-27,39,48.45
2006-02-03,42,47.7
2006-02-10,55,48.94
2006-02-17,54,50.88
2006-02-24,38,50.44
2006-03-03,31,50.65
2006-03-10,44,51.06
2006-03-17,36,51.7
2006-03-24,46,51.05
2006-03-31,32,51.18
2006-04-07,41,50.19
2006-04-21,45,54.3
2006-04-28,41,54.35
2006-05-05,30,56.8
2006-05-12,30,56.67
2006-05-19,53,55.1
2006-05-26,27,56.74
2006-06-02,34,57.55
2006-06-09,41,52.76
2006-06-16,47,52.39
2006-06-23,38,52.54
2006-06-30,38,54
2006-07-07,37,53.11
2006-07-14,35,51.5
2006-07-21,42,51.35
2006-07-28,44,50
2006-08-04,48,50.84
2006-08-11,35,50.37
2006-08-18,41,51.02
2006-08-25,48,51.02
2006-09-01,37,52.92
2006-09-08,44,52.1
2006-09-15,38,53.53
2006-09-22,28,52.99
2006-09-29,32,54.02
2006-10-06,26,55.6
2006-10-13,37,56.7
2006-10-20,36,57.15
2006-10-27,45,59.83
2006-11-03,31,59.48
2006-11-10,41,59.73
2006-11-17,42,60.17
2006-11-24,26,60.25
2006-12-01,31,57.89
2006-12-08,32,59.63
2006-12-15,34,58.7
2006-12-22,23,59
2006-12-29,23,59.31
2007-01-05,23,59.54
2007-01-12,31,61.55
2007-01-19,21,62.64
2007-01-26,45,59.25
2007-02-02,45,58.85
2007-02-09,47,58.6
2007-02-16,30,59.53
