"Date","buy.BBY","Price"
2009-01-16,68,29.34
2009-11-13,48,41.88
2010-04-16,44,45.39
2010-08-06,48,34.91
2010-09-24,39,39.6
2010-10-01,38,40.76
2010-10-08,37,41.09
2010-10-15,37,42.15
2010-10-22,37,42.74
2010-10-29,37,42.98
2010-11-05,37,44.75
2010-11-12,48,43.59
2010-11-19,44,43.54
2010-11-26,44,44.75
2010-12-03,44,42.83
2010-12-10,44,41.8
2010-12-17,48,34.27
2010-12-31,37,34.29
2011-01-07,37,35.37
2011-01-14,37,35.62
2011-01-21,38,35.11
2011-01-28,41,34.11
2011-02-04,44,35.24
2011-02-11,47,33.6
2011-02-18,50,33.04
2011-02-25,33,32.37
2011-03-04,33,32.69
2011-03-11,33,31.52
2011-03-18,40,31.53
2011-03-25,46,29.22
2011-04-01,43,28.64
2011-04-08,40,29.7
2011-04-15,40,28.85
2011-04-29,40,31.22
2011-05-06,40,31
2011-05-13,33,32.31
2011-05-20,33,31.33
2011-05-27,38,31.59
2011-06-03,43,30.63
2011-06-10,48,28.43
2011-06-17,53,31.01
2011-06-24,40,32.48
2011-07-01,50,32
2011-07-08,37,31.82
2011-07-15,37,29.61
2011-07-22,37,29.56
2011-07-29,37,27.6
2011-08-05,41,25.52
2011-08-12,46,23.68
2011-08-19,48,24.06
2011-08-26,50,24.79
2011-09-02,53,24.1
2011-09-09,36,24.5
2011-09-16,36,25.43
2011-09-23,33,24.18
2011-09-30,33,23.3
2011-10-07,39,24.77
2011-10-14,49,25.66
2011-10-21,43,26.08
2011-10-28,43,26.5
2011-11-04,43,27.31
2011-11-11,43,28.09
2011-11-18,43,27.06
2011-11-25,52,25.63
2011-12-02,42,27.6
2011-12-09,42,28.11
2011-12-16,37,23.19
2011-12-23,45,23.28
2011-12-30,28,23.37
2012-01-06,28,24.22
2012-01-13,32,24.29
2012-01-20,32,25
2012-01-27,42,25.44
2012-02-03,34,23.86
2012-02-10,45,25.08
2012-02-17,29,25.71
2012-02-24,29,24.99
2012-03-02,29,24.31
2012-03-09,35,24.77
2012-03-16,42,25.52
2012-03-23,34,27.51
2012-03-30,74,23.68
2012-04-13,79,22.04
2012-04-20,41,21.47
2012-04-27,34,22.33
2012-05-04,35,20.82
2012-05-11,36,19.28
2012-05-18,31,18.02
2012-05-25,34,19.17
2012-06-01,38,18.3
2012-06-08,41,19.98
2012-06-15,33,20.03
2012-06-22,36,19.19
2012-06-29,39,20.96
2012-07-06,36,21.59
2012-07-13,44,19
2012-07-20,32,18.23
2012-07-27,32,17.76
2012-08-03,32,17.64
2012-08-10,32,19.21
2012-08-17,35,20.27
2012-08-24,55,17.31
2012-08-31,30,17.74
2012-09-07,25,18.23
2012-09-14,25,18.58
2012-09-21,25,17.81
2012-09-28,32,17.2
2012-10-05,32,18.03
2012-10-12,24,17.66
2012-10-19,28,17.25
2012-10-26,26,14.96
2012-11-02,23,14.69
2012-11-09,33,15.3
2012-11-16,58,13.75
2012-11-23,61,11.7
2012-11-30,36,13.11
2012-12-07,38,11.99
2012-12-14,54,12.05
2012-12-21,44,11.67
2012-12-28,46,11.29
2013-01-04,32,12.11
2013-01-11,50,14.21
2013-01-18,47,14.88
2013-01-25,47,15.78
2013-02-01,34,16.11
2013-02-08,47,15.29
2013-02-15,39,16.87
2013-02-22,40,17.02
2013-03-01,60,17.16
2013-03-08,27,20.17
2013-03-15,35,21.45
2013-03-22,27,22.78
2013-04-05,46,25.45
2013-04-12,27,24.09
2013-04-19,39,23.25
2013-04-26,25,23.5
2013-05-03,38,26.52
2013-05-10,27,25.37
2013-05-17,25,26.9
2013-05-24,25,26.03
2013-07-26,21,29.65
2013-08-02,42,31.3
2013-08-09,28,30.63
2013-08-16,26,30.37
2013-08-23,48,35.08
2013-08-30,25,36
2013-09-06,36,37.02
2013-09-13,50,38.28
2013-09-20,22,38.3
2013-09-27,24,37.98
2013-10-04,31,38.15
2013-10-11,28,39.26
2013-10-18,28,42.97
2013-10-25,31,42.77
2013-11-01,33,42.93
2013-11-08,33,42.41
2013-11-15,21,43.69
2013-11-22,45,39.37
2013-11-29,46,40.55
2013-12-06,41,41.05
2013-12-13,33,40.51
2013-12-20,38,39.66
2013-12-27,35,40.17
2014-01-03,35,40.68
2014-01-10,22,37.81
2014-01-17,100,24.43
2014-01-24,40,25.02
2014-01-31,47,23.54
2014-02-07,38,24.55
2014-02-14,38,24.78
2014-02-21,27,24.64
2014-02-28,51,26.63
2014-03-07,33,25.8
2014-03-14,22,25.7
2014-03-21,24,26.96
2014-03-28,18,26.07
2014-04-04,24,27.7
2014-04-11,31,25.51
2014-04-25,39,24.38
