"Date","General.Dynamics","Price"
2004-02-06,69,96.88
2004-02-13,62,95.94
2004-02-20,58,94.43
2004-02-27,97,92.12
2004-03-05,85,90.68
2004-03-12,75,87.91
2004-03-19,72,86.28
2004-03-26,49,87.5
2004-04-02,70,90.54
2004-04-16,52,92.36
2004-04-23,89,94.81
2004-04-30,68,93.62
2004-05-07,60,93.44
2004-05-14,63,95.19
2004-05-21,87,93.45
2004-05-28,74,95.63
2004-06-04,74,97.41
2004-06-18,60,99.68
2004-06-25,68,100.6
2004-07-02,65,97.56
2004-07-09,48,100.9
2004-07-16,65,97
2004-07-23,100,97.42
2004-07-30,85,98.82
2004-08-06,81,95.51
2004-08-13,65,94.56
2004-08-20,81,97.44
2004-08-27,54,98.39
2004-09-03,69,97.7
2004-09-10,68,97.28
2004-09-17,74,99.39
2004-09-24,77,99.76
2004-10-01,71,102.75
2004-10-08,83,100.15
2004-10-15,62,99.99
2004-10-22,73,100.01
2004-10-29,46,102.12
2004-11-05,68,106.85
2004-11-12,55,108.03
2004-11-19,60,106.44
2004-11-26,44,108.23
2004-12-03,49,109.83
2004-12-10,55,106.5
2004-12-17,70,106.35
2004-12-31,39,104.6
2005-01-07,53,99.81
2005-01-14,60,101.42
2005-01-21,47,100.51
2005-01-28,67,103.23
2005-02-04,50,103.91
2005-02-11,80,106.67
2005-02-18,72,106
2005-02-25,56,105.58
2005-03-04,64,105.83
2005-03-11,61,108.38
2005-03-18,54,106.1
2005-04-01,60,107.85
2005-04-08,62,108.05
2005-04-15,53,103.89
2005-04-22,55,103.5
2005-04-29,63,105.05
2005-05-06,62,106.48
2005-05-13,61,105.43
2005-05-20,53,108.1
2005-05-27,56,107.95
2005-06-03,55,108.26
2005-06-10,60,111.25
2005-06-17,55,112.04
2005-06-24,60,109.46
2005-07-01,41,109.95
2005-07-08,58,109.04
2005-07-15,73,112.31
2005-07-22,53,116.77
2005-07-29,60,115.19
2005-08-05,62,115.02
2005-08-12,60,113.59
2005-08-19,58,115.61
2005-08-26,55,114.85
2005-09-02,45,114.14
2005-09-09,40,116.35
2005-09-16,54,117.1
2005-09-23,56,119.94
2005-09-30,55,119.55
2005-10-07,58,119.59
2005-10-14,55,120.08
2005-10-21,41,116.54
2005-10-28,50,116.65
2005-11-04,45,116.38
2005-11-11,52,116.35
2005-11-18,50,117.21
2005-11-25,34,115.9
2005-12-02,46,113.55
2005-12-09,50,112.78
2005-12-16,79,114.43
2005-12-23,40,114.95
2005-12-30,39,114.05
2006-01-06,51,116.17
2006-01-13,54,117.2
2006-01-20,50,115.09
2006-01-27,56,118.5
2006-02-03,60,116.83
2006-02-10,60,119.89
2006-02-17,55,121.33
2006-02-24,61,121.9
2006-03-03,53,127.81
2006-03-10,57,126.3
2006-03-17,48,130.66
2006-03-24,57,131.27
2006-03-31,58,63.98
2006-04-07,47,64.94
2006-04-21,55,67.88
2006-04-28,55,65.62
2006-05-05,43,68.65
2006-05-12,48,65.2
2006-05-19,41,64.47
2006-05-26,46,62.7
2006-06-02,43,64.07
2006-06-09,58,63.37
2006-06-16,57,66.12
2006-06-23,49,65.4
2006-06-30,53,65.46
2006-07-07,47,66.52
2006-07-14,52,68.61
2006-07-21,63,67.44
2006-07-28,46,67.26
2006-08-04,57,67.76
2006-08-11,53,67.63
2006-08-18,48,68.76
2006-08-25,48,67.36
2006-09-01,49,68.16
2006-09-08,44,69.37
2006-09-15,46,71.69
2006-09-22,47,70.61
2006-09-29,52,71.67
2006-10-06,57,75.36
2006-10-13,50,76.09
2006-10-20,56,72.17
2006-10-27,48,70.91
2006-11-03,49,70.53
2006-11-10,47,70.35
2006-11-17,44,73.91
2006-11-24,27,73.65
2006-12-01,47,74.81
2006-12-08,41,74.14
2006-12-15,40,72.52
2006-12-22,39,73.98
2006-12-29,29,74.35
2007-01-05,43,74.59
2007-01-12,48,80.09
2007-01-19,52,79.53
2007-01-26,52,78.05
2007-02-02,47,78.67
2007-02-09,51,79.56
2007-02-16,42,79.25
2007-02-23,42,79.05
2007-03-02,52,75.46
2007-03-09,46,77.32
2007-03-16,45,77.55
2007-03-23,41,77.63
2007-03-30,45,76.4
2007-04-13,46,76.72
2007-04-20,46,79.55
2007-04-27,51,80.27
2007-05-04,45,79.69
2007-05-11,43,80.15
2007-05-18,42,81.26
2007-05-25,36,78.86
2007-06-01,39,79.88
2007-06-08,48,80.58
2007-06-15,43,80.25
2007-06-22,43,78.02
2007-06-29,43,78.22
2007-07-06,42,79.75
2007-07-13,42,79.98
2007-07-20,45,80.65
2007-07-27,43,79.33
2007-08-03,41,79.48
2007-08-10,48,77.31
2007-08-17,46,77.48
2007-08-24,45,79.2
2007-08-31,43,78.56
2007-09-07,37,78.14
2007-09-14,37,81.12
2007-09-21,45,82.96
2007-09-28,47,84.47
2007-10-05,42,84.06
2007-10-12,41,89.01
2007-10-19,42,85.47
2007-10-26,45,91.23
2007-11-02,37,90.13
2007-11-09,39,88.24
2007-11-16,41,89.75
2007-11-23,35,88.5
2007-11-30,41,88.78
2007-12-07,43,93.68
2007-12-14,39,91.44
2007-12-21,35,89.24
2007-12-28,24,89.05
2008-01-04,37,86
2008-01-11,40,86.56
2008-01-18,38,80.8
2008-01-25,49,81.13
2008-02-01,45,85.34
2008-02-08,43,83.37
2008-02-15,46,83.43
2008-02-22,48,83.65
2008-02-29,42,81.85
2008-03-07,41,82.81
2008-03-14,40,84.39
2008-03-28,40,83.36
2008-04-04,43,85.42
2008-04-11,43,83.65
