"Date","Hewlett.Packard","Price"
2004-02-06,57,23.78
2004-02-13,70,23.01
2004-02-20,66,23.13
2004-02-27,60,22.71
2004-03-05,51,22.74
2004-03-12,65,22.36
2004-03-19,51,21.63
2004-03-26,59,22.36
2004-04-02,62,23.08
2004-04-16,58,22
2004-04-23,55,21.67
2004-04-30,50,19.7
2004-05-07,61,20
2004-05-14,54,19.61
2004-05-21,49,20.82
2004-05-28,50,21.24
2004-06-04,52,21.26
2004-06-18,50,20.92
2004-06-25,48,20.81
2004-07-02,52,20.41
2004-07-09,51,20.13
2004-07-16,40,19.64
2004-07-23,53,19.58
2004-07-30,56,20.15
2004-08-06,43,19.9
2004-08-13,55,16.5
2004-08-20,48,18.11
2004-08-27,49,18.26
2004-09-03,66,17.7
2004-09-10,46,18.29
2004-09-17,51,18.11
2004-09-24,52,18.58
2004-10-01,55,19.12
2004-10-08,50,18.56
2004-10-15,43,18.21
2004-10-22,52,17.94
2004-10-29,47,18.66
2004-11-05,58,19.69
2004-11-12,51,19.34
2004-11-19,57,20.08
2004-11-26,50,20.17
2004-12-03,49,20.99
2004-12-10,56,20.81
2004-12-17,56,20.96
2004-12-31,49,20.97
2005-01-07,48,20.84
2005-01-14,44,20.07
2005-01-21,54,19.99
2005-01-28,53,19.34
2005-02-04,47,20.45
2005-02-11,60,21.3
2005-02-18,62,21
2005-02-25,57,20.66
2005-03-04,49,20.56
2005-03-11,54,19.94
2005-03-18,42,20.1
2005-04-01,50,21.71
2005-04-08,42,21.64
2005-04-15,39,20.84
2005-04-22,41,20.78
2005-04-29,41,20.47
2005-05-06,40,20.98
2005-05-13,41,20.62
2005-05-20,43,22.5
2005-05-27,43,22.77
2005-06-03,43,22.72
2005-06-10,40,23.5
2005-06-17,43,23.91
2005-06-24,36,23.8
2005-07-01,37,23.48
2005-07-08,34,24.28
2005-07-15,45,24.94
2005-07-22,42,24.18
2005-07-29,40,24.62
2005-08-05,36,24.68
2005-08-12,30,24.03
2005-08-19,39,26.49
2005-08-26,36,27.01
2005-09-02,37,27.6
2005-09-09,36,27.81
2005-09-16,38,28.34
2005-09-23,42,28.47
2005-09-30,35,29.2
2005-10-07,38,27.1
2005-10-14,34,27.54
2005-10-21,37,27.57
2005-10-28,31,27.96
2005-11-04,100,28.53
2005-11-11,42,28.52
2005-11-18,45,29.4
2005-11-25,42,29.73
2005-12-02,41,29.23
2005-12-09,35,29.92
2005-12-16,39,28.92
2005-12-23,33,28.77
2005-12-30,34,28.63
2006-01-06,42,30.24
2006-01-13,38,31.9
2006-01-20,36,31.74
2006-01-27,39,31.29
2006-02-03,35,30.56
2006-02-10,37,31.51
2006-02-17,34,34.07
2006-02-24,40,32.02
2006-03-03,34,33.26
2006-03-10,29,32.99
2006-03-17,35,34.16
2006-03-24,36,33.17
2006-03-31,26,32.9
2006-04-07,31,33.37
2006-04-21,35,32.96
2006-04-28,31,32.47
2006-05-05,33,33.87
2006-05-12,26,32.13
2006-05-19,36,32.02
2006-05-26,26,32.54
2006-06-02,24,32.4
2006-06-09,26,29.94
2006-06-16,23,33.04
2006-06-23,28,32.66
2006-06-30,27,31.68
2006-07-07,25,32.85
2006-07-14,28,30.76
2006-07-21,25,30.52
2006-07-28,29,32.11
2006-08-04,28,32.44
2006-08-11,29,33.05
2006-08-18,34,35.52
2006-08-25,30,35.23
2006-09-01,27,36.53
2006-09-08,37,36.17
2006-09-15,33,36.18
2006-09-22,38,35.11
2006-09-29,36,36.69
2006-10-06,28,37.72
2006-10-13,32,38.86
2006-10-20,28,39.38
2006-10-27,27,38.46
2006-11-03,30,38.22
2006-11-10,30,39.99
2006-11-17,28,39.77
2006-11-24,38,39.56
2006-12-01,30,39.44
2006-12-08,30,39.64
2006-12-15,33,39.94
2006-12-22,30,40.63
2006-12-29,28,41.19
2007-01-05,30,42.2
2007-01-12,33,43.53
2007-01-19,30,42
2007-01-26,32,41.69
2007-02-02,34,42.07
2007-02-09,29,42.23
2007-02-16,29,42.77
2007-02-23,29,40.82
2007-03-02,26,38.67
2007-03-09,26,40.11
2007-03-16,28,39.91
2007-03-23,28,40.43
2007-03-30,26,40.14
2007-04-13,25,41.18
2007-04-20,26,41.37
2007-04-27,24,42.29
2007-05-04,27,43.79
2007-05-11,26,45.24
2007-05-18,24,44.58
2007-05-25,24,45.62
2007-06-01,25,45.81
2007-06-08,25,45.78
2007-06-15,26,45.71
2007-06-22,23,45.18
2007-06-29,23,44.62
2007-07-06,23,45.98
2007-07-13,25,47.25
2007-07-20,22,48.54
2007-07-27,25,46.46
2007-08-03,25,47.41
2007-08-10,25,47.21
2007-08-17,31,47.15
2007-08-24,30,48.1
2007-08-31,26,49.35
2007-09-07,27,48.85
2007-09-14,24,48.38
2007-09-21,25,50.53
2007-09-28,23,49.79
2007-10-05,26,50.9
2007-10-12,26,51.55
2007-10-19,23,51.4
2007-10-26,23,52.47
2007-11-02,24,52.4
2007-11-09,21,48.39
2007-11-16,27,50.75
2007-11-23,26,49.17
2007-11-30,27,51.16
