"Date","Western.Union.Co","Price"
2009-02-06,79,12.84
2009-08-14,84,17.94
2009-12-04,63,18.14
2010-05-07,59,16.55
2010-07-30,62,16.23
2010-08-06,64,16.29
2010-08-13,67,15.98
2010-08-20,69,15.94
2010-08-27,72,16.03
2010-09-03,74,16.48
2010-09-10,62,16.36
2010-09-17,62,16.98
2010-09-24,57,17.55
2010-10-01,63,17.68
2010-10-08,69,17.74
2010-10-15,76,17.89
2010-10-22,64,17.9
2010-10-29,64,17.59
2010-11-05,64,18.24
2010-11-12,49,18.11
2010-11-19,73,18.09
2010-11-26,63,18.15
2010-12-03,63,18.25
2010-12-10,63,18.71
2010-12-17,63,18.28
2010-12-31,54,18.57
2011-01-07,53,19.19
2011-01-14,50,19.26
2011-01-21,50,19.31
2011-01-28,50,19.75
2011-02-04,58,20.96
2011-02-11,66,21.4
2011-02-18,75,21.66
2011-02-25,61,21.72
2011-03-04,65,21.72
2011-03-11,70,21.16
2011-03-18,74,21.09
2011-03-25,44,21.76
2011-04-01,44,20.77
2011-04-08,49,20.76
2011-04-15,66,21.05
2011-04-29,68,21.25
2011-05-06,88,20.72
2011-05-13,66,20.7
2011-05-20,57,20.6
2011-05-27,57,20.38
2011-06-03,58,19.8
2011-06-10,64,19.63
2011-06-17,78,19.73
2011-06-24,48,19.23
2011-07-01,48,20.24
2011-07-08,57,19.77
2011-07-15,75,19.09
2011-07-22,61,19.37
2011-07-29,52,19.41
2011-08-05,100,17.84
2011-08-12,51,16.93
2011-08-19,47,15.81
2011-08-26,79,16.26
2011-09-02,65,16
2011-09-09,51,15.55
2011-09-16,59,16.48
2011-09-23,63,15.1
2011-09-30,56,15.29
2011-10-07,56,15.82
2011-10-14,56,16.75
2011-10-21,47,17.19
2011-10-28,42,18.01
2011-11-04,80,17.36
2011-11-11,57,17.3
2011-11-18,53,16.2
2011-11-25,53,16.3
2011-12-02,60,17.55
2011-12-09,66,18.18
2011-12-16,70,17.78
2011-12-23,54,18.47
2011-12-30,53,18.26
2012-01-06,52,18.31
2012-01-13,70,18.83
2012-01-20,42,19.05
2012-01-27,52,19.16
2012-02-03,72,19.73
2012-02-10,59,17.59
2012-02-17,62,17.97
2012-02-24,41,17.88
2012-03-02,52,17.29
2012-03-09,63,17.67
2012-03-16,78,18.05
2012-03-23,65,17.93
2012-03-30,55,17.6
2012-04-13,71,17.56
2012-04-20,48,18
2012-04-27,37,18.57
2012-05-04,84,17.7
2012-05-11,54,17.12
2012-05-18,37,16.54
2012-05-25,62,16.9
2012-06-01,51,15.97
2012-06-08,47,16.2
2012-06-15,57,16.24
2012-06-22,57,16.74
2012-06-29,71,16.84
2012-07-06,59,16.83
2012-07-13,78,16.69
2012-07-20,54,16.76
2012-07-27,65,17.62
2012-08-03,76,17.26
2012-08-10,65,17.65
2012-08-17,62,17.69
2012-08-24,70,17.42
2012-08-31,86,17.61
2012-09-07,40,18.15
2012-09-14,55,19.11
2012-09-21,59,18.67
2012-09-28,54,18.22
2012-10-05,54,18.46
2012-10-12,72,17.88
2012-10-19,52,17.93
2012-10-26,49,17.93
2012-11-02,52,11.95
2012-11-09,49,12.35
2012-11-16,49,12.71
2012-11-23,46,12.8
2012-11-30,53,12.61
2012-12-07,44,13
2012-12-14,45,13.11
2012-12-21,46,13.59
2012-12-28,40,13.38
2013-01-04,48,14.02
2013-01-11,77,13.8
2013-01-18,33,13.41
2013-01-25,59,13.53
2013-02-01,70,14.38
2013-02-08,28,14.66
2013-02-15,42,14.4
2013-02-22,54,14.02
2013-03-01,57,14.26
2013-03-08,49,14.63
2013-03-15,27,14.67
2013-03-22,59,14.64
2013-04-05,50,14.32
2013-04-12,52,15.04
2013-04-19,57,14.47
2013-04-26,52,14.58
2013-05-03,50,15.64
2013-05-10,58,15.99
2013-05-17,46,16.65
2013-05-24,49,16.45
2013-05-31,35,16.38
2013-06-07,73,16.65
2013-06-14,85,17.02
2013-06-21,44,16.58
2013-06-28,41,17.11
2013-07-05,59,17.04
2013-07-12,67,17.47
2013-07-19,74,17.32
2013-07-26,59,16.96
2013-08-02,58,18.31
2013-08-09,67,18.46
2013-08-16,73,18.25
2013-08-23,74,18.3
2013-08-30,54,17.53
2013-09-06,63,18.06
2013-09-13,68,18.41
2013-09-20,47,18.64
2013-09-27,52,18.64
2013-10-04,62,18.78
2013-10-11,52,18.41
2013-10-18,49,18.66
2013-10-25,35,19.29
2013-11-01,57,17.48
2013-11-08,55,17.21
2013-11-15,71,16.7
2013-11-22,53,16.84
2013-11-29,55,16.67
2013-12-06,40,16.77
2013-12-13,58,16.37
2013-12-20,39,17.01
2013-12-27,59,17.2
2014-01-03,63,16.92
2014-01-10,37,16.77
2014-01-17,48,16.45
2014-01-24,43,15.74
2014-01-31,69,15.4
2014-02-07,57,15.63
2014-02-14,40,16.26
2014-02-21,47,16.04
2014-02-28,64,16.73
2014-03-07,50,16.72
2014-03-14,26,15.93
2014-03-21,66,16.2
2014-03-28,61,16.21
2014-04-04,42,16.38
2014-04-11,50,15.79
2014-04-25,27,15.55
