"Date","HAS","Price"
2004-02-06,46,20.69
2004-02-13,45,21.82
2004-02-20,43,21.69
2004-02-27,48,21.87
2004-03-05,46,22.57
2004-03-12,44,21.74
2004-03-19,44,22.21
2004-03-26,45,21.24
2004-04-02,46,22.68
2004-04-16,41,21.87
2004-04-23,45,20.7
2004-04-30,49,18.89
2004-05-07,45,18.5
2004-05-14,43,17.7
2004-05-21,46,19.04
2004-05-28,44,19.66
2004-06-04,40,19.1
2004-06-18,41,18.95
2004-06-25,41,19.35
2004-07-02,39,18.73
2004-07-09,38,17.98
2004-07-16,40,17.96
2004-07-23,39,17.96
2004-07-30,41,18.17
2004-08-06,41,17.61
2004-08-13,41,17.63
2004-08-20,40,17.88
2004-08-27,40,18.52
2004-09-03,40,18.94
2004-09-10,43,18.92
2004-09-17,45,18.4
2004-09-24,44,18.22
2004-10-01,44,18.97
2004-10-08,47,18.75
2004-10-15,46,18.46
2004-10-22,47,17.4
2004-10-29,48,17.69
2004-11-05,49,18.5
2004-11-12,46,19
2004-11-19,47,18.86
2004-11-26,43,18.98
2004-12-03,47,19.06
2004-12-10,48,17.97
2004-12-17,45,18.41
2004-12-31,34,19.38
2005-01-07,41,18.6
2005-01-14,44,18.66
2005-01-21,44,19.55
2005-01-28,44,18.8
2005-02-04,44,20.4
2005-02-11,47,20.3
2005-02-18,44,20.29
2005-02-25,46,20.93
2005-03-04,45,20.78
2005-03-11,44,20.8
2005-03-18,45,20.52
2005-04-01,45,20.4
2005-04-08,45,20.33
2005-04-15,45,19.29
2005-04-22,46,18.81
2005-04-29,45,18.92
2005-05-06,46,19.8
2005-05-13,45,19.75
2005-05-20,44,20.79
2005-05-27,44,20.32
2005-06-03,39,20.33
2005-06-10,41,20.03
2005-06-17,42,20.66
2005-06-24,42,20.15
2005-07-01,40,20.85
2005-07-08,38,21.57
2005-07-15,40,21.48
2005-07-22,40,21.3
2005-07-29,40,21.94
2005-08-05,39,21.23
2005-08-12,41,20.9
2005-08-19,39,20.43
2005-08-26,40,20.18
2005-09-02,40,20.39
2005-09-09,41,21.45
2005-09-16,43,21.8
2005-09-23,46,20.27
2005-09-30,42,19.65
2005-10-07,44,19.32
2005-10-14,45,18.72
2005-10-21,45,19.1
2005-10-28,46,18.94
2005-11-04,44,19.21
2005-11-11,45,19.72
2005-11-18,47,20.1
2005-11-25,43,20.63
2005-12-02,47,20.64
2005-12-09,47,20.32
2005-12-16,46,20.29
2005-12-23,41,20.36
2005-12-30,42,20.18
2006-01-06,43,19.99
2006-01-13,46,21.5
2006-01-20,47,21
2006-01-27,47,21.52
2006-02-03,47,20.75
2006-02-10,48,20.5
2006-02-17,46,20.26
2006-02-24,47,20.34
2006-03-03,46,20.59
2006-03-10,47,20.85
2006-03-17,44,20.9
2006-03-24,45,20.76
2006-03-31,46,21.1
2006-04-07,45,20.78
2006-04-21,47,20.93
2006-04-28,48,19.71
2006-05-05,49,19.93
2006-05-12,48,19.87
2006-05-19,46,19.33
2006-05-26,44,18.78
2006-06-02,42,18.84
2006-06-09,43,18.52
2006-06-16,43,18.11
2006-06-23,41,18.01
2006-06-30,39,18.11
2006-07-07,39,18.1
2006-07-14,41,17.51
2006-07-21,41,17.49
2006-07-28,39,19.01
2006-08-04,38,18.81
2006-08-11,38,18.55
2006-08-18,41,19.83
2006-08-25,39,19.57
2006-09-01,40,20.29
2006-09-08,41,20.79
2006-09-15,44,21.89
2006-09-22,43,21.92
2006-09-29,43,22.75
2006-10-06,42,22.62
2006-10-13,44,23.16
2006-10-20,44,23.3
2006-10-27,44,25.1
2006-11-03,44,27.01
2006-11-10,45,26.93
2006-11-17,45,26.83
2006-11-24,41,27.18
2006-12-01,43,26.45
2006-12-08,46,26.53
2006-12-15,44,27.01
2006-12-22,41,27.15
2006-12-29,36,27.25
2007-01-05,41,27.36
2007-01-12,41,27.9
2007-01-19,41,28.29
2007-01-26,43,28.26
2007-02-02,43,28.81
2007-02-09,43,28.38
2007-02-16,43,29.6
2007-02-23,42,29.31
2007-03-02,43,28.78
2007-03-09,44,29.61
2007-03-16,43,29.16
2007-03-23,42,29.83
2007-03-30,44,28.62
2007-04-13,44,30.15
2007-04-20,44,30.21
2007-04-27,45,31.41
2007-05-04,45,32.75
2007-05-11,44,32.94
2007-05-18,45,31.87
2007-05-25,44,32.43
2007-06-01,42,32.46
2007-06-08,44,31.23
2007-06-15,43,31.44
2007-06-22,41,31.3
2007-06-29,42,31.41
2007-07-06,41,32.49
2007-07-13,44,32.44
2007-07-20,45,32.56
2007-07-27,44,28.06
2007-08-03,43,27.65
2007-08-10,43,27.73
2007-08-17,43,27.51
2007-08-24,43,29.09
2007-08-31,44,28.21
2007-09-07,44,26.22
2007-09-14,48,27.65
2007-09-21,48,28.55
2007-09-28,48,27.88
2007-10-05,46,29.13
2007-10-12,49,29
2007-10-19,48,28.41
2007-10-26,48,29.05
2007-11-02,48,28.81
2007-11-09,47,25.96
2007-11-16,50,27.45
2007-11-23,50,27.01
2007-11-30,55,27.77
2007-12-07,55,26.77
2007-12-14,47,25.71
2007-12-21,45,25.95
2007-12-28,41,25.91
2008-01-04,44,23.74
2008-01-11,49,22.34
2008-01-18,49,22.83
2008-01-25,49,23.95
2008-02-01,50,26.13
2008-02-08,50,25.87
2008-02-15,50,26.77
2008-02-22,51,26.86
2008-02-29,50,25.77
2008-03-07,51,25.88
2008-03-14,50,26.42
2008-03-28,50,28.17
2008-04-04,52,30.33
2008-04-11,53,29.69
2008-04-18,52,31.55
2008-04-25,56,34.99
2008-05-02,57,35.71
2008-05-09,53,35.58
2008-05-16,53,36.26
2008-05-23,52,34.31
2008-05-30,50,36.24
2008-06-06,53,37.51
2008-06-13,52,39
2008-06-20,52,37.19
2008-06-27,51,35.14
2008-07-11,49,34.85
2008-07-18,51,37.99
2008-07-25,51,40.41
2008-08-01,50,38.76
2008-08-08,50,40.8
2008-08-15,52,39.69
2008-08-22,51,36.62
2008-08-29,50,37.4
2008-09-05,51,37.02
2008-09-12,54,37.88
2008-09-19,55,36.55
2008-09-26,54,35.66
2008-10-03,53,32.84
2008-10-10,55,30
2008-10-17,56,30.12
2008-10-24,56,26.11
2008-10-31,56,29.09
2008-11-07,59,27.73
2008-11-14,59,26.94
2008-11-21,58,24.44
2008-11-28,52,26.8
2008-12-05,57,27.84
2008-12-12,59,27.04
2008-12-19,53,29.17
2008-12-26,49,29.04
2009-01-02,51,29.6
2009-01-09,55,27.98
2009-01-16,56,26.89
2009-01-23,57,25.84
2009-01-30,60,24.13
