"Date","USB","Price"
2004-02-06,80,27.86
2004-02-13,74,27.5
2004-02-20,78,28.03
2004-02-27,78,28.53
2004-03-05,77,29.36
2004-03-12,76,28.22
2004-03-19,75,27.66
2004-03-26,72,27.6
2004-04-02,71,27.01
2004-04-16,73,26.3
2004-04-23,70,26.14
2004-04-30,70,25.64
2004-05-07,69,25.45
2004-05-14,69,26.41
2004-05-21,70,26.94
2004-05-28,71,28.1
2004-06-04,72,28.37
2004-06-18,72,28.32
2004-06-25,72,27.79
2004-07-02,71,28.11
2004-07-09,74,27.86
2004-07-16,75,27.99
2004-07-23,74,27.8
2004-07-30,74,28.3
2004-08-06,75,28.15
2004-08-13,73,28.76
2004-08-20,75,28.85
2004-08-27,75,29.32
2004-09-03,77,29.54
2004-09-10,78,29.41
2004-09-17,78,29.24
2004-09-24,76,28.59
2004-10-01,77,29.27
2004-10-08,77,29.42
2004-10-15,78,29.37
2004-10-22,76,27.86
2004-10-29,78,28.61
2004-11-05,77,29.77
2004-11-12,77,30.48
2004-11-19,77,29.6
2004-11-26,82,29.94
2004-12-03,82,29.67
2004-12-10,79,29.4
2004-12-17,83,29.9
2004-12-31,100,31.32
2005-01-07,86,30.45
2005-01-14,88,30.19
2005-01-21,83,29.96
2005-01-28,79,29.8
2005-02-04,78,30.46
2005-02-11,77,30.3
2005-02-18,76,29.41
2005-02-25,75,29.85
2005-03-04,75,29.65
2005-03-11,75,29.56
2005-03-18,72,29.29
2005-04-01,71,28.5
2005-04-08,71,28.38
2005-04-15,68,27.97
2005-04-22,68,27.2
2005-04-29,67,27.9
2005-05-06,67,28.42
2005-05-13,67,28.27
2005-05-20,68,29.75
2005-05-27,66,29.53
2005-06-03,65,29.27
2005-06-10,65,29.1
2005-06-17,67,29.52
2005-06-24,66,29.14
2005-07-01,67,29.05
2005-07-08,67,29.27
2005-07-15,67,30.64
2005-07-22,65,30.59
2005-07-29,65,30.06
2005-08-05,68,29.65
2005-08-12,66,30.22
2005-08-19,69,29.9
2005-08-26,68,29.11
2005-09-02,68,29.75
2005-09-09,67,29.88
2005-09-16,67,29.95
2005-09-23,68,29.09
2005-09-30,65,28.08
2005-10-07,68,27.88
2005-10-14,67,27.96
2005-10-21,65,28.93
2005-10-28,67,29.57
2005-11-04,65,28.69
2005-11-11,66,30.37
2005-11-18,66,30
2005-11-25,69,30.72
2005-12-02,68,30.48
2005-12-09,73,30.14
2005-12-16,70,30.92
2005-12-23,75,30.9
2005-12-30,89,29.89
2006-01-06,75,30.78
2006-01-13,72,30.59
2006-01-20,69,29.03
2006-01-27,69,29.77
2006-02-03,67,29.3
2006-02-10,66,29.96
2006-02-17,62,30.47
2006-02-24,63,30.93
2006-03-03,64,30.4
2006-03-10,64,30.68
2006-03-17,62,31.16
2006-03-24,59,30.9
2006-03-31,59,30.5
2006-04-07,58,30.5
2006-04-21,58,30.53
2006-04-28,55,31.44
2006-05-05,56,31.36
2006-05-12,56,31.37
2006-05-19,57,31.1
2006-05-26,56,31.03
2006-06-02,59,31.68
2006-06-09,57,31.58
2006-06-16,56,31.28
2006-06-23,56,31.02
2006-06-30,55,30.88
2006-07-07,56,30.99
