"Date","sell.MAC","Price"
2006-02-10,52,69.95
2006-04-21,56,73.66
2006-04-28,45,73.22
2006-05-05,45,74.05
2006-05-12,45,70.8
2006-05-19,45,69.44
2006-05-26,45,69.53
2006-09-08,41,73.7
2006-12-01,45,85.74
2006-12-08,46,85.13
2006-12-15,47,83.38
2006-12-22,48,82.57
2006-12-29,49,86.57
2007-01-05,36,85.76
2007-01-12,36,90.55
2007-01-19,36,92.48
2007-01-26,37,93.46
2007-02-02,38,96.6
2007-02-09,40,100.1
2007-02-16,38,98.25
2007-02-23,40,96.24
2007-03-02,42,91.96
2007-03-09,44,93.14
2007-03-16,46,90.67
2007-03-23,30,93.43
2007-03-30,30,92.36
2007-04-13,30,94.28
2007-04-20,30,95.79
2007-04-27,30,96.05
2007-05-04,30,93.76
2007-05-11,43,93.03
2007-05-18,27,85.65
2007-05-25,27,84.08
2007-06-01,36,89.39
2007-06-08,36,87.31
2007-06-15,30,85.94
2007-06-22,42,83.1
2007-06-29,36,82.42
2007-07-06,42,85.61
2007-07-13,27,84.71
2007-07-20,28,80.33
2007-07-27,38,73.14
2007-08-03,41,74.78
2007-08-10,63,78.94
2007-08-17,46,81.11
2007-08-24,26,81.16
2007-08-31,41,81.22
2007-09-07,25,79.87
2007-09-14,37,82.77
2007-09-21,47,84.43
2007-09-28,29,87.58
2007-10-05,24,91.78
2007-10-12,26,90.88
2007-10-19,28,85.15
2007-10-26,30,85.31
2007-11-02,38,82.08
2007-11-09,54,78.54
2007-11-16,30,78.96
2007-11-23,30,75.8
2007-11-30,44,77.65
2007-12-07,36,80.1
2007-12-14,33,74.61
2007-12-21,28,73.86
2007-12-28,39,70.63
2008-01-04,51,64.86
2008-01-11,30,61.52
2008-01-18,35,58.91
2008-01-25,35,66.03
2008-02-01,27,72.13
2008-02-08,46,64.07
2008-02-15,35,65.56
2008-02-22,22,64.15
2008-02-29,42,64
2008-03-07,50,61.17
2008-03-14,54,61.6
2008-03-28,44,68.57
2008-04-04,45,72.85
2008-04-11,27,69.85
2008-04-18,31,73.27
2008-04-25,20,74.75
2008-05-02,26,75.15
2008-05-09,34,73.15
2008-05-16,35,73.74
2008-05-23,27,69.97
2008-05-30,35,71.53
2008-06-06,32,69.45
2008-06-13,35,67.25
2008-06-20,30,66.18
2008-06-27,48,62.1
2008-07-11,62,57.49
2008-07-18,62,56.62
2008-07-25,56,55.69
2008-08-01,57,55.42
2008-08-08,44,60.93
2008-08-15,45,62.6
2008-08-22,59,58.58
2008-08-29,46,61.93
2008-09-05,42,64.11
2008-09-12,57,65.39
2008-09-19,66,67.81
2008-09-26,46,65.1
2008-10-03,41,48.12
2008-10-10,62,43
2008-10-17,58,33.7
2008-10-24,35,22.09
2008-10-31,36,29.42
2008-11-07,42,29.26
2008-11-14,38,17.11
2008-11-21,36,10.75
2008-11-28,50,13.46
2008-12-05,44,10.93
2008-12-12,40,14.29
