"Date","PM","Price"
2008-03-28,68,51.06
2008-04-04,71,51.37
2008-04-11,66,48.33
2008-04-18,69,49.96
2008-04-25,66,51.3
2008-05-02,67,51.02
2008-05-09,68,51.83
2008-05-16,67,53.38
2008-05-23,67,51.8
2008-05-30,69,52.66
2008-06-06,65,50.5
2008-06-13,69,51.61
2008-06-20,76,50.22
2008-06-27,69,49.83
2008-07-11,75,53.37
2008-07-18,68,50.72
2008-07-25,74,53.05
2008-08-01,69,52.08
2008-08-08,70,55.21
2008-08-15,67,55.57
2008-08-22,72,55.53
2008-08-29,69,53.7
2008-09-05,72,54
2008-09-12,74,53.68
2008-09-19,76,51.42
2008-09-26,69,50.9
2008-10-03,73,49.67
2008-10-10,74,39.74
2008-10-17,72,43.3
2008-10-24,78,40.5
2008-10-31,74,43.47
2008-11-07,70,42.2
2008-11-14,67,38.41
2008-11-21,68,38.26
2008-11-28,72,42.16
2008-12-05,73,42.36
2008-12-12,76,41.36
2008-12-19,74,41.85
2008-12-26,64,42.46
2009-01-02,65,44.12
2009-01-09,74,42.32
2009-01-16,74,42.12
2009-01-23,77,41.22
2009-01-30,79,37.15
2009-02-06,74,36.83
2009-02-13,74,35.99
2009-02-20,72,35.63
2009-02-27,73,33.47
2009-03-06,80,33.34
2009-03-13,79,36.01
2009-03-20,82,38.36
2009-03-27,75,37.58
2009-04-03,73,36.2
2009-04-17,73,37.32
2009-04-24,77,37.43
2009-05-01,71,37.18
2009-05-08,73,41.1
2009-05-15,77,43.17
2009-05-22,71,42.71
2009-05-29,73,42.64
2009-06-05,70,44.1
2009-06-12,73,43.52
2009-06-19,74,42.15
2009-06-26,69,42.61
2009-07-10,72,42.35
2009-07-17,69,44
2009-07-24,72,47.3
2009-07-31,75,46.6
2009-08-07,75,47.06
2009-08-14,76,46.62
2009-08-21,74,46.87
2009-08-28,75,45.36
2009-09-04,82,46.05
2009-09-11,81,47.42
2009-09-18,81,48.18
2009-09-25,82,47.64
2009-10-02,78,48.36
2009-10-09,80,50.19
2009-10-16,77,50.95
2009-10-23,78,49.07
2009-10-30,75,47.36
2009-11-06,75,48.83
2009-11-13,78,50.15
2009-11-20,87,49.73
2009-11-27,82,49.99
2009-12-04,77,49.82
2009-12-11,74,48.48
2009-12-18,79,48.66
2010-01-08,77,49.26
2010-01-15,76,49.62
2010-01-22,79,46.81
2010-01-29,74,45.51
2010-02-05,79,45.66
2010-02-12,79,49.29
2010-02-19,71,49.98
2010-02-26,77,48.98
2010-03-05,78,51.25
2010-03-12,76,50.14
2010-03-19,78,52.68
2010-03-26,77,52.12
2010-04-09,78,52.75
2010-04-16,75,50.74
2010-04-23,79,51.14
2010-04-30,79,49.08
2010-05-07,79,46.42
2010-05-14,80,46.56
2010-05-21,76,44.26
2010-05-28,74,44.12
2010-06-04,76,43.74
2010-06-11,76,44.35
2010-06-18,76,45.91
2010-06-25,80,45.9
2010-07-02,76,46.45
2010-07-09,72,48.59
2010-07-16,75,49.67
2010-07-23,76,50.66
2010-07-30,74,51.04
2010-08-06,73,52.19
2010-08-13,70,51.99
2010-08-20,76,51.98
2010-08-27,74,51.44
2010-09-03,74,54.04
2010-09-10,74,54.6
2010-09-17,73,55.12
2010-09-24,73,56.1
2010-10-01,75,55.55
2010-10-08,74,56.63
2010-10-15,71,58.54
2010-10-22,73,58.13
2010-10-29,75,58.51
2010-11-05,73,60.44
2010-11-12,76,59.64
2010-11-19,77,59.81
2010-11-26,74,58.78
2010-12-03,75,58.12
2010-12-10,72,59
2010-12-17,71,59.69
2010-12-31,66,58.53
