"Date","Wal.Mart.Stores","Price"
2004-02-06,72,57.58
2004-02-13,54,56.32
2004-02-20,42,59.43
2004-02-27,58,59.56
2004-03-05,75,60.24
2004-03-12,51,58.48
2004-03-19,51,58.6
2004-03-26,51,59.41
2004-04-02,51,58.6
2004-04-16,50,58.44
2004-04-23,50,58.97
2004-04-30,46,57
2004-05-07,62,53.9
2004-05-14,45,55.06
2004-05-21,38,55.09
2004-05-28,64,55.73
2004-06-04,49,56.59
2004-06-18,41,55.62
2004-06-25,48,52.51
2004-07-02,54,51.93
2004-07-09,59,51.76
2004-07-16,58,52.65
2004-07-23,58,53.16
2004-07-30,94,53.01
2004-08-06,66,51.33
2004-08-13,42,53.4
2004-08-20,45,54.65
2004-08-27,46,53.56
2004-09-03,46,53.25
2004-09-10,53,53.45
2004-09-17,53,52.48
2004-09-24,49,52.81
2004-10-01,52,53.13
2004-10-08,43,52.85
2004-10-15,51,52.53
2004-10-22,35,51.99
2004-10-29,66,53.92
2004-11-05,35,56.47
2004-11-12,55,56.85
2004-11-19,60,55.25
2004-11-26,51,55.32
2004-12-03,83,52.93
2004-12-10,48,52.71
2004-12-17,58,52.02
2004-12-31,55,52.82
2005-01-07,51,53.99
2005-01-14,39,53.99
2005-01-21,30,53.01
2005-01-28,30,52.43
2005-02-04,46,53.46
2005-02-11,44,52.1
2005-02-18,48,52.72
2005-02-25,48,51.49
2005-03-04,38,53.1
2005-03-11,46,51.6
2005-03-18,48,51.45
2005-04-01,56,48.99
2005-04-08,43,48.57
2005-04-15,43,47.7
2005-04-22,46,46.81
2005-04-29,47,47.14
2005-05-06,49,48.96
2005-05-13,38,47.13
2005-05-20,34,47.18
2005-05-27,50,47.27
2005-06-03,37,47.35
2005-06-10,29,47.98
2005-06-17,37,48.93
2005-06-24,35,47.37
2005-07-01,33,48.28
2005-07-08,46,49.9
2005-07-15,35,50.25
2005-07-22,50,49.54
2005-07-29,40,49.35
2005-08-05,60,49.32
2005-08-12,42,48.7
2005-08-19,52,46.58
2005-08-26,47,45.7
2005-09-02,42,44.55
2005-09-09,64,45.89
2005-09-16,36,43.87
2005-09-23,46,43.2
2005-09-30,48,43.82
2005-10-07,42,44.03
2005-10-14,27,45.04
2005-10-21,39,45.72
2005-10-28,59,45.5
2005-11-04,43,47.69
2005-11-11,58,49
2005-11-18,45,49.5
2005-11-25,75,50.49
2005-12-02,64,47.97
2005-12-09,85,48.08
2005-12-16,79,49.27
2005-12-23,45,48.34
2005-12-30,48,46.8
2006-01-06,48,45.88
2006-01-13,31,45.4
2006-01-20,39,45
2006-01-27,50,45.84
2006-02-03,35,45.49
2006-02-10,51,45.75
2006-02-17,37,46.1
2006-02-24,49,45.45
2006-03-03,54,45.33
2006-03-10,49,45.33
2006-03-17,42,46.69
2006-03-24,45,48.19
2006-03-31,43,47.24
2006-04-07,60,46.02
2006-04-21,42,45.82
2006-04-28,35,45.03
2006-05-05,34,47.25
2006-05-12,48,46.54
2006-05-19,38,47.32
2006-05-26,33,49.65
2006-06-02,26,47.83
2006-06-09,35,47.13
2006-06-16,44,48.31
2006-06-23,34,47.94
2006-06-30,37,48.17
2006-07-07,40,46
2006-07-14,52,43.05
2006-07-21,57,43.72
2006-07-28,42,44.46
2006-08-04,46,44.87
2006-08-11,44,44.69
2006-08-18,40,44.49
2006-08-25,37,43.88
2006-09-01,33,45.45
2006-09-08,31,46.72
2006-09-15,54,48.22
2006-09-22,41,48.29
2006-09-29,61,49.32
2006-10-06,39,48.32
2006-10-13,50,48.46
2006-10-20,49,49.37
2006-10-27,46,50.73
2006-11-03,47,47.53
2006-11-10,52,46.47
2006-11-17,50,47.5
2006-11-24,49,47.9
2006-12-01,54,45.87
2006-12-08,36,46.35
2006-12-15,37,46.45
2006-12-22,48,45.54
2006-12-29,48,46.18
2007-01-05,30,47.39
2007-01-12,36,47.98
2007-01-19,29,48.31
2007-01-26,32,47.67
2007-02-02,25,48.08
2007-02-09,37,47.97
2007-02-16,36,48.48
2007-02-23,23,49.57
2007-03-02,36,47.81
2007-03-09,38,47.42
2007-03-16,29,46.21
2007-03-23,36,47.91
2007-03-30,32,46.95
2007-04-13,28,47.41
2007-04-20,27,49.76
2007-04-27,37,48.34
2007-05-04,33,48.27
2007-05-11,30,47.78
2007-05-18,35,47.27
2007-05-25,31,46.91
2007-06-01,23,49.47
2007-06-08,32,50.08
2007-06-15,28,49.34
2007-06-22,24,47.83
2007-06-29,28,48.11
2007-07-06,28,48.39
2007-07-13,21,49.15
2007-07-20,48,48.06
2007-07-27,40,45.94
2007-08-03,37,45.52
2007-08-10,38,46.07
2007-08-17,35,43.49
2007-08-24,25,43.74
2007-08-31,31,43.63
2007-09-07,18,42.39
2007-09-14,30,43.32
2007-09-21,36,44.23
2007-09-28,45,43.65
2007-10-05,40,45.37
2007-10-12,37,47.06
2007-10-19,41,44.98
2007-10-26,36,44.64
2007-11-02,43,44.19
2007-11-09,35,42.9
2007-11-16,38,46.34
2007-11-23,40,45.73
2007-11-30,51,47.9
2007-12-07,43,49.02
2007-12-14,44,47.63
2007-12-21,47,48.21
2007-12-28,55,48.08
2008-01-04,32,45.72
2008-01-11,33,47.72
2008-01-18,23,47.58
2008-01-25,29,48.09
2008-02-01,34,51.18
2008-02-08,37,48.76
2008-02-15,31,49.44
2008-02-22,36,49.97
2008-02-29,35,49.59
2008-03-07,33,49.9
2008-03-14,27,49.82
2008-03-28,33,52.12
2008-04-04,29,54.4
2008-04-11,33,54.8
2008-04-18,33,56.31
2008-04-25,35,57.65
2008-05-02,35,57.5
2008-05-09,35,57.18
2008-05-16,29,57.04
2008-05-23,24,55.75
2008-05-30,28,57.74
2008-06-06,29,58.37
2008-06-13,17,59.18
2008-06-20,26,56.26
2008-06-27,27,56.3
2008-07-11,25,56.29
2008-07-18,31,57.92
