"Date","Michael.Kors","Price"
2011-12-16,32,24.1
2011-12-23,32,27
2011-12-30,37,27.25
2012-01-06,24,26
2012-01-13,22,26.56
2012-01-20,21,29.35
2012-01-27,21,29.85
2012-02-03,22,32.51
2012-02-10,24,33.47
2012-02-17,25,41.82
2012-02-24,23,41.51
2012-03-02,23,47.95
2012-03-09,23,49.59
2012-03-16,23,46.28
2012-03-23,23,47
2012-03-30,23,46.59
2012-04-13,23,43.62
2012-04-20,23,41.28
2012-04-27,25,45.9
2012-05-04,27,43.8
2012-05-11,28,40.62
2012-05-18,26,37.55
2012-05-25,24,41.2
2012-06-01,25,37.76
2012-06-08,25,38.37
2012-06-15,25,39.25
2012-06-22,25,42.86
2012-06-29,25,41.84
2012-07-06,25,43.54
2012-07-13,26,39.4
2012-07-20,27,39.98
2012-07-27,27,41.33
2012-08-03,29,41.19
2012-08-10,29,42.32
2012-08-17,31,52.09
2012-08-24,32,53.92
2012-08-31,30,53.95
2012-09-07,31,56.03
2012-09-14,31,53.59
2012-09-21,31,57.35
2012-09-28,30,53.18
2012-10-05,30,53.46
2012-10-12,29,52.98
2012-10-19,30,55.05
2012-10-26,30,54.49
2012-11-02,28,56.2
2012-11-09,33,50.43
2012-11-16,42,50.32
2012-11-23,50,51.47
2012-11-30,51,53.15
2012-12-07,49,51.6
2012-12-14,49,49.88
2012-12-21,54,53.49
2012-12-28,70,49.18
2013-01-04,44,52.23
2013-01-11,37,52.94
2013-01-18,33,54.48
2013-01-25,34,58.08
2013-02-01,34,55.72
2013-02-08,36,57.1
2013-02-15,39,63.27
2013-02-22,36,59.11
2013-03-01,35,59.23
2013-03-08,35,58.19
2013-03-15,37,57.38
2013-03-22,37,55.61
2013-04-05,37,54.98
2013-04-12,36,56
2013-04-19,37,53.08
2013-04-26,40,56.12
2013-05-03,41,58.04
2013-05-10,42,60.36
2013-05-17,39,60.61
2013-05-24,36,60.09
2013-05-31,36,62.82
2013-06-07,35,62.69
2013-06-14,37,60.8
2013-06-21,34,59.18
2013-06-28,36,62.02
2013-07-05,35,62.97
2013-07-12,37,63.82
2013-07-19,37,62.12
2013-07-26,37,64.83
2013-08-02,39,68.8
2013-08-09,42,72.05
2013-08-16,44,70.2
2013-08-23,42,72.57
2013-08-30,41,74.09
2013-09-06,44,75.7
2013-09-13,43,74.03
2013-09-20,45,75.98
2013-09-27,42,74.45
2013-10-04,41,76.35
2013-10-11,43,72.88
2013-10-18,44,75.24
2013-10-25,43,76.24
2013-11-01,44,75.43
2013-11-08,48,79.4
2013-11-15,55,82.73
2013-11-22,56,80.64
2013-11-29,73,81.55
2013-12-06,77,79.68
2013-12-13,75,82.27
2013-12-20,78,83.88
2013-12-27,100,80.58
2014-01-03,66,82.51
2014-01-10,53,79.8
2014-01-17,48,77.03
2014-01-24,47,80.07
2014-01-31,45,79.93
2014-02-07,47,94.22
2014-02-14,55,98.46
2014-02-21,51,97.56
2014-02-28,49,98.03
2014-03-07,47,98.28
2014-03-14,47,98.12
2014-03-21,48,97.46
2014-03-28,50,92.75
2014-04-04,45,89.54
2014-04-11,46,86.87
2014-04-25,49,89.88
