"Date","buy.COST","Price"
2004-02-06,50,38.14
2004-02-13,65,37.61
2004-02-20,51,38.18
2004-02-27,43,38.86
2004-03-05,75,38.15
2004-03-12,35,38.3
2004-03-19,65,37.23
2004-03-26,48,36.62
2004-04-02,56,37.7
2004-04-16,72,38.08
2004-04-23,74,38.54
2004-04-30,61,37.5
2004-05-07,67,35.66
2004-05-14,63,35.85
2004-05-21,61,36.54
2004-05-28,54,37.9
2004-06-04,51,39.05
2004-06-18,49,42.02
2004-06-25,48,41.82
2004-07-02,61,40.68
2004-07-09,55,40.2
2004-07-16,42,40.62
2004-07-23,59,40.67
2004-07-30,58,40.71
2004-08-06,49,39.74
2004-08-13,40,40.73
2004-08-20,49,42.4
2004-08-27,43,42.05
2004-09-03,36,40.6
2004-09-10,49,40.54
2004-09-17,49,41.26
2004-09-24,42,41.35
2004-10-01,65,42.29
2004-10-08,49,44.69
2004-10-15,42,45.6
2004-10-22,47,45.73
2004-10-29,42,47.94
2004-11-05,52,49.55
2004-11-12,59,49.12
2004-11-19,62,47.48
2004-11-26,49,49.64
2004-12-03,62,47.92
2004-12-10,51,47.52
2004-12-17,48,47.79
2004-12-31,57,48.41
2005-01-07,51,47.49
2005-01-14,57,48.27
2005-01-21,48,46.51
2005-01-28,51,47.29
2005-02-04,58,46.18
2005-02-11,64,46.44
2005-02-18,54,45.8
2005-02-25,54,46.57
2005-03-04,46,44.76
2005-03-11,50,44.94
2005-03-18,58,43.7
2005-04-01,41,43.79
2005-04-08,55,46.18
2005-04-15,56,44.86
2005-04-22,60,40.17
2005-04-29,69,40.63
2005-05-06,56,42.88
2005-05-13,56,42.04
2005-05-20,48,44.96
2005-05-27,48,45.3
2005-06-03,52,46.12
2005-06-10,58,45.81
2005-06-17,39,46.59
2005-06-24,41,44.92
2005-07-01,46,44.93
2005-07-08,54,45.55
2005-07-15,44,46.45
2005-07-22,49,45.95
2005-07-29,49,45.97
2005-08-05,51,43.67
2005-08-12,47,42.82
2005-08-19,52,44.26
2005-08-26,41,43.12
2005-09-02,55,43.16
2005-09-09,51,43.04
2005-09-16,52,43.19
2005-09-23,46,42.82
2005-09-30,57,43.09
2005-10-07,50,45.64
2005-10-14,48,46.46
2005-10-21,51,47.76
2005-10-28,51,47.34
2005-11-04,48,49.08
2005-11-11,51,50.14
2005-11-18,55,49.81
2005-11-25,50,50.58
2005-12-02,55,49.34
2005-12-09,64,48.55
2005-12-16,52,48.75
2005-12-23,53,49.98
2005-12-30,43,49.47
2006-01-06,46,49.85
2006-01-13,41,51
2006-01-20,44,49.69
2006-01-27,53,50.05
2006-02-03,52,49.45
2006-02-10,47,49.74
2006-02-17,49,50.98
2006-02-24,46,50.69
2006-03-03,45,53.52
2006-03-10,43,53.97
2006-03-17,45,55.88
2006-03-24,50,54.64
2006-03-31,49,54.16
2006-04-07,46,55.7
2006-04-21,53,53.97
2006-04-28,54,54.43
2006-05-05,54,56.7
2006-05-12,55,55.23
2006-05-19,49,54.2
2006-05-26,52,54.43
2006-06-02,43,53.45
2006-06-09,54,53.04
2006-06-16,48,53.75
2006-06-23,47,55.5
2006-06-30,43,57.13
2006-07-07,48,56.16
2006-07-14,39,53.52
2006-07-21,48,52.56
2006-07-28,50,51.87
2006-08-04,51,51.78
2006-08-11,43,50.75
2006-08-18,50,52.55
2006-08-25,47,48.59
2006-09-01,40,47.35
2006-09-08,49,48.07
2006-09-15,44,49.82
2006-09-22,38,49.89
2006-09-29,50,49.68
2006-10-06,42,49.48
2006-10-13,43,53.2
2006-10-20,50,51.69
2006-10-27,43,53.01
2006-11-03,44,51.82
2006-11-10,41,52.9
2006-11-17,49,53.4
2006-11-24,48,53.51
2006-12-01,59,52.2
2006-12-08,46,53.69
2006-12-15,48,53.73
2006-12-22,46,52.2
2006-12-29,46,52.87
2007-01-05,47,53.41
2007-01-12,47,55.95
2007-01-19,44,56.77
2007-01-26,52,55.36
2007-02-02,48,56.01
2007-02-09,47,55.98
2007-02-16,45,57.8
2007-02-23,48,57.47
2007-03-02,45,55.75
2007-03-09,47,54.34
2007-03-16,39,52.98
2007-03-23,42,54.56
2007-03-30,51,53.84
2007-04-13,44,54.16
2007-04-20,45,55.12
2007-04-27,50,54.46
2007-05-04,46,53.79
2007-05-11,50,54.97
2007-05-18,53,56.41
2007-05-25,49,56.4
2007-06-01,50,56.29
2007-06-08,48,56.01
2007-06-15,52,56.09
2007-06-22,52,57.17
2007-06-29,57,58.52
2007-07-06,49,61.44
2007-07-13,54,62.98
2007-07-20,50,61.25
2007-07-27,54,58.57
2007-08-03,52,60.49
2007-08-10,49,63.25
2007-08-17,49,58.37
2007-08-24,45,61.68
2007-08-31,49,61.75
2007-09-07,43,57
2007-09-14,44,59.96
2007-09-21,52,60.72
2007-09-28,44,61.37
2007-10-05,52,63.27
2007-10-12,46,68
2007-10-19,53,65.7
2007-10-26,50,65.53
2007-11-02,48,65.58
2007-11-09,51,65.29
2007-11-16,57,66.8
2007-11-23,56,66.97
2007-11-30,70,67.4
2007-12-07,67,71.83
2007-12-14,54,68.49
2007-12-21,51,70.08
2007-12-28,48,70.22
2008-01-04,62,65.65
2008-01-11,56,66.43
2008-01-18,57,64.53
2008-01-25,58,65.46
2008-02-01,55,67.79
2008-02-08,56,63.24
2008-02-15,58,63.92
2008-02-22,57,66.02
2008-02-29,58,61.92
2008-03-07,61,60.3
2008-03-14,53,60.86
2008-03-28,60,64.37
2008-04-04,61,66.45
2008-04-11,56,65.7
2008-04-18,64,69.43
2008-04-25,67,71.54
2008-05-02,67,72.14
2008-05-09,64,71.44
2008-05-16,52,73.27
2008-05-23,64,71.32
2008-05-30,60,71.32
2008-06-06,62,71.19
2008-06-13,65,70.32
2008-06-20,64,68.73
2008-06-27,59,70.26
2008-07-11,69,69.83
2008-07-18,63,72.23
2008-07-25,66,61.76
2008-08-01,69,62.2
2008-08-08,64,66.99
2008-08-15,69,68
2008-08-22,57,67.43
2008-08-29,65,67.06
2008-09-05,54,68.44
2008-09-12,58,69.55
2008-09-19,62,66.09
2008-09-26,63,66.29
2008-10-03,59,62.6
2008-10-10,60,53.9
2008-10-17,57,57.98
2008-10-24,59,50.93
2008-10-31,65,57.01
2008-11-07,62,54.07
2008-11-14,69,48.06
2008-11-21,65,46.71
2008-11-28,65,51.47
2008-12-05,68,55.58
2008-12-12,70,53.4
2008-12-19,58,53.79
2008-12-26,62,51.47
2009-01-02,69,53.35
2009-01-09,63,49.14
2009-01-16,65,48.8
2009-01-23,65,46.97
2009-01-30,69,45.03
2009-02-06,64,45.21
2009-02-13,64,42.76
2009-02-20,63,42.76
2009-02-27,75,42.34
2009-03-06,72,38.98
2009-03-13,73,42.2
2009-03-20,75,44.83
2009-03-27,70,47.4
2009-04-03,71,48.91
2009-04-17,73,45.77
2009-04-24,77,48.17
2009-05-01,74,47.69
2009-05-08,80,46.6
2009-05-15,77,44.75
2009-05-22,77,48.3
2009-05-29,75,48.52
2009-06-05,75,47.64
2009-06-12,73,47.03
2009-06-19,74,46.11
2009-06-26,72,46.41
2009-07-10,71,44.97
2009-07-17,77,47.48
2009-07-24,81,49.13
2009-07-31,79,49.5
2009-08-07,78,50.1
2009-08-14,80,48.63
2009-08-21,82,48.56
2009-08-28,75,51.77
2009-09-04,73,55.47
2009-09-11,75,56.81
2009-09-18,72,57.55
2009-09-25,78,56.28
2009-10-02,74,56.47
2009-10-09,84,58.64
2009-10-16,68,58.48
2009-10-23,77,57.81
2009-10-30,80,56.85
2009-11-06,80,59.41
2009-11-13,76,60.47
2009-11-20,74,60.06
2009-11-27,78,60.03
2009-12-04,78,59.19
2009-12-11,81,59.32
2009-12-18,81,58.43
2010-01-08,83,59.28
2010-01-15,75,58.79
2010-01-22,79,57.07
2010-01-29,81,57.43
2010-02-05,79,58.58
2010-02-12,73,59.28
2010-02-19,74,61.14
2010-02-26,73,60.97
2010-03-05,82,60.68
2010-03-12,80,60.17
2010-03-19,78,60.72
2010-03-26,78,60.13
2010-04-09,81,61.21
2010-04-16,77,59.19
2010-04-23,79,60.2
2010-04-30,86,59.08
2010-05-07,81,57.31
2010-05-14,82,57.74
2010-05-21,82,57.44
2010-05-28,82,58.25
2010-06-04,76,56.17
2010-06-11,83,57.52
2010-06-18,80,58.21
2010-06-25,85,56.44
2010-07-02,82,54.23
2010-07-09,81,56.19
2010-07-16,86,54.98
2010-07-23,84,55.95
2010-07-30,91,56.71
2010-08-06,90,56.54
2010-08-13,84,55.31
2010-08-20,86,55.04
2010-08-27,83,56.19
2010-09-03,77,58.57
2010-09-10,78,59.54
2010-09-17,77,61.29
2010-09-24,82,64.05
2010-10-01,82,65.05
2010-10-08,79,64.29
2010-10-15,83,63.7
2010-10-22,76,64.03
2010-10-29,74,62.77
2010-11-05,78,65.4
2010-11-12,85,65.2
2010-11-19,84,66.56
2010-11-26,83,67.22
2010-12-03,89,68.39
2010-12-10,82,71.25
2010-12-17,81,71.84
2010-12-31,84,72.21
2011-01-07,94,70.65
2011-01-14,84,72.51
2011-01-21,84,72.77
2011-01-28,78,71.93
2011-02-04,81,74.13
2011-02-11,87,75.04
2011-02-18,80,75.43
2011-02-25,83,73.57
2011-03-04,88,72.81
2011-03-11,81,72.55
2011-03-18,78,70.66
2011-03-25,83,71.46
2011-04-01,82,74.25
2011-04-08,86,76.41
2011-04-15,87,76.97
2011-04-29,90,80.89
2011-05-06,83,80.45
2011-05-13,92,82.72
2011-05-20,90,83.4
2011-05-27,82,81.53
2011-06-03,84,77.81
2011-06-10,82,78.3
2011-06-17,87,79.63
2011-06-24,82,79.13
2011-07-01,86,81.54
2011-07-08,87,81.41
2011-07-15,87,79.86
2011-07-22,86,81.67
2011-07-29,87,78.25
2011-08-05,88,76.74
2011-08-12,89,72.79
2011-08-19,90,74.36
2011-08-26,84,77.21
2011-09-02,77,78.56
2011-09-09,81,78.9
2011-09-16,81,84.24
2011-09-23,76,83.37
2011-09-30,78,82.13
2011-10-07,85,79.02
2011-10-14,80,81.77
2011-10-21,80,85.3
2011-10-28,75,84.93
2011-11-04,78,83.81
2011-11-11,77,83.04
2011-11-18,86,81.72
2011-11-25,87,80.82
2011-12-02,87,86.73
2011-12-09,83,84.37
2011-12-16,85,82.57
2011-12-23,83,84.66
2011-12-30,88,83.32
2012-01-06,84,81.13
2012-01-13,82,80.61
2012-01-20,78,81.41
2012-01-27,89,81.62
2012-02-03,84,85.36
2012-02-10,85,84.2
2012-02-17,83,84.47
2012-02-24,83,84.4
2012-03-02,83,86.23
2012-03-09,81,89.34
2012-03-16,80,90.44
2012-03-23,88,90.27
2012-03-30,95,90.8
2012-04-13,89,86.32
2012-04-20,90,87.58
2012-04-27,90,88.69
2012-05-04,93,83.39
2012-05-11,87,84.6
2012-05-18,91,82.94
2012-05-25,91,84.48
2012-06-01,89,85.49
2012-06-08,90,88.74
2012-06-15,90,91.44
2012-06-22,94,90.93
2012-06-29,94,95
2012-07-06,98,93.68
2012-07-13,99,94.81
2012-07-20,94,95.61
2012-07-27,99,97.11
2012-08-03,93,97.21
2012-08-10,95,95.3
2012-08-17,97,96.14
2012-08-24,94,96.25
2012-08-31,92,97.87
2012-09-07,91,99.72
2012-09-14,100,102.18
2012-09-21,92,102.36
2012-09-28,93,100.16
2012-10-05,94,101.79
2012-10-12,85,97.55
2012-10-19,86,94.78
2012-10-26,88,96.94
2012-11-02,84,96.12
2012-11-09,89,95.46
2012-11-16,92,95.69
2012-11-23,98,97.92
2012-11-30,97,103.92
2012-12-07,91,98.56
2012-12-14,93,96.92
2012-12-21,90,99.49
2012-12-28,88,96.97
2013-01-04,95,102.16
2013-01-11,93,100.28
2013-01-18,89,101.2
2013-01-25,90,102.36
2013-02-01,92,104.15
2013-02-08,87,102.79
2013-02-15,84,102.17
2013-02-22,93,101.16
2013-03-01,93,101.42
2013-03-08,88,103.04
2013-03-15,89,101.75
2013-03-22,91,105.11
2013-04-05,89,105.8
2013-04-12,95,106.13
2013-04-19,91,104.45
2013-04-26,92,109.27
2013-05-03,92,109.75
2013-05-10,92,109.99
2013-05-17,94,113.05
2013-05-24,91,114.39
2013-05-31,91,109.63
2013-06-07,86,110.58
2013-06-14,90,111
2013-06-21,87,108.65
2013-06-28,92,110.57
2013-07-05,89,111.76
2013-07-12,94,116.46
2013-07-19,89,118.07
2013-07-26,96,116.57
2013-08-02,93,119.37
2013-08-09,91,115.63
2013-08-16,100,111.9
2013-08-23,91,113.07
2013-08-30,88,111.87
2013-09-06,84,114.35
2013-09-13,86,117.03
2013-09-20,91,117.94
2013-09-27,86,115.72
2013-10-04,87,114.44
2013-10-11,88,115.9
2013-10-18,91,117.64
2013-10-25,83,116.44
2013-11-01,91,119.62
2013-11-08,89,122.78
2013-11-15,97,124.29
2013-11-22,97,125.21
2013-11-29,94,125.43
2013-12-06,94,122.06
2013-12-13,88,117.91
2013-12-20,90,118.53
2013-12-27,92,118.53
2014-01-03,97,117.29
2014-01-10,95,117.85
2014-01-17,94,116.29
2014-01-24,92,112.13
2014-01-31,91,112.36
2014-02-07,89,114.04
2014-02-14,89,116.1
2014-02-21,93,113.19
2014-02-28,92,116.8
2014-03-07,91,113.5
2014-03-14,91,113.45
2014-03-21,94,113.83
2014-03-28,93,111.66
2014-04-04,91,110.65
2014-04-11,92,112.08
2014-04-25,93,115.01
